delivery_id_sanitized,event_id,symbol,sec_accession,source_link,event_type,public_event_time_utc,discovery_time_utc,enqueue_time_utc,significance_band,render_tier,route,state,disposition,live_vs_backfill,duplicate_update_relationship,intended_delivery_eligibility,explicit_hold_reason,truncated,content_summary_sanitized
telegram:card:SEC:0001193125-26-386868:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001193125-26-386868:INSIDER_TRANSACTION,DELL,0001193125-26-386868,https://www.sec.gov/Archives/edgar/data/1571996/000119312526386868/0001193125-26-386868-index.htm,INSIDER_TRANSACTION,2026-09-10T01:18:17+00:00,2026-09-10T01:18:17+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE DELL (Dell Technologies Inc.) session unknown Insider ownership filing (Form 3/4/5) DELL had an insider ownership form filed Accepted: 2026-09-10 01:1
telegram:card:SEC:0001193125-26-386860:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001193125-26-386860:INSIDER_TRANSACTION,DELL,0001193125-26-386860,https://www.sec.gov/Archives/edgar/data/1571996/000119312526386860/0001193125-26-386860-index.htm,INSIDER_TRANSACTION,2026-09-10T01:14:57+00:00,2026-09-10T01:14:57+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE DELL (Dell Technologies Inc.) session unknown Insider ownership filing (Form 3/4/5) DELL had an insider ownership form filed Accepted: 2026-09-10 01:1
telegram:card:SEC:0001193125-26-386859:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001193125-26-386859:INSIDER_TRANSACTION,DELL,0001193125-26-386859,https://www.sec.gov/Archives/edgar/data/1571996/000119312526386859/0001193125-26-386859-index.htm,INSIDER_TRANSACTION,2026-09-10T01:14:33+00:00,2026-09-10T01:14:33+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE DELL (Dell Technologies Inc.) session unknown Insider ownership filing (Form 3/4/5) DELL had an insider ownership form filed Accepted: 2026-09-10 01:1
telegram:card:SEC:0001193125-26-386858:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001193125-26-386858:INSIDER_TRANSACTION,DELL,0001193125-26-386858,https://www.sec.gov/Archives/edgar/data/1571996/000119312526386858/0001193125-26-386858-index.htm,INSIDER_TRANSACTION,2026-09-10T01:14:08+00:00,2026-09-10T01:14:08+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE DELL (Dell Technologies Inc.) session unknown Insider ownership filing (Form 3/4/5) DELL had an insider ownership form filed Accepted: 2026-09-10 01:1
telegram:card:SEC:0001193125-26-386857:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001193125-26-386857:INSIDER_TRANSACTION,DELL,0001193125-26-386857,https://www.sec.gov/Archives/edgar/data/1571996/000119312526386857/0001193125-26-386857-index.htm,INSIDER_TRANSACTION,2026-09-10T01:14:04+00:00,2026-09-10T01:14:04+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE DELL (Dell Technologies Inc.) session unknown Insider ownership filing (Form 3/4/5) DELL had an insider ownership form filed Accepted: 2026-09-10 01:1
telegram:card:SEC:0001104659-26-106432:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001104659-26-106432:INSIDER_TRANSACTION,TSLA,0001104659-26-106432,https://www.sec.gov/Archives/edgar/data/1318605/000110465926106432/0001104659-26-106432-index.htm,INSIDER_TRANSACTION,2026-09-09T23:00:10+00:00,2026-09-09T23:00:10+00:00,2026-09-10T07:44:36.316119+00:00,MEDIUM,COMPACT,DIGEST,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,"MEDIUM INFORMATION SIGNIFICANCE TSLA (Tesla, Inc.) session unknown Insider ownership filing (Form 3/4/5) TSLA had an insider ownership form filed Accepted: 2026-09-09 23:00 UTC Why"
telegram:card:SEC:0002058309-26-000017:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0002058309-26-000017:INSIDER_TRANSACTION,WMT,0002058309-26-000017,https://www.sec.gov/Archives/edgar/data/104169/000205830926000017/0002058309-26-000017-index.htm,INSIDER_TRANSACTION,2026-09-09T21:13:34+00:00,2026-09-09T21:13:34+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE WMT (Walmart Inc.) session unknown Insider ownership filing (Form 3/4/5) WMT had an insider ownership form filed Accepted: 2026-09-09 21:13 UTC Form 4
telegram:card:SEC:0002110643-26-000018:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0002110643-26-000018:INSIDER_TRANSACTION,WMT,0002110643-26-000018,https://www.sec.gov/Archives/edgar/data/104169/000211064326000018/0002110643-26-000018-index.htm,INSIDER_TRANSACTION,2026-09-09T21:13:14+00:00,2026-09-09T21:13:14+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE WMT (Walmart Inc.) session unknown Insider ownership filing (Form 3/4/5) WMT had an insider ownership form filed Accepted: 2026-09-09 21:13 UTC Form 4
telegram:card:SEC:0002110304-26-000021:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0002110304-26-000021:INSIDER_TRANSACTION,WMT,0002110304-26-000021,https://www.sec.gov/Archives/edgar/data/104169/000211030426000021/0002110304-26-000021-index.htm,INSIDER_TRANSACTION,2026-09-09T21:10:39+00:00,2026-09-09T21:10:39+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE WMT (Walmart Inc.) session unknown Insider ownership filing (Form 3/4/5) WMT had an insider ownership form filed Accepted: 2026-09-09 21:10 UTC Form 4
telegram:card:SEC:0001886367-26-000025:INSIDER_TRANSACTION:telegram-intel-v1,SEC:0001886367-26-000025:INSIDER_TRANSACTION,WMT,0001886367-26-000025,https://www.sec.gov/Archives/edgar/data/104169/000188636726000025/0001886367-26-000025-index.htm,INSIDER_TRANSACTION,2026-09-09T21:10:05+00:00,2026-09-09T21:10:05+00:00,2026-09-10T07:44:36.316119+00:00,HIGH,EXPANDED,IMMEDIATE,PENDING,NEW,SESSION-START BATCH (filings accepted overnight; enqueued at companion start),NEW (no prev_content_hash),ELIGIBLE for Telegram (channel=telegram) -- but outbox drainer inactive,NONE (state=PENDING because the intelligence_delivery drainer never runs -- D5),0,HIGH INFORMATION SIGNIFICANCE WMT (Walmart Inc.) session unknown Insider ownership filing (Form 3/4/5) WMT had an insider ownership form filed Accepted: 2026-09-09 21:10 UTC Form 4
