symbol,company_name,active_state,paper_trading_enabled,configured_horizon,sec_coverage_disposition,v2_execution_scope_status_S3,serving_lane,evidence,source_snapshot_utc
AAPL,Apple Inc.,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
ABCL,AbCellera Biologics Inc.,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
ABT,Abbott Laboratories,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
ACHR,Archer Aviation Inc.,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
ADC,Agree Realty,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
ADP,Automatic Data Processing,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
AFL,Aflac,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
AGNC,AGNC Investment,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
AMAT,Applied Materials,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
AMD,Advance Micro Devices,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
