symbol,day,v2_scope,coverage,A_event,A_cards,A_class,B_v2,B_class,C_original,C_class
AAPL,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=219 | published=0,FAILED_GATE
AAPL,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=231 | published=0,FAILED_GATE
AAPL,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=307 | published=0,FAILED_GATE
ABCL,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,3 distinct code-P owners 2026-08-14/18/24 -> cluster; eligible entry 2026-08-17 -> STALE by campaign start,CORRECT_EXCLUSION,volatility_gate=326 | published=0,FAILED_GATE
ABCL,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,3 distinct code-P owners 2026-08-14/18/24 -> cluster; eligible entry 2026-08-17 -> STALE by campaign start,CORRECT_EXCLUSION,confluence_gate=1; opening_blackout_gate=1; volatility_gate=333 | published=0,FAILED_GATE
ABCL,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,3 distinct code-P owners 2026-08-14/18/24 -> cluster; eligible entry 2026-08-17 -> STALE by campaign start,CORRECT_EXCLUSION,confluence_gate=5; volatility_gate=303 | published=0,FAILED_GATE
ABT,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=271 | published=0,FAILED_GATE
ABT,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=345 | published=0,FAILED_GATE
ABT,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=344 | published=0,FAILED_GATE
ACHR,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=317 | published=0,FAILED_GATE
ACHR,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=376 | published=0,FAILED_GATE
ACHR,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=319 | published=0,FAILED_GATE
ADC,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,1 distinct code-P owner 2026-08-31..09-02 -> single-insider near-miss,CORRECT_EXCLUSION,volatility_gate=292 | published=0,FAILED_GATE
ADC,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,1 distinct code-P owner 2026-08-31..09-02 -> single-insider near-miss,CORRECT_EXCLUSION,volatility_gate=342 | published=0,FAILED_GATE
ADC,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,1 distinct code-P owner 2026-08-31..09-02 -> single-insider near-miss,CORRECT_EXCLUSION,volatility_gate=343 | published=0,FAILED_GATE
ADP,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=271 | published=0,FAILED_GATE
ADP,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=331 | published=0,FAILED_GATE
ADP,2026-09-10,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=343 | published=0,FAILED_GATE
AFL,2026-09-08,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=236 | published=0,FAILED_GATE
AFL,2026-09-09,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=328 | published=0,FAILED_GATE
AFL,2026-09-10,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=339 | published=0,FAILED_GATE
AGNC,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=305 | published=0,FAILED_GATE
AGNC,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=344 | published=0,FAILED_GATE
AGNC,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=382 | published=0,FAILED_GATE
AMAT,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=348 | published=0,FAILED_GATE
AMAT,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=389 | published=0,FAILED_GATE
