date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2024-11-27,9990000.0,10000.0,10000000.0,10000000.0,0.0,0.0
2024-11-29,9990000.0,12743.01,10002743.01,10002743.01,0.0,0.0
2024-12-02,9990000.0,9720.37,9999720.37,10002743.01,-3022.64,-0.0302
2024-12-03,9990000.0,8988.02,9998988.02,10002743.01,-3754.99,-0.0375
2024-12-04,9990000.0,9267.64,9999267.64,10002743.01,-3475.37,-0.0347
2024-12-05,9990000.0,10199.73,10000199.73,10002743.01,-2543.28,-0.0254
2024-12-06,9990000.0,11025.3,10001025.3,10002743.01,-1717.71,-0.0172
2024-12-09,9990000.0,10412.78,10000412.78,10002743.01,-2330.23,-0.0233
2024-12-10,9990000.0,10279.63,10000279.63,10002743.01,-2463.38,-0.0246
2024-12-11,9990000.0,9840.21,9999840.21,10002743.01,-2902.8,-0.029
2024-12-12,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-13,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-16,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-17,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-18,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-19,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-20,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-23,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-24,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-26,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-27,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-30,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2024-12-31,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-02,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-03,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-06,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-07,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-08,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-10,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-13,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-14,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-15,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-16,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-17,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-21,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-22,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
2025-01-23,9999527.27,0.0,9999527.27,10002743.01,-3215.74,-0.0321
