date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2024-11-27,290000.0,10000.0,300000.0,300000.0,0.0,0.0
2024-11-29,290000.0,12743.01,302743.01,302743.01,0.0,0.0
2024-12-02,290000.0,9720.37,299720.37,302743.01,-3022.64,-0.9984
2024-12-03,290000.0,8988.02,298988.02,302743.01,-3754.99,-1.2403
2024-12-04,290000.0,9267.64,299267.64,302743.01,-3475.37,-1.148
2024-12-05,290000.0,10199.73,300199.73,302743.01,-2543.28,-0.8401
2024-12-06,290000.0,11025.3,301025.3,302743.01,-1717.71,-0.5674
2024-12-09,290000.0,10412.78,300412.78,302743.01,-2330.23,-0.7697
2024-12-10,290000.0,10279.63,300279.63,302743.01,-2463.38,-0.8137
2024-12-11,290000.0,9840.21,299840.21,302743.01,-2902.8,-0.9588
2024-12-12,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-13,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-16,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-17,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-18,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-19,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-20,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-23,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-24,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-26,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-27,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-30,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2024-12-31,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-02,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-03,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-06,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-07,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-08,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-10,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-13,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-14,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
