task,window_key,symbol,entry_time_bucket,rsi_n,macd_n,rsi_mean_R_0bps,macd_mean_R_0bps,rsi_total_R_0bps,macd_total_R_0bps,rsi_total_R_5bps,macd_total_R_5bps,rsi_gt_macd_unweighted_stratum_mean_0bps
T53,T53_X_early,AMAT,MID_1030_1500,1,1,-1.0,1.5625000000000435,-1.0,1.5625000000000435,-1.2121090909090975,1.4547372685185591,False
T53,T53_X_early,QCOM,MID_1030_1500,1,1,0.160617876424715,0.4178482068390219,0.160617876424715,0.4178482068390219,0.1443273095380923,0.3273965804837259,False
T53,T53_X_early,STX,MID_1030_1500,1,1,-1.0,-1.0,-1.0,-1.0,-1.3778752672257806,-1.3592982729535201,False
T53,T53_Y_middle,AMD,MID_1030_1500,2,1,1.9362193652070663,0.0531565822286481,3.8724387304141326,0.0531565822286481,3.323719035641225,-0.026561556634722185,True
T54,T54_W1,AMAT,MID_1030_1500,3,3,-0.03531828129075946,-0.5189659863945504,-0.10595484387227838,-1.5568979591836511,-1.5112748228257529,-16.964934163731435,True
T54,T54_W1,AVGO,MID_1030_1500,1,1,-1.0,-1.0,-1.0,-1.0,-1.5560861813109583,-1.5143593296254365,False
T54,T54_W1,INTC,MID_1030_1500,1,3,1.0426450990303606,-1.0,1.0426450990303606,-3.0,0.991819976104025,-3.9674464072909816,True
T54,T54_W1,LRCX,MID_1030_1500,1,3,-1.0,-0.6100094428706316,-1.0,-1.830028328611895,-1.2926947560230797,-2.8024072964784152,False
T54,T54_W1,LRCX,OPEN_0930_1030,1,2,-1.0,1.25434782608699,-1.0,2.50869565217398,-1.113806772908367,0.9482599398740099,False
T54,T54_W2,STX,MID_1030_1500,1,1,3.1195796527510256,-1.0,3.1195796527510256,-1.0,2.943049427311269,-1.511323603878047,True
T54,T54_W3,AMD,MID_1030_1500,1,2,-1.0,2.685042031452814,-1.0,5.370084062905628,-1.1408877668782464,4.4611480562221,False
T54,T54_W3,INTC,MID_1030_1500,1,1,4.7173752502130375,-1.0,4.7173752502130375,-1.0,4.533686184228892,-1.090047557840618,True
T54,T54_W3,INTU,MID_1030_1500,1,1,-1.0,-1.0,-1.0,-1.0,-1.429791633012056,-1.534665337639113,False
T54,T54_W3,KLAC,MID_1030_1500,1,4,1.9976668222118228,-1.0,1.9976668222118228,-4.0,1.7453889407372578,-5.975903204771343,True
T54,T54_W3,LRCX,MID_1030_1500,1,2,-1.0,-1.0,-1.0,-2.0,-1.6835834051814005,-2.800075192313622,False
T54,T54_W3,MU,MID_1030_1500,1,3,-1.0,-0.876656967345621,-1.0,-2.629970902036863,-1.053186051296119,-3.300491901870128,False
T54,T54_W3,QCOM,MID_1030_1500,2,1,3.406818086899986,0.5392670976629171,6.813636173799972,0.5392670976629171,6.219975063847096,0.5119347087644622,True
T54,T54_W3,QCOM,OPEN_0930_1030,1,1,-1.0,0.9094202898550824,-1.0,0.9094202898550824,-1.1317568606268367,0.8398278985507344,False
T54,T54_W3,STX,MID_1030_1500,1,2,3.5972900215164243,-0.3606643075438337,3.5972900215164243,-0.7213286150876674,3.3721604405061085,-1.005165959446327,True
T54,T54_W3,TXN,MID_1030_1500,1,2,10.455746766609664,-1.0,10.455746766609664,-2.0,9.413231364002627,-2.989786291953468,True
