task,window_key,symbol,entry_time_bucket,rsi_trade_id,macd_trade_id,rsi_entry_timestamp,macd_entry_timestamp,abs_time_diff_minutes,same_et_date,rsi_gross_R,macd_gross_R,gross_R_diff_rsi_minus_macd,rsi_net_R_5bps,macd_net_R_5bps,net_R_5bps_diff_rsi_minus_macd
T53,T53_X_early,AMAT,MID_1030_1500,AMAT-2025-10-30 16:42:00+00:00,AMAT-2025-10-31 17:10:00+00:00,2025-10-30 16:42:00+00:00,2025-10-31 17:10:00+00:00,1468.0,False,-1.0,1.5625000000000435,-2.5625000000000435,-1.2121090909090975,1.4547372685185591,-2.6668463594276566
T53,T53_X_early,QCOM,MID_1030_1500,QCOM-2025-10-28 14:31:00+00:00,QCOM-2025-10-29 16:18:00+00:00,2025-10-28 14:31:00+00:00,2025-10-29 16:18:00+00:00,1547.0,False,0.160617876424715,0.4178482068390219,-0.2572303304143069,0.1443273095380923,0.3273965804837259,-0.18306927094563358
T53,T53_X_early,STX,MID_1030_1500,STX-2025-10-27 16:24:00+00:00,STX-2025-10-31 18:44:00+00:00,2025-10-27 16:24:00+00:00,2025-10-31 18:44:00+00:00,5900.0,False,-1.0,-1.0,0.0,-1.3778752672257806,-1.3592982729535201,-0.01857699427226045
T53,T53_Y_middle,AMD,MID_1030_1500,AMD-2026-03-24 17:14:00+00:00,AMD-2026-03-24 14:52:00+00:00,2026-03-24 17:14:00+00:00,2026-03-24 14:52:00+00:00,142.0,True,4.872438730414133,0.0531565822286481,4.819282148185485,4.62812223784682,-0.026561556634722185,4.654683794481542
T54,T54_W1,AMAT,MID_1030_1500,AMAT-2025-10-07 18:07:00+00:00,AMAT-2025-10-17 15:03:00+00:00,2025-10-07 18:07:00+00:00,2025-10-17 15:03:00+00:00,14216.0,False,-1.0,-1.0,0.0,-1.5287131282602187,-1.3029459459459771,-0.22576718231424153
T54,T54_W1,AMAT,MID_1030_1500,AMAT-2025-10-07 15:57:00+00:00,AMAT-2025-10-17 17:21:00+00:00,2025-10-07 15:57:00+00:00,2025-10-17 17:21:00+00:00,14484.0,False,-1.0,-1.0,0.0,-1.331128117401171,-15.921166666765059,14.590038549363888
T54,T54_W1,AMAT,MID_1030_1500,AMAT-2025-10-03 17:56:00+00:00,AMAT-2025-10-17 18:48:00+00:00,2025-10-03 17:56:00+00:00,2025-10-17 18:48:00+00:00,20212.0,False,1.8940451561277216,0.4431020408163489,1.4509431153113728,1.3485664228356369,0.2591784489796005,1.0893879738560364
T54,T54_W1,AVGO,MID_1030_1500,AVGO-2025-10-14 18:04:00+00:00,AVGO-2025-10-17 16:28:00+00:00,2025-10-14 18:04:00+00:00,2025-10-17 16:28:00+00:00,4224.0,False,-1.0,-1.0,0.0,-1.5560861813109583,-1.5143593296254365,-0.041726851685521815
T54,T54_W1,INTC,MID_1030_1500,INTC-2025-10-07 15:55:00+00:00,INTC-2025-09-30 17:02:00+00:00,2025-10-07 15:55:00+00:00,2025-09-30 17:02:00+00:00,10013.0,False,1.0426450990303606,-1.0,2.0426450990303606,0.991819976104025,-1.4668884948326766,2.4587084709367018
T54,T54_W1,LRCX,MID_1030_1500,LRCX-2025-10-07 15:53:00+00:00,LRCX-2025-10-07 18:07:00+00:00,2025-10-07 15:53:00+00:00,2025-10-07 18:07:00+00:00,134.0,True,-1.0,-1.0,0.0,-1.2926947560230797,-1.4475453362810562,0.1548505802579765
