family,removed_highest_cost_R,N,gross_total_R,gross_expectancy,gross_PF,net_total_R_5bps,net_expectancy_5bps,net_PF_5bps,win_rate,mean_cost_R,median_cost_R,RSI_N,MACD_N,MA_N
RSI,0,100,35.50114731179369,0.35501147311793685,1.602877001573978,5.302079400521157,0.05302079400521156,1.0656654667293008,0.34,0.3019906791127252,0.2153834169072832,100,0,0
RSI,1,99,36.50114731179369,0.36869845769488574,1.630567132689669,7.621682848797442,0.0769866954423984,1.097185346533895,0.3434343434343434,0.29171176225248724,0.21210909090909752,99,0,0
RSI,3,97,27.045400545184023,0.2788185623214848,1.4754297418404976,0.25321539405051724,0.0026104679799022396,1.003315230040943,0.3402061855670103,0.2762080943415825,0.21197636577593484,97,0,0
RSI,5,95,29.045400545184023,0.30574105837035814,1.529192954584015,4.037733193684404,0.04250245467036214,1.0556200544882228,0.3473684210526316,0.2632386036999959,0.20711096912286142,95,0,0
RSI,10,90,18.201478750239428,0.2022386527804381,1.3507960110379387,-2.848272912634216,-0.03164747680704684,0.9574267029479736,0.34444444444444444,0.2338861295874849,0.18976687470415685,90,0,0
MACD,0,128,-14.525365931424183,-0.11347942133925143,0.8202209530230201,-79.20342629970871,-0.6187767679664743,0.41876413957239444,0.3125,0.5052973466272229,0.29559030866212044,0,128,0
MACD,1,127,-13.525365931424185,-0.10649894434192271,0.8304999707050991,-63.28225963294365,-0.49828550892081613,0.47416446620814995,0.31496062992125984,0.39178656457889344,0.2904370314842696,0,127,0
MACD,3,125,-11.525365931424187,-0.0922029274513935,0.8518507766392698,-57.55557592186618,-0.4604446073749294,0.4978549528397429,0.32,0.3682416799235359,0.29005405405406537,0,125,0
MACD,5,123,-21.976715270298254,-0.17867248187234352,0.7138286645267942,-64.89791892726375,-0.5276253571322256,0.42053686494881826,0.3170731707317073,0.3489528752598819,0.2850098601680906,0,123,0
MACD,10,118,-16.976715270298254,-0.1438704683923581,0.7635411896331822,-54.06836504201483,-0.45820648340690534,0.4655537495775412,0.3305084745762712,0.31433601501454733,0.26693607023410737,0,118,0
