stop_risk_bucket,family,N,gross_total_R,gross_expectancy,gross_PF,net_total_R_5bps,net_expectancy_5bps,net_PF_5bps,win_rate,mean_cost_R,median_cost_R,RSI_N,MACD_N,MA_N,adequate_support_N_ge_10,median_holding_minutes
<0.15%,MACD,23,7.9759826879414515,0.3467818559974544,1.4431101493300806,-29.80764795925092,-1.2959846938804749,0.41841281888441384,0.21739130434782608,1.6427665498779285,0.8627702702699945,0,23,0,True,6.0
<0.15%,RSI,11,16.299668561554267,1.4817880510503878,3.0374585701942833,6.46676890797398,0.5878880825430891,1.416550286600082,0.2727272727272727,0.8938999685072986,0.8614781879197535,11,0,0,True,3.0
0.15-0.25%,MACD,26,-13.508520024452052,-0.5195584624789251,0.4371449989811645,-26.789515105975674,-1.030365965614449,0.26303321853279565,0.07692307692307693,0.5108075031355243,0.5072286736032832,0,26,0,True,8.5
0.15-0.25%,RSI,15,-12.10595484387228,-0.8070636562581519,0.1352889397234087,-19.423192965314392,-1.2948795310209595,0.06492307163951522,0.06666666666666667,0.48781587476280736,0.488055079798014,15,0,0,True,17.0
0.25-0.35%,MACD,17,-5.121220284920392,-0.30124825205414074,0.6585853143386405,-10.898606900932577,-0.6410945235842692,0.4575738221941849,0.11764705882352941,0.3398462715301286,0.3487631516867703,0,17,0,True,21.0
0.25-0.35%,RSI,16,10.778475964543446,0.6736547477839654,2.1976084405048275,5.443812894206113,0.34023830588788206,1.4549121884177076,0.4375,0.33341644189608327,0.3297316982631394,16,0,0,True,28.5
0.35-0.50%,MACD,10,-6.495058736542501,-0.64950587365425,0.18811765793218738,-8.941447559621025,-0.8941447559621025,0.10242371605883253,0.2,0.24463888230785233,0.2433849359348802,0,10,0,True,30.0
0.35-0.50%,RSI,12,13.266358495395139,1.1055298746162616,2.895194070770734,10.49036185360345,0.8741968211336207,2.217732239341042,0.4166666666666667,0.2313330534826408,0.22303707218357133,12,0,0,True,34.5
0.50-0.75%,MACD,14,-3.6468214189299015,-0.26048724420927866,0.5280209039646248,-5.996840090575589,-0.42834572075539923,0.3503301073931443,0.35714285714285715,0.1678584765461205,0.17419738085175118,0,14,0,True,62.0
0.50-0.75%,RSI,17,10.254057027264926,0.603179825133231,2.025405702726493,7.4458711909339605,0.43799242299611535,1.6412218335776623,0.4117647058823529,0.16518740213711566,0.16921450696954024,17,0,0,True,100.0
>=0.75%,MACD,38,6.27027184547921,0.16500715382840028,1.777081973436111,3.230631316647063,0.08501661359597534,1.3444432295873654,0.631578947368421,0.07999054023242491,0.08168844058988138,0,38,0,True,69.5
>=0.75%,RSI,29,-2.991457893091813,-0.10315372045144183,0.7252069045320351,-5.12154248088195,-0.17660491313386034,0.582053128101461,0.3793103448275862,0.07345119268241855,0.07298169642857114,29,0,0,True,84.0
