stop_risk_bucket,family,exit_reason,exit_N,exit_share
<0.15%,MACD,END_OF_SESSION,5,0.21739130434782608
<0.15%,MACD,STOP,18,0.782608695652174
<0.15%,RSI,END_OF_SESSION,2,0.18181818181818182
<0.15%,RSI,SIGNAL_EXIT,1,0.09090909090909091
<0.15%,RSI,STOP,8,0.7272727272727273
0.15-0.25%,MACD,END_OF_SESSION,1,0.038461538461538464
0.15-0.25%,MACD,SIGNAL_EXIT,1,0.038461538461538464
0.15-0.25%,MACD,STOP,24,0.9230769230769231
0.15-0.25%,RSI,END_OF_SESSION,1,0.06666666666666667
0.15-0.25%,RSI,STOP,14,0.9333333333333333
0.25-0.35%,MACD,END_OF_SESSION,1,0.058823529411764705
0.25-0.35%,MACD,SIGNAL_EXIT,1,0.058823529411764705
0.25-0.35%,MACD,STOP,15,0.8823529411764706
0.25-0.35%,RSI,END_OF_SESSION,5,0.3125
0.25-0.35%,RSI,SIGNAL_EXIT,2,0.125
0.25-0.35%,RSI,STOP,9,0.5625
0.35-0.50%,MACD,END_OF_SESSION,2,0.2
0.35-0.50%,MACD,STOP,8,0.8
0.35-0.50%,RSI,END_OF_SESSION,4,0.3333333333333333
0.35-0.50%,RSI,SIGNAL_EXIT,1,0.08333333333333333
0.35-0.50%,RSI,STOP,7,0.5833333333333334
0.50-0.75%,MACD,END_OF_SESSION,5,0.35714285714285715
0.50-0.75%,MACD,SIGNAL_EXIT,2,0.14285714285714285
0.50-0.75%,MACD,STOP,7,0.5
0.50-0.75%,RSI,END_OF_SESSION,1,0.058823529411764705
0.50-0.75%,RSI,SIGNAL_EXIT,6,0.35294117647058826
0.50-0.75%,RSI,STOP,10,0.5882352941176471
>=0.75%,MACD,END_OF_SESSION,17,0.4473684210526316
>=0.75%,MACD,SIGNAL_EXIT,14,0.3684210526315789
>=0.75%,MACD,STOP,6,0.15789473684210525
>=0.75%,MACD,TARGET,1,0.02631578947368421
>=0.75%,RSI,END_OF_SESSION,14,0.4827586206896552
>=0.75%,RSI,SIGNAL_EXIT,6,0.20689655172413793
>=0.75%,RSI,STOP,9,0.3103448275862069
