cost_rank,task,source_window,symbol,family,entry_timestamp,entry_price,stop_price,risk_pct_entry,gross_R,cost_R_5bps,net_R_5bps
1,Task54,W1,AMAT,MACD,2025-10-17 17:21:00+00:00,223.825,223.8100000000001,0.006701664246577055,-1.0,14.921166666765059,-15.921166666765059
2,Task54,W3,KLAC,MACD,2026-04-28 19:06:00+00:00,1845.0,1844.0924906122816,0.04918750068934372,-1.0,2.0325368203006624,-3.0325368203006624
3,Task56,H1_early,AMAT,MACD,2026-01-08 19:55:00+00:00,281.16,280.9940893306268,0.059009343211411366,-1.0,1.6941468907768111,-2.6941468907768114
4,Task56,H1_early,LRCX,MACD,2026-01-22 20:16:00+00:00,221.85,221.7133333333334,0.06160318533540646,-1.0,1.6227926829276305,-2.6227926829276305
5,Task56,H3_late,GILD,MACD,2026-07-09 18:04:00+00:00,133.81,133.71961763811657,0.06754529697588227,11.45134933887407,1.4862136505488845,9.965135688325185
6,Task54,W1,MU,RSI,2025-10-09 17:01:00+00:00,191.415,191.27000000000004,0.07575163910871845,-1.0,1.3196034482762864,-2.319603448276286
7,Task56,H3_late,PYPL,MACD,2026-06-30 18:02:00+00:00,42.98,42.94611013722536,0.0788503089219079,-1.0,1.2677258492993149,-2.267725849299315
8,Task53,X_early,AVGO,MACD,2025-10-30 18:36:00+00:00,377.685,377.3733333333335,0.08252026600645959,-1.0,1.2113235294124247,-2.2113235294124247
9,Task56,H2_middle,AMZN,MACD,2026-03-06 17:05:00+00:00,216.325,216.14353333333327,0.08388612812514605,-1.0,1.1915922116087463,-2.1915922116087465
10,Task54,W1,LRCX,MACD,2025-10-07 14:11:00+00:00,147.7201,147.59500000000003,0.0846871888117967,-1.0,1.1803161470825712,-2.1803161470825714
