symbol,family,N,gross_total_R,gross_expectancy,gross_PF,net_total_R_5bps,net_expectancy_5bps,net_PF_5bps,win_rate,mean_cost_R,median_cost_R,RSI_N,MACD_N,MA_N
ADBE,MACD,5,1.1913800407201878,0.23827600814403754,1.5495329799095472,-0.6396609788175696,-0.12793219576351392,0.7988980507557779,0.4,0.3662082039075515,0.4232720783934266,0,5,0
ADBE,RSI,2,-0.83830275229358,-0.41915137614679,0.16169724770642,-1.1204188819668994,-0.5602094409834497,0.07181782733608674,0.5,0.14105806483665972,0.14105806483665972,2,0,0
ADI,MACD,3,-3.0,-1.0,0.0,-5.431909425775186,-1.8106364752583952,0.0,0.0,0.8106364752583953,0.8627702702699945,0,3,0
ADI,RSI,2,16.40023552488826,8.20011776244413,inf,15.226666496805784,7.613333248402892,inf,1.0,0.5867845140412385,0.5867845140412385,2,0,0
AMAT,MACD,9,-2.490989780461713,-0.27677664227352367,0.5848350365897145,-21.32294556754749,-2.3692161741719433,0.12867758739391044,0.3333333333333333,2.0924395318984192,0.3029459459459772,0,9,0
AMAT,RSI,15,4.965119849092488,0.3310079899394992,1.7093028355846411,1.1377503115080791,0.07585002076720528,1.1264442600544806,0.5333333333333333,0.2551579691722939,0.21210909090909752,15,0,0
AMD,MACD,8,3.605399668190309,0.45067495852378864,1.9013499170475772,1.6815699912639173,0.21019624890798966,1.317507849007686,0.5,0.24047870961579898,0.17860361491364038,0,8,0
AMD,RSI,7,1.901336401777822,0.2716194859682603,1.5632876995562737,0.05412200072112164,0.007731714388731663,1.011832531245152,0.2857142857142857,0.2638877715795286,0.2371581406844611,7,0,0
AMZN,MACD,2,-0.6782449725776964,-0.3391224862888482,0.3217550274223035,-1.9135373670017997,-0.9567686835008998,0.1268734407496546,0.5,0.6176461972120515,0.6176461972120515,0,2,0
AMZN,RSI,2,-2.0,-1.0,0.0,-2.723817824257329,-1.3619089121286645,0.0,0.0,0.3619089121286645,0.3619089121286645,2,0,0
AVGO,MACD,6,0.11409395973143877,0.019015659955239794,1.0228187919462877,-3.430364390086713,-0.5717273983477855,0.5542118810685296,0.16666666666666666,0.5907430583030252,0.5127397913949902,0,6,0
AVGO,RSI,4,-4.0,-1.0,0.0,-5.118278185201024,-1.279569546300256,0.0,0.0,0.279569546300256,0.2414490028828258,4,0,0
BKNG,MACD,6,-2.9927105383134203,-0.4987850897189034,0.2518223654216449,-5.153910341132638,-0.8589850568554397,0.12685372534902253,0.3333333333333333,0.36019996713653635,0.2841210936630973,0,6,0
BKNG,RSI,2,5.285358523745442,2.642679261872721,29.978013035471857,4.917191547597181,2.4585957737985904,23.573383142144507,0.5,0.1840834880741302,0.1840834880741302,2,0,0
CMCSA,MACD,2,0.6747472081948622,0.3373736040974311,inf,0.5124983567033065,0.25624917835165323,inf,1.0,0.08112442574577788,0.08112442574577788,0,2,0
CMCSA,RSI,1,-1.0,-1.0,0.0,-1.4846552371593287,-1.4846552371593287,0.0,0.0,0.48465523715932857,0.48465523715932857,1,0,0
CSCO,MACD,1,-1.0,-1.0,0.0,-1.8245729960710433,-1.8245729960710433,0.0,0.0,0.8245729960710434,0.8245729960710434,0,1,0
CSCO,RSI,1,-1.0,-1.0,0.0,-1.488055079798014,-1.488055079798014,0.0,0.0,0.488055079798014,0.488055079798014,1,0,0
GILD,MACD,3,10.690750835133443,3.5635836117111475,11.690750835133443,8.892823798050879,2.964274599350293,8.319991799973995,0.6666666666666666,0.5993090123608543,0.21486800000000977,0,3,0
GILD,RSI,3,-2.273244781783681,-0.7577482605945604,0.0,-2.6954745494175523,-0.8984915164725175,0.0,0.0,0.14074325587795714,0.08202448313384038,3,0,0
GOOGL,MACD,1,1.1238938053097796,1.1238938053097796,inf,0.8411371681416226,0.8411371681416226,inf,1.0,0.28275663716815697,0.28275663716815697,0,1,0
GOOGL,RSI,1,-1.0,-1.0,0.0,-1.1466318101933233,-1.1466318101933233,0.0,0.0,0.14663181019332316,0.14663181019332316,1,0,0
HON,MACD,1,-0.2505882352941271,-0.2505882352941271,0.0,-0.40383000000000124,-0.40383000000000124,0.0,0.0,0.15324176470587417,0.15324176470587417,0,1,0
INTC,MACD,6,-6.0,-1.0,0.0,-7.712918093375107,-1.2854863488958512,0.0,0.0,0.28548634889585117,0.27792339305411573,0,6,0
INTC,RSI,8,3.986073976910939,0.4982592471138674,2.5850042241817768,2.347869647055484,0.2934837058819355,1.6080329259639674,0.375,0.20477554123193184,0.06533578944214041,8,0,0
INTU,MACD,4,11.558519051555677,2.8896297628889194,12.558519051555677,9.076710321559167,2.269177580389792,6.914455809318356,0.75,0.6204521824991275,0.6380751219772187,0,4,0
INTU,RSI,4,-0.9864571282599097,-0.24661428206497743,0.5067714358700451,-1.9690365501769578,-0.49225913754423944,0.2269221954849382,0.5,0.24564485547926204,0.23990304623821052,4,0,0
ISRG,MACD,1,-0.0839416058394129,-0.0839416058394129,0.0,-0.16193795620437695,-0.16193795620437695,0.0,0.0,0.07799635036496405,0.07799635036496405,0,1,0
KLAC,MACD,13,-10.07237542128179,-0.7747981093293685,0.09070670663155178,-17.961552095302263,-1.3816578534847894,0.04887980497787641,0.07692307692307693,0.606859744155421,0.569873585502891,0,13,0
KLAC,RSI,9,-4.269933370931598,-0.47443704121462205,0.3900095184383431,-8.5148760174491,-0.9460973352721221,0.22110289072563796,0.2222222222222222,0.4716602940575001,0.49114900674503414,9,0,0
LRCX,MACD,13,-1.7540264041415223,-0.13492510801088634,0.7807466994823097,-7.538962500756805,-0.5799201923659081,0.42238499587568906,0.38461538461538464,0.4449950843550218,0.3495028376448975,0,13,0
LRCX,RSI,8,0.9573080114079477,0.11966350142599347,1.1567795084074308,-1.4654931896340404,-0.18318664870425505,0.8243915540568305,0.125,0.3028501501302485,0.24050001637623275,8,0,0
META,MACD,4,1.762099948963595,0.4405249872408987,1.5873666496545316,-0.11917419333205959,-0.029793548333014896,0.9727784588909066,0.25,0.4703185355739138,0.46809286480159434,0,4,0
META,RSI,1,2.7099405582803047,2.7099405582803047,inf,2.350925019395655,2.350925019395655,inf,1.0,0.3590155388846499,0.3590155388846499,1,0,0
MU,MACD,7,-5.501144513923803,-0.7858777877034004,0.0228822475914489,-7.755406788600231,-1.1079152555143188,0.008842592757660753,0.14285714285714285,0.3220374678109184,0.33302226740860436,0,7,0
MU,RSI,7,-4.014673252547213,-0.5735247503638875,0.3308877912421312,-6.880942629757871,-0.9829918042511244,0.20429559967042452,0.14285714285714285,0.409467053887237,0.21197636577593484,7,0,0
NFLX,MACD,1,-1.0,-1.0,0.0,-1.2416358024691352,-1.2416358024691352,0.0,0.0,0.2416358024691351,0.2416358024691351,0,1,0
NVDA,MACD,1,-0.4760705289672647,-0.4760705289672647,0.0,-0.6120869017632384,-0.6120869017632384,0.0,0.0,0.13601637279597373,0.13601637279597373,0,1,0
PANW,MACD,4,1.6714141570206773,0.4178535392551693,2.6714141570206773,1.11789334439625,0.2794733360990625,1.871495438943704,0.75,0.13838020315610694,0.10432307926819251,0,4,0
PANW,RSI,5,-2.0706521739129826,-0.41413043478259653,0.4823369565217544,-3.791334914783991,-0.7582669829567983,0.30010440430182583,0.2,0.34413654817420175,0.3036820652174048,5,0,0
PEP,MACD,1,0.3323353293413182,0.3323353293413182,inf,0.24347155688622923,0.24347155688622923,inf,1.0,0.08886377245508897,0.08886377245508897,0,1,0
PYPL,MACD,3,-2.308411214953267,-0.7694704049844224,0.0,-4.302983670407475,-1.434327890135825,0.0,0.0,0.6648574851514026,0.60587931643527,0,3,0
QCOM,MACD,5,0.7514331509218248,0.15028663018436497,1.673869163632134,0.27795359188260205,0.05559071837652041,1.1983674577754124,0.6,0.09469591180784453,0.09045162635529602,0,5,0
QCOM,RSI,4,5.974254050224688,1.493563512556172,3.987127025112344,5.232545512758352,1.308136378189588,3.089279725497474,0.5,0.1854271343665837,0.17635071199183172,4,0,0
REGN,MACD,3,-1.7632754342431896,-0.5877584780810632,0.11836228287840525,-2.264721590105303,-0.7549071967017676,0.058112178459044365,0.3333333333333333,0.16714871862070457,0.15931531226794057,0,3,0
STX,MACD,8,-5.053397846161706,-0.6316747307702133,0.06529164207084802,-6.8278222954733385,-0.8534777869341673,0.03111627604800119,0.25,0.22180305616395407,0.20472111933324738,0,8,0
STX,RSI,7,7.190100852457624,1.0271572646368035,3.3967002841525407,5.716278723152219,0.8166112461646027,2.471112531465547,0.5714285714285714,0.2105460184722006,0.17653022543975672,7,0,0
TSLA,RSI,1,-1.0,-1.0,0.0,-1.1692145069695403,-1.1692145069695403,0.0,0.0,0.16921450696954024,0.16921450696954024,1,0,0
TXN,MACD,4,-4.0,-1.0,0.0,-5.198044275797894,-1.2995110689494735,0.0,0.0,0.29951106894947355,0.21993962744014967,0,4,0
TXN,RSI,1,10.455746766609664,10.455746766609664,inf,9.413231364002627,9.413231364002627,inf,1.0,1.0425154026070371,1.0425154026070371,1,0,0
VRTX,MACD,3,0.4237434096516154,0.14124780321720512,1.3310373307369836,-0.029507198573019255,-0.009835732857673085,0.9817302765383237,0.3333333333333333,0.15108353607487818,0.11821049939831686,0,3,0
VRTX,RSI,5,0.12893625612747273,0.025787251225494544,1.0529684079226374,-1.526271845710367,-0.3052543691420734,0.5962562233065871,0.4,0.33104162036756796,0.1797251984126997,5,0,0
