trade_id,symbol,direction,signal_type,session,signal_timestamp,entry_timestamp,entry_price,stop_price,target_price,atr,risk_reward_ratio,screening_rr,execution_rr,confluence_score,opportunity_score,volume_surge_ratio,trend_alignment,exit_timestamp,exit_price,exit_reason,gross_R,net_R,gross_pnl,net_pnl,holding_seconds,mfe_price,mfe_pct,mfe_r,mae_price,mae_pct,mae_r,exit_signal_type,exit_signal_direction,geometry_path,fallback_reason,structural_level,structural_level_type,window,task,family,risk,risk_pct_entry,R_5bps,cost_R_5bps,time_bucket,holding_bucket,source_window,risk_abs,net_R_5bps,existing_5bps_R,native_net_R_zero_cost,holding_minutes,stop_risk_bucket,cost_R_bucket
STX-2025-10-27 16:24:00+00:00,STX,bullish,rsi_oversold_volume_surge,regular,2025-10-27 16:23:00+00:00,2025-10-27 16:24:00+00:00,230.09,229.4819,239.8062,0.3368127068504832,12.441348782711003,12.441348782711003,15.977964150633696,1,0.6003137003270682,1.6823516830200784,True,2025-10-27 16:26:00+00:00,229.4819,STOP,-1.0,-1.0,-0.608099999999979,-0.608099999999979,120.0,230.23,0.0608457560085124,0.2302252918927663,229.42,-0.2911904037550593,-1.1017924683440865,,,STRUCTURAL_PRIMARY,,229.4819,prior_session_S1_pivot,X_early,Task53,RSI,,0.2642878873484321,,0.37787526722578063,MID_1030_1500,,X_early,0.6081000000000074,-1.3778752672257806,,-1.0,2.0,0.25-0.35%,0.35-0.50R
QCOM-2025-10-28 14:31:00+00:00,QCOM,bullish,rsi_oversold_volume_surge,regular,2025-10-28 14:30:00+00:00,2025-10-28 14:31:00+00:00,180.15,169.0366666666667,206.16666666666669,0.5862246006494369,2.341031793641277,2.341031793641277,2.341031793641277,1,0.4521548633242552,2.2513144519555985,True,2025-10-28 19:26:00+00:00,181.935,SIGNAL_EXIT,0.160617876424715,0.160617876424715,1.7849999999999966,1.7849999999999966,17700.0,183.06,1.6153205661948358,0.2618476304739053,179.7001,-0.2497363308354225,-0.0404829034193174,macd_bearish_cross,bearish,STRUCTURAL_PRIMARY,,169.0366666666667,prior_session_S1_pivot,X_early,Task53,RSI,,6.168933296327125,,0.0162905668866227,MID_1030_1500,,X_early,11.113333333333316,0.1443273095380923,,0.160617876424715,295.0,>=0.75%,<0.20R
QCOM-2025-10-29 16:18:00+00:00,QCOM,bullish,macd_bullish_cross,regular,2025-10-29 16:17:00+00:00,2025-10-29 16:18:00+00:00,180.335,178.33666666666667,184.83666666666667,0.2298943697334416,2.252710592160131,2.252710592160131,2.252710592160131,1,0.4550882251899024,2.662946149681396,True,2025-10-29 16:57:00+00:00,181.17,SIGNAL_EXIT,0.4178482068390219,0.4178482068390219,0.8349999999999795,0.8349999999999795,2340.0,181.39,0.5850223195718959,0.5279399499582874,180.05,-0.1580392048132623,-0.1426188490408655,macd_bearish_cross,bearish,STRUCTURAL_PRIMARY,,178.33666666666667,prior_session_S1_pivot,X_early,Task53,MACD,,1.108122845445052,,0.09045162635529602,MID_1030_1500,,X_early,1.9983333333333348,0.3273965804837259,,0.4178482068390219,39.0,>=0.75%,<0.20R
KLAC-2025-10-30 15:57:00+00:00,KLAC,bullish,rsi_oversold_volume_surge,regular,2025-10-30 15:55:00+00:00,2025-10-30 15:57:00+00:00,1207.35,1204.956569068666,1256.0700000000002,2.728953954222728,11.486696804891771,11.486696804891771,20.355715873048087,1,0.6167715712139152,2.5052452273624297,True,2025-10-30 16:08:00+00:00,1204.956569068666,STOP,-1.0,-1.0,-2.393430931334024,-2.393430931334024,660.0,1211.2,0.3188801921563868,1.608569501462182,1204.71,-0.2186607031929326,-1.1030190867168326,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,RSI,,0.19823836760954125,,0.503943217555969,MID_1030_1500,,X_early,2.3934309313337963,-1.503943217555969,,-1.0,11.0,0.15-0.25%,0.50-0.75R
AMAT-2025-10-30 16:42:00+00:00,AMAT,bullish,rsi_oversold_volume_surge,regular,2025-10-30 16:41:00+00:00,2025-10-30 16:42:00+00:00,233.87,232.77000000000004,238.16000000000005,0.2450133097167644,3.9000000000001394,3.9000000000001394,3.9000000000001394,1,0.5600714785473293,2.970240594032713,True,2025-10-30 17:06:00+00:00,232.77000000000004,STOP,-1.0,-1.0,-1.099999999999966,-1.099999999999966,1440.0,234.36,0.209518108350797,0.4454545454545675,232.71,-0.4960020524222844,-1.0545454545454842,,,STRUCTURAL_PRIMARY,,232.77000000000004,prior_session_S1_pivot,X_early,Task53,RSI,,0.47034677384870477,,0.21210909090909752,MID_1030_1500,,X_early,1.099999999999966,-1.2121090909090975,,-1.0,24.0,0.35-0.50%,0.20-0.35R
AMZN-2025-10-30 16:42:00+00:00,AMZN,bullish,rsi_oversold_volume_surge,regular,2025-10-30 16:41:00+00:00,2025-10-30 16:42:00+00:00,225.83,225.4398129013557,232.8533333333333,0.24012473242952,19.58241524996775,19.58241524996775,17.999911728850588,1,0.5825405492868514,0.7936941310092411,True,2025-10-30 17:03:00+00:00,225.4398129013557,STOP,-1.0,-1.0,-0.3901870986442759,-0.3901870986442759,1260.0,226.36,0.2346898109197188,1.3583227170798624,225.37,-0.2036930434397591,-1.1789216035032946,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,RSI,,0.17277912529084014,,0.5782736211285326,MID_1030_1500,,X_early,0.39018709864430434,-1.5782736211285326,,-1.0,21.0,0.15-0.25%,0.50-0.75R
AMD-2025-10-30 16:51:00+00:00,AMD,bullish,macd_bullish_cross,regular,2025-10-30 16:50:00+00:00,2025-10-30 16:51:00+00:00,262.45,258.8029666666667,268.4784666666667,0.410168693821245,1.6683428172199564,1.6683428172199564,1.6529782197402716,1,0.430175283300532,3.1704023800333982,True,2025-10-30 19:17:00+00:00,258.8029666666667,STOP,-1.0,-1.0,-3.6470333333332974,-3.6470333333332974,8760.0,262.45,0.0,0.0,258.7101,-1.4249952371880272,-1.0254636188317483,,,STRUCTURAL_PRIMARY,,258.8029666666667,prior_session_S1_pivot,X_early,Task53,MACD,,1.3896107195021137,,0.07146259973860104,MID_1030_1500,,X_early,3.6470333333332974,-1.0714625997386011,,-1.0,146.0,>=0.75%,<0.20R
AVGO-2025-10-30 18:36:00+00:00,AVGO,bullish,macd_bullish_cross,regular,2025-10-30 18:35:00+00:00,2025-10-30 18:36:00+00:00,377.685,377.3733333333335,390.6633333333335,0.4963445294763628,42.33695652175452,42.33695652175452,41.64171122996204,1,0.6099676012906523,2.165046731199282,True,2025-10-30 18:39:00+00:00,377.3733333333335,STOP,-1.0,-1.0,-0.3116666666665537,-0.3116666666665537,180.0,378.54,0.226379125461699,2.7433155080224427,377.2,-0.1284138898817834,-1.5561497326209284,,,STRUCTURAL_PRIMARY,,377.3733333333335,prior_session_S1_pivot,X_early,Task53,MACD,,0.08252026600645959,,1.2113235294124247,MID_1030_1500,,X_early,0.3116666666664969,-2.2113235294124247,,-1.0,3.0,<0.15%,1.00-2.00R
QCOM-2025-10-30 19:24:00+00:00,QCOM,bullish,macd_bullish_cross,regular,2025-10-30 19:23:00+00:00,2025-10-30 19:24:00+00:00,178.3487,176.7266666666667,182.0166666666667,0.1762627920040365,2.3200836820084394,2.3200836820084394,2.261338649020816,1,0.4473451905225937,2.0736751467710373,True,2025-10-30 19:50:00+00:00,178.162,END_OF_SESSION,-0.1151024434351966,-0.1151024434351966,-0.1867000000000018,-0.1867000000000018,1560.0,178.53,0.1016547919889481,0.1117732886705953,177.71,-0.3581186742600311,-0.3937650274347045,,,STRUCTURAL_PRIMARY,,176.7266666666667,prior_session_S1_pivot,X_early,Task53,MACD,,0.9094730341927472,,0.10989623106800196,CLOSE_1500_ONWARD,,X_early,1.6220333333333201,-0.22499867450319855,,-0.1151024434351966,26.0,>=0.75%,<0.20R
GOOGL-2025-10-31 14:02:00+00:00,GOOGL,bullish,rsi_oversold_volume_surge,regular,2025-10-31 14:01:00+00:00,2025-10-31 14:02:00+00:00,279.06,277.16333333333336,288.6933333333333,0.7534595087620001,4.953528399311516,4.953528399311516,5.079086115993019,1,0.6001481658652419,1.8134897619942147,True,2025-10-31 14:04:00+00:00,277.16333333333336,STOP,-1.0,-1.0,-1.896666666666647,-1.896666666666647,120.0,279.27,0.0752526338421771,0.1107205623901485,277.04,-0.7238586683867203,-1.0650263620386655,,,STRUCTURAL_PRIMARY,,277.16333333333336,prior_session_S1_pivot,X_early,Task53,RSI,,0.6796626770825798,,0.14663181019332316,OPEN_0930_1030,,X_early,1.896666666666647,-1.1466318101933233,,-1.0,2.0,0.50-0.75%,<0.20R
STX-2025-10-31 14:04:00+00:00,STX,bullish,rsi_oversold_volume_surge,regular,2025-10-31 14:03:00+00:00,2025-10-31 14:04:00+00:00,257.49,254.66076755865177,275.9133333333333,2.3194216275654966,5.108581990757927,5.108581990757927,6.51177791689461,1,0.5823208177237919,0.7827075528562599,True,2025-10-31 14:11:00+00:00,254.66076755865177,STOP,-1.0,-1.0,-2.829232441348239,-2.829232441348239,420.0,259.625,0.8291584139189836,0.7546216312232659,254.54,-1.1456755602159374,-1.0426856262804012,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,RSI,,1.098773716007705,,0.09051054980031831,OPEN_0930_1030,,X_early,2.829232441348239,-1.0905105498003183,,-1.0,7.0,>=0.75%,<0.20R
AVGO-2025-10-31 15:01:00+00:00,AVGO,bullish,macd_bullish_cross,regular,2025-10-31 15:00:00+00:00,2025-10-31 15:01:00+00:00,374.6525,368.8733333333335,385.2133333333334,0.5778130398842901,1.7203107658158103,1.7203107658158103,1.827397260274037,1,0.4415567842611553,3.5835735822770007,True,2025-10-31 16:20:00+00:00,368.8733333333335,STOP,-1.0,-1.0,-5.779166666666527,-5.779166666666527,4740.0,376.38,0.4610939470576122,0.2989185291997224,368.87,-1.5434302453606932,-1.0005767844268396,,,STRUCTURAL_PRIMARY,,368.8733333333335,prior_session_S1_pivot,X_early,Task53,MACD,,1.542540532004049,,0.0643281182408097,MID_1030_1500,,X_early,5.77916666666647,-1.0643281182408098,,-1.0,79.0,>=0.75%,<0.20R
MU-2025-10-31 16:15:00+00:00,MU,bullish,rsi_oversold_volume_surge,regular,2025-10-31 16:14:00+00:00,2025-10-31 16:15:00+00:00,221.905,220.73333333333335,227.39333333333337,0.5364717777556964,4.6123595505620605,4.6123595505620605,4.684210526315993,1,0.5627349403778726,0.9663350338741162,True,2025-10-31 16:19:00+00:00,220.73333333333335,STOP,-1.0,-1.0,-1.1716666666666242,-1.1716666666666242,240.0,221.96,0.0247853811315683,0.0469416785206334,220.59,-0.5925959306910604,-1.1223328591750033,,,STRUCTURAL_PRIMARY,,220.73333333333335,prior_session_S1_pivot,X_early,Task53,RSI,,0.528003725317885,,0.1888926031294475,MID_1030_1500,,X_early,1.1716666666666526,-1.1888926031294476,,-1.0,4.0,0.50-0.75%,<0.20R
LRCX-2025-10-31 16:25:00+00:00,LRCX,bullish,rsi_oversold_volume_surge,regular,2025-10-31 16:24:00+00:00,2025-10-31 16:25:00+00:00,158.395,158.03181213754172,164.0666666666666,0.2387919083055195,15.84829432160906,15.84829432160906,15.61634419244382,1,0.5841291355029258,0.8731234418129594,True,2025-10-31 16:26:00+00:00,158.03181213754172,STOP,-1.0,-1.0,-0.3631878624582896,-0.3631878624582896,60.0,158.395,0.0,0.0,158.03,-0.2304365668108267,-1.0049895322201954,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,RSI,,0.22929250447191488,,0.43562415604387367,MID_1030_1500,,X_early,0.3631878624582896,-1.4356241560438736,,-1.0,1.0,0.15-0.25%,0.35-0.50R
AMAT-2025-10-31 17:10:00+00:00,AMAT,bullish,macd_bullish_cross,regular,2025-10-31 17:09:00+00:00,2025-10-31 17:10:00+00:00,231.08,228.92000000000007,239.3400000000001,0.3124512239203768,3.7579908675800313,3.7579908675800313,3.8240740740742023,1,0.5613753376804469,3.46146094794892,True,2025-10-31 19:50:00+00:00,234.455,END_OF_SESSION,1.5625000000000435,1.5625000000000435,3.375,3.375,9600.0,234.6825,1.5589839016790683,1.6678240740741168,230.45,-0.272632854422721,-0.2916666666666858,,,STRUCTURAL_PRIMARY,,228.92000000000007,prior_session_S1_pivot,X_early,Task53,MACD,,0.9347412151635535,,0.10776273148148449,MID_1030_1500,,X_early,2.1599999999999397,1.4547372685185591,,1.5625000000000435,160.0,>=0.75%,<0.20R
