task,window,time_bucket,N,winners,losses,flats,win_rate,gross_total_R,gross_expectancy_R,gross_PF,median_R,p25_R,p75_R,mean_winning_R,median_winning_R,mean_losing_R,max_winner_R,top3_winner_mean_R,top5_winner_mean_R,positive_R_top3_concentration,stop_rate,signal_exit_rate,end_of_session_rate,target_rate,holding_minutes_mean,holding_minutes_median,total_R_5bps,minutes_to_1600_median
Task53,X_early,MID,7,1,6,0,0.14285714285714285,-5.839382123575285,-0.8341974462250407,0.026769646070785833,-1.0,-1.0,-1.0,0.160617876424715,0.160617876424715,-1.0,0.160617876424715,0.160617876424715,0.160617876424715,1.0,0.8571428571428571,0.14285714285714285,0.0,0.0,51.142857142857146,11.0,-8.15239064645461,216.0
Task53,X_early,OPEN,2,0,2,0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,,,-1.0,,,,,1.0,0.0,0.0,0.0,4.5,4.5,-2.2371423599936415,357.0
Task53,Y_middle,MID,2,1,1,0,0.5,3.8724387304141326,1.9362193652070663,4.872438730414133,1.9362193652070663,0.46810968260353314,3.4043290478105996,4.872438730414133,4.872438730414133,-1.0,4.872438730414133,4.872438730414133,4.872438730414133,1.0,0.5,0.0,0.5,0.0,107.5,107.5,3.323719035641225,219.0
Task53,Z_late,MID,4,2,2,0,0.5,12.171997122297375,3.0429992805743438,7.0859985611486875,-0.13380009657171044,-1.0,3.9091991840026337,7.0859985611486875,7.0859985611486875,-1.0,13.439597315440796,7.0859985611486875,7.0859985611486875,1.0,0.5,0.5,0.0,0.0,50.75,28.5,9.956282374398771,226.0
Task53,Z_late,OPEN,2,0,2,0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,,,-1.0,,,,,1.0,0.0,0.0,0.0,88.0,88.0,-2.3472728977454076,368.5
Task54,W1,MID,11,3,8,0,0.2727272727272727,-3.077982997389131,-0.2798166361262846,0.6152521253263588,-1.0,-1.0,0.02132254951518031,1.6406723342036234,1.8940451561277216,-1.0,1.9853267474527871,1.6406723342036234,1.6406723342036234,1.0,0.7272727272727273,0.0,0.2727272727272727,0.0,69.9090909090909,19.0,-8.063538940825069,206.0
Task54,W1,OPEN,1,0,1,0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,,,-1.0,,,,,1.0,0.0,0.0,0.0,114.0,114.0,-1.113806772908367,357.0
Task54,W2,MID,3,2,1,0,0.6666666666666666,2.8809063843700597,0.9603021281233532,3.8809063843700597,0.7613267316190341,-0.11933663419048302,1.9404531921850299,1.9404531921850299,1.9404531921850299,-1.0,3.1195796527510256,1.9404531921850299,1.9404531921850299,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,112.0,77.0,2.2198262156392783,260.0
Task54,W2,OPEN,3,1,2,0,0.3333333333333333,5.063386676485419,1.687795558828473,3.5316933382427096,-1.0,-1.0,3.03169333824271,7.063386676485419,7.063386676485419,-1.0,7.063386676485419,7.063386676485419,7.063386676485419,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,120.33333333333333,45.0,3.7998453500076383,357.0
Task54,W3,MID,16,8,8,0,0.5,27.83669881552827,1.7397936759705168,4.479587351941034,0.004310344827574419,-1.0,3.5063924992124713,4.479587351941034,3.536691673313789,-1.0,10.455746766609664,7.662252730207558,6.01202830745005,0.6414306828022441,0.5,0.125,0.375,0.0,89.375,67.0,22.18293851392113,236.5
Task54,W3,OPEN,5,1,4,0,0.2,-3.129550321199147,-0.6259100642398294,0.21761241970021328,-1.0,-1.0,-1.0,0.8704496788008531,0.8704496788008531,-1.0,0.8704496788008531,0.8704496788008531,0.8704496788008531,1.0,0.8,0.2,0.0,0.0,29.2,9.0,-3.7221456841454224,346.0
Task56,H1_early,CLOSE,1,1,0,0,1.0,0.4043244795038053,0.4043244795038053,inf,0.4043244795038053,0.4043244795038053,0.4043244795038053,0.4043244795038053,0.4043244795038053,,0.4043244795038053,0.4043244795038053,0.4043244795038053,1.0,0.0,0.0,1.0,0.0,35.0,35.0,-0.40805235120475575,45.0
Task56,H1_early,MID,10,2,7,1,0.2,-5.033477510801157,-0.5033477510801158,0.18295582174967528,-1.0,-1.0,-0.040148514851484574,0.5635582743023907,0.5635582743023907,-0.8800848656294198,0.7409200968522905,0.5635582743023907,0.5635582743023907,1.0,0.6,0.1,0.3,0.0,77.2,46.5,-9.036207769799088,172.0
Task56,H1_early,OPEN,2,0,2,0,0.0,-1.3542724097788112,-0.6771362048894056,0.0,-0.6771362048894056,-0.8385681024447028,-0.5157043073341083,,,-0.6771362048894056,,,,,0.5,0.0,0.5,0.0,185.0,185.0,-1.565996384747784,353.0
Task56,H2_middle,CLOSE,1,1,0,0,1.0,5.467750550323512,5.467750550323512,inf,5.467750550323512,5.467750550323512,5.467750550323512,5.467750550323512,5.467750550323512,,5.467750550323512,5.467750550323512,5.467750550323512,1.0,0.0,0.0,1.0,0.0,30.0,30.0,5.135022942946015,40.0
Task56,H2_middle,MID,6,3,3,0,0.5,1.0135802454606475,0.1689300409101079,3.1050233109242784,0.06322663755138844,-0.16328759846140936,0.4064597817072721,0.4983619062260784,0.4644357288829466,-0.16050182440586253,0.7981180496150398,0.4983619062260784,0.4983619062260784,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0,181.0,174.5,0.2510759234541001,184.5
Task56,H2_middle,OPEN,3,1,2,0,0.3333333333333333,1.2406992380099249,0.41356641266997496,1.6203496190049624,-1.0,-1.0,1.1203496190049624,3.240699238009925,3.240699238009925,-1.0,3.240699238009925,3.240699238009925,3.240699238009925,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,49.333333333333336,22.0,0.7474336699631059,370.0
