task,window,exit_reason,N,positive_N,mean_R,median_R,positive_mean_R,positive_median_R,positive_holding_minutes_median
Task53,X_early,SIGNAL_EXIT,1,1,0.160617876424715,0.160617876424715,0.160617876424715,0.160617876424715,295.0
Task53,X_early,STOP,8,0,-1.0,-1.0,,,
Task53,Y_middle,END_OF_SESSION,1,1,4.872438730414133,4.872438730414133,4.872438730414133,4.872438730414133,156.0
Task53,Y_middle,STOP,1,0,-1.0,-1.0,,,
Task53,Z_late,SIGNAL_EXIT,2,2,7.0859985611486875,7.0859985611486875,7.0859985611486875,7.0859985611486875,99.5
Task53,Z_late,STOP,4,0,-1.0,-1.0,,,
Task54,W1,END_OF_SESSION,3,3,1.6406723342036234,1.8940451561277216,1.6406723342036234,1.8940451561277216,235.0
Task54,W1,STOP,9,0,-1.0,-1.0,,,
Task54,W2,END_OF_SESSION,1,1,3.1195796527510256,3.1195796527510256,3.1195796527510256,3.1195796527510256,250.0
Task54,W2,SIGNAL_EXIT,2,2,3.9123567040522267,3.9123567040522267,3.9123567040522267,3.9123567040522267,191.5
Task54,W2,STOP,3,0,-1.0,-1.0,,,
Task54,W3,END_OF_SESSION,6,6,4.853609457183903,3.536691673313789,4.853609457183903,3.536691673313789,162.0
Task54,W3,SIGNAL_EXIT,3,3,2.5284972504085714,1.9976668222118228,2.5284972504085714,1.9976668222118228,98.0
Task54,W3,STOP,12,0,-1.0,-1.0,,,
Task56,H1_early,END_OF_SESSION,5,2,0.05513089241430933,0.0,0.3952604656281481,0.3952604656281481,105.5
Task56,H1_early,SIGNAL_EXIT,1,1,0.7409200968522905,0.7409200968522905,0.7409200968522905,0.7409200968522905,161.0
Task56,H1_early,STOP,7,0,-1.0,-1.0,,,
Task56,H2_middle,END_OF_SESSION,6,3,0.94720212436152,0.06322663755138844,2.0549060731289024,0.4644357288829466,130.0
Task56,H2_middle,SIGNAL_EXIT,2,2,2.0194086438124823,2.0194086438124823,2.0194086438124823,2.0194086438124823,193.5
Task56,H2_middle,STOP,2,0,-1.0,-1.0,,,
Task56,H3_late,END_OF_SESSION,5,3,0.4047099327513428,0.16169724770642,0.880050738883527,0.5491071428571437,128.0
Task56,H3_late,SIGNAL_EXIT,5,4,1.5920961536774718,2.009575353871822,2.05843138754276,2.3597579560760633,141.0
Task56,H3_late,STOP,11,0,-1.0,-1.0,,,
