trade_id,task,window,symbol,horizon,entry_timestamp,bounded_end,session_close,observed_through,bars,favorable_excursion_R
STX-2025-10-27 16:24:00+00:00,Task53,X_early,STX,15m,2025-10-27T16:24:00+00:00,2025-10-27T16:39:00+00:00,2025-10-27T20:00:00+00:00,2025-10-27T16:38:00+00:00,15,0.23022529189275556
STX-2025-10-27 16:24:00+00:00,Task53,X_early,STX,30m,2025-10-27T16:24:00+00:00,2025-10-27T16:54:00+00:00,2025-10-27T20:00:00+00:00,2025-10-27T16:53:00+00:00,30,0.23022529189275556
STX-2025-10-27 16:24:00+00:00,Task53,X_early,STX,60m,2025-10-27T16:24:00+00:00,2025-10-27T17:24:00+00:00,2025-10-27T20:00:00+00:00,2025-10-27T17:23:00+00:00,60,1.7924683440223486
STX-2025-10-27 16:24:00+00:00,Task53,X_early,STX,120m,2025-10-27T16:24:00+00:00,2025-10-27T18:24:00+00:00,2025-10-27T20:00:00+00:00,2025-10-27T18:23:00+00:00,120,1.7924683440223486
STX-2025-10-27 16:24:00+00:00,Task53,X_early,STX,TO_SESSION_CLOSE,2025-10-27T16:24:00+00:00,2025-10-27T20:00:00+00:00,2025-10-27T20:00:00+00:00,2025-10-27T19:59:00+00:00,216,1.7924683440223486
QCOM-2025-10-28 14:31:00+00:00,Task53,X_early,QCOM,15m,2025-10-28T14:31:00+00:00,2025-10-28T14:46:00+00:00,2025-10-28T20:00:00+00:00,2025-10-28T14:45:00+00:00,15,0.02942411517696449
QCOM-2025-10-28 14:31:00+00:00,Task53,X_early,QCOM,30m,2025-10-28T14:31:00+00:00,2025-10-28T15:01:00+00:00,2025-10-28T20:00:00+00:00,2025-10-28T15:00:00+00:00,30,0.09357228554289056
QCOM-2025-10-28 14:31:00+00:00,Task53,X_early,QCOM,60m,2025-10-28T14:31:00+00:00,2025-10-28T15:31:00+00:00,2025-10-28T20:00:00+00:00,2025-10-28T15:30:00+00:00,60,0.1853629274145176
QCOM-2025-10-28 14:31:00+00:00,Task53,X_early,QCOM,120m,2025-10-28T14:31:00+00:00,2025-10-28T16:31:00+00:00,2025-10-28T20:00:00+00:00,2025-10-28T16:30:00+00:00,120,0.21055788842231618
QCOM-2025-10-28 14:31:00+00:00,Task53,X_early,QCOM,TO_SESSION_CLOSE,2025-10-28T14:31:00+00:00,2025-10-28T20:00:00+00:00,2025-10-28T20:00:00+00:00,2025-10-28T19:59:00+00:00,329,0.26184763047390536
KLAC-2025-10-30 15:57:00+00:00,Task53,X_early,KLAC,15m,2025-10-30T15:57:00+00:00,2025-10-30T16:12:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T16:11:00+00:00,14,1.608569501462335
KLAC-2025-10-30 15:57:00+00:00,Task53,X_early,KLAC,30m,2025-10-30T15:57:00+00:00,2025-10-30T16:27:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T16:25:00+00:00,24,3.0729944631831385
KLAC-2025-10-30 15:57:00+00:00,Task53,X_early,KLAC,60m,2025-10-30T15:57:00+00:00,2025-10-30T16:57:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T16:56:00+00:00,49,5.673863332430645
KLAC-2025-10-30 15:57:00+00:00,Task53,X_early,KLAC,120m,2025-10-30T15:57:00+00:00,2025-10-30T17:57:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T17:55:00+00:00,100,5.673863332430645
KLAC-2025-10-30 15:57:00+00:00,Task53,X_early,KLAC,TO_SESSION_CLOSE,2025-10-30T15:57:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T19:59:00+00:00,220,8.951584823072622
AMAT-2025-10-30 16:42:00+00:00,Task53,X_early,AMAT,15m,2025-10-30T16:42:00+00:00,2025-10-30T16:57:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T16:56:00+00:00,15,0.44545454545456753
AMAT-2025-10-30 16:42:00+00:00,Task53,X_early,AMAT,30m,2025-10-30T16:42:00+00:00,2025-10-30T17:12:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T17:11:00+00:00,30,0.44545454545456753
AMAT-2025-10-30 16:42:00+00:00,Task53,X_early,AMAT,60m,2025-10-30T16:42:00+00:00,2025-10-30T17:42:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T17:41:00+00:00,60,0.44545454545456753
AMAT-2025-10-30 16:42:00+00:00,Task53,X_early,AMAT,120m,2025-10-30T16:42:00+00:00,2025-10-30T18:42:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T18:41:00+00:00,120,0.44545454545456753
AMAT-2025-10-30 16:42:00+00:00,Task53,X_early,AMAT,TO_SESSION_CLOSE,2025-10-30T16:42:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T19:59:00+00:00,198,0.6545454545454739
AMZN-2025-10-30 16:42:00+00:00,Task53,X_early,AMZN,15m,2025-10-30T16:42:00+00:00,2025-10-30T16:57:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T16:56:00+00:00,15,1.3583227170797634
AMZN-2025-10-30 16:42:00+00:00,Task53,X_early,AMZN,30m,2025-10-30T16:42:00+00:00,2025-10-30T17:12:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T17:11:00+00:00,30,1.3583227170797634
AMZN-2025-10-30 16:42:00+00:00,Task53,X_early,AMZN,60m,2025-10-30T16:42:00+00:00,2025-10-30T17:42:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T17:41:00+00:00,60,1.3583227170797634
AMZN-2025-10-30 16:42:00+00:00,Task53,X_early,AMZN,120m,2025-10-30T16:42:00+00:00,2025-10-30T18:42:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T18:41:00+00:00,120,1.3583227170797634
AMZN-2025-10-30 16:42:00+00:00,Task53,X_early,AMZN,TO_SESSION_CLOSE,2025-10-30T16:42:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T20:00:00+00:00,2025-10-30T19:59:00+00:00,198,1.3583227170797634
GOOGL-2025-10-31 14:02:00+00:00,Task53,X_early,GOOGL,15m,2025-10-31T14:02:00+00:00,2025-10-31T14:17:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T14:16:00+00:00,15,0.11072056239014853
GOOGL-2025-10-31 14:02:00+00:00,Task53,X_early,GOOGL,30m,2025-10-31T14:02:00+00:00,2025-10-31T14:32:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T14:31:00+00:00,30,0.2636203866432365
GOOGL-2025-10-31 14:02:00+00:00,Task53,X_early,GOOGL,60m,2025-10-31T14:02:00+00:00,2025-10-31T15:02:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T15:01:00+00:00,60,0.9806678383128469
GOOGL-2025-10-31 14:02:00+00:00,Task53,X_early,GOOGL,120m,2025-10-31T14:02:00+00:00,2025-10-31T16:02:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T16:01:00+00:00,120,1.7398945518453668
GOOGL-2025-10-31 14:02:00+00:00,Task53,X_early,GOOGL,TO_SESSION_CLOSE,2025-10-31T14:02:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T19:59:00+00:00,358,3.1318101933216482
STX-2025-10-31 14:04:00+00:00,Task53,X_early,STX,15m,2025-10-31T14:04:00+00:00,2025-10-31T14:19:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T14:18:00+00:00,15,0.7546216312232659
STX-2025-10-31 14:04:00+00:00,Task53,X_early,STX,30m,2025-10-31T14:04:00+00:00,2025-10-31T14:34:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T14:33:00+00:00,30,0.7546216312232659
STX-2025-10-31 14:04:00+00:00,Task53,X_early,STX,60m,2025-10-31T14:04:00+00:00,2025-10-31T15:04:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T15:03:00+00:00,60,0.7546216312232659
STX-2025-10-31 14:04:00+00:00,Task53,X_early,STX,120m,2025-10-31T14:04:00+00:00,2025-10-31T16:04:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T16:03:00+00:00,120,0.7546216312232659
STX-2025-10-31 14:04:00+00:00,Task53,X_early,STX,TO_SESSION_CLOSE,2025-10-31T14:04:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T19:59:00+00:00,356,1.2406191688963313
MU-2025-10-31 16:15:00+00:00,Task53,X_early,MU,15m,2025-10-31T16:15:00+00:00,2025-10-31T16:30:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T16:29:00+00:00,15,0.18349928876245175
MU-2025-10-31 16:15:00+00:00,Task53,X_early,MU,30m,2025-10-31T16:15:00+00:00,2025-10-31T16:45:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T16:44:00+00:00,30,0.18349928876245175
MU-2025-10-31 16:15:00+00:00,Task53,X_early,MU,60m,2025-10-31T16:15:00+00:00,2025-10-31T17:15:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T17:14:00+00:00,60,0.18349928876245175
MU-2025-10-31 16:15:00+00:00,Task53,X_early,MU,120m,2025-10-31T16:15:00+00:00,2025-10-31T18:15:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T18:14:00+00:00,120,0.4651493598861969
MU-2025-10-31 16:15:00+00:00,Task53,X_early,MU,TO_SESSION_CLOSE,2025-10-31T16:15:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T19:59:00+00:00,225,3.3279089615932183
LRCX-2025-10-31 16:25:00+00:00,Task53,X_early,LRCX,15m,2025-10-31T16:25:00+00:00,2025-10-31T16:40:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T16:39:00+00:00,15,0.0
LRCX-2025-10-31 16:25:00+00:00,Task53,X_early,LRCX,30m,2025-10-31T16:25:00+00:00,2025-10-31T16:55:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T16:54:00+00:00,30,0.0
LRCX-2025-10-31 16:25:00+00:00,Task53,X_early,LRCX,60m,2025-10-31T16:25:00+00:00,2025-10-31T17:25:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T17:24:00+00:00,60,0.0
LRCX-2025-10-31 16:25:00+00:00,Task53,X_early,LRCX,120m,2025-10-31T16:25:00+00:00,2025-10-31T18:25:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T18:24:00+00:00,120,0.0
LRCX-2025-10-31 16:25:00+00:00,Task53,X_early,LRCX,TO_SESSION_CLOSE,2025-10-31T16:25:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T20:00:00+00:00,2025-10-31T19:59:00+00:00,215,0.12390281904080848
AMD-2026-03-24 17:14:00+00:00,Task53,Y_middle,AMD,15m,2026-03-24T17:14:00+00:00,2026-03-24T17:29:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T17:28:00+00:00,15,0.723182000803577
AMD-2026-03-24 17:14:00+00:00,Task53,Y_middle,AMD,30m,2026-03-24T17:14:00+00:00,2026-03-24T17:44:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T17:43:00+00:00,30,1.3619927681800774
AMD-2026-03-24 17:14:00+00:00,Task53,Y_middle,AMD,60m,2026-03-24T17:14:00+00:00,2026-03-24T18:14:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T18:13:00+00:00,60,4.495781438328934
AMD-2026-03-24 17:14:00+00:00,Task53,Y_middle,AMD,120m,2026-03-24T17:14:00+00:00,2026-03-24T19:14:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T19:13:00+00:00,120,6.641221374046234
AMD-2026-03-24 17:14:00+00:00,Task53,Y_middle,AMD,TO_SESSION_CLOSE,2026-03-24T17:14:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T19:59:00+00:00,166,6.930494174367679
