analysis,threshold,task,window,symbol,N,total_R,share_of_window_large_winner_R,gross_expectancy_R
WINNER_CONCENTRATION,2R_PLUS,Task53,Y_middle,AMD,1,4.872438730414133,1.0,
WINNER_CONCENTRATION,2R_PLUS,Task53,Z_late,ADI,1,13.439597315440796,1.0,
WINNER_CONCENTRATION,2R_PLUS,Task54,W2,LRCX,1,7.063386676485419,0.6936472583834083,
WINNER_CONCENTRATION,2R_PLUS,Task54,W2,STX,1,3.1195796527510256,0.30635274161659165,
WINNER_CONCENTRATION,2R_PLUS,Task54,W3,AMAT,2,6.2463630915222,0.19026149364219497,
WINNER_CONCENTRATION,2R_PLUS,Task54,W3,INTC,1,4.7173752502130375,0.14368919129828106,
WINNER_CONCENTRATION,2R_PLUS,Task54,W3,QCOM,1,7.813636173799972,0.23799994771702976,
WINNER_CONCENTRATION,2R_PLUS,Task54,W3,STX,1,3.5972900215164243,0.10957188407552021,
WINNER_CONCENTRATION,2R_PLUS,Task54,W3,TXN,1,10.455746766609664,0.31847748326697395,
WINNER_CONCENTRATION,2R_PLUS,Task56,H2_middle,BKNG,1,5.467750550323512,0.6278672649233812,
WINNER_CONCENTRATION,2R_PLUS,Task56,H2_middle,STX,1,3.240699238009925,0.372132735076619,
WINNER_CONCENTRATION,2R_PLUS,Task56,H3_late,ADI,1,2.960638209447465,0.3854920308332087,
WINNER_CONCENTRATION,2R_PLUS,Task56,H3_late,META,1,2.7099405582803047,0.352849762566469,
WINNER_CONCENTRATION,2R_PLUS,Task56,H3_late,VRTX,1,2.009575353871822,0.2616582066003222,
WINNER_CONCENTRATION,4R_PLUS,Task53,Y_middle,AMD,1,4.872438730414133,1.0,
WINNER_CONCENTRATION,4R_PLUS,Task53,Z_late,ADI,1,13.439597315440796,1.0,
WINNER_CONCENTRATION,4R_PLUS,Task54,W2,LRCX,1,7.063386676485419,1.0,
WINNER_CONCENTRATION,4R_PLUS,Task54,W3,INTC,1,4.7173752502130375,0.20522142405175975,
WINNER_CONCENTRATION,4R_PLUS,Task54,W3,QCOM,1,7.813636173799972,0.3399190137645205,
WINNER_CONCENTRATION,4R_PLUS,Task54,W3,TXN,1,10.455746766609664,0.4548595621837198,
WINNER_CONCENTRATION,4R_PLUS,Task56,H2_middle,BKNG,1,5.467750550323512,1.0,
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,ADBE,55,35.778512286931694,,0.6505184052169399
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,ADI,55,21.3389149714909,,0.38798027220892545
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,AMAT,46,27.997706939206736,,0.6086458030262334
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,AMD,53,31.906073556517562,,0.602001387858822
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,AMZN,54,36.778512286931694,,0.6810835608691055
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,AVGO,53,37.778512286931694,,0.7128021186213527
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,CSCO,55,35.7785122869317,,0.65051840521694
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,GOOGL,55,35.778512286931694,,0.6505184052169399
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,INTC,52,31.018491937688296,,0.5965094603401595
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,INTU,55,35.778512286931694,,0.6505184052169399
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,KLAC,51,35.04844565786329,,0.687224424663986
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,LRCX,51,31.71512561044628,,0.6218652080479663
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,MU,50,37.793185539478905,,0.7558637107895781
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,PANW,55,35.778512286931694,,0.6505184052169399
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,QCOM,52,28.804258236707007,,0.5539280430135963
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,STX,51,31.061642612664244,,0.609051815934593
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,TSLA,55,35.778512286931694,,0.6505184052169399
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,TXN,55,24.32276552032203,,0.44223210036949145
PRIOR_LEAVE_ONE_SYMBOL_OUT,ALL,Task53+54,ALL,VRTX,55,35.7785122869317,,0.65051840521694
PRIOR_TOP_WINNER_SENSITIVITY,REMOVE_TOP_1,Task53+54,ALL,ALL,55,21.338914971490897,,0.3879802722089254
PRIOR_TOP_WINNER_SENSITIVITY,REMOVE_TOP_3,Task53+54,ALL,ALL,53,3.069532031081261,,0.05791569869964643
PRIOR_TOP_WINNER_SENSITIVITY,REMOVE_TOP_5,Task53+54,ALL,ALL,51,-8.866293375818291,,-0.17384888972192727
PRIOR_TOP_WINNER_SENSITIVITY,REMOVE_TOP_10,Task53+54,ALL,ALL,46,-26.546901391820978,,-0.5771065519961082
