trade_id,task,window,symbol,gross_R,mfe_R,mae_R,realization_ratio,canonical_mfe_price,recomputed_mfe_price,canonical_mae_price,recomputed_mae_price,lifecycle_end_inclusive,lifecycle_bar_count
STX-2025-10-27 16:24:00+00:00,Task53,X_early,STX,-1.0,0.2302252918927663,-1.1017924683440865,,230.23,230.23,229.42,229.42,True,3
QCOM-2025-10-28 14:31:00+00:00,Task53,X_early,QCOM,0.160617876424715,0.2618476304739053,-0.0404829034193174,0.6134020618556697,183.06,183.06,179.7001,179.7001,False,295
KLAC-2025-10-30 15:57:00+00:00,Task53,X_early,KLAC,-1.0,1.608569501462182,-1.1030190867168326,,1211.2,1211.2,1204.71,1204.71,True,12
AMAT-2025-10-30 16:42:00+00:00,Task53,X_early,AMAT,-1.0,0.4454545454545675,-1.0545454545454842,,234.36,234.36,232.71,232.71,True,25
AMZN-2025-10-30 16:42:00+00:00,Task53,X_early,AMZN,-1.0,1.3583227170798624,-1.1789216035032946,,226.36,226.36,225.37,225.37,True,22
GOOGL-2025-10-31 14:02:00+00:00,Task53,X_early,GOOGL,-1.0,0.1107205623901485,-1.0650263620386655,,279.27,279.27,277.04,277.04,True,3
STX-2025-10-31 14:04:00+00:00,Task53,X_early,STX,-1.0,0.7546216312232659,-1.0426856262804012,,259.625,259.625,254.54,254.54,True,8
MU-2025-10-31 16:15:00+00:00,Task53,X_early,MU,-1.0,0.0469416785206334,-1.1223328591750033,,221.96,221.96,220.59,220.59,True,5
LRCX-2025-10-31 16:25:00+00:00,Task53,X_early,LRCX,-1.0,0.0,-1.0049895322201954,,158.395,158.395,158.03,158.03,True,2
AMD-2026-03-24 17:14:00+00:00,Task53,Y_middle,AMD,4.872438730414133,6.930494174367679,-0.5664925672961393,0.7030434782608675,206.43,206.43,200.21,200.21,True,157
AMD-2026-03-26 15:28:00+00:00,Task53,Y_middle,AMD,-1.0,3.335695669793541,-1.3328055545974122,,209.3,209.3,206.13,206.13,True,60
ADBE-2026-06-03 13:52:00+00:00,Task53,Z_late,ADBE,-1.0,0.3598393855434517,-1.2430815136955755,,254.3,254.3,252.34,252.34,True,6
ADI-2026-06-04 15:51:00+00:00,Task53,Z_late,ADI,13.439597315440796,14.62751677852851,-0.8053691275170044,0.9187887130075666,431.795,431.795,424.13,424.13,False,145
KLAC-2026-06-04 15:51:00+00:00,Task53,Z_late,KLAC,0.7323998068565791,0.8284403669724661,-0.0596813133751923,0.8840706417205778,2111.105,2111.105,2080.45,2080.45,False,54
KLAC-2026-06-05 13:51:00+00:00,Task53,Z_late,KLAC,-1.0,2.786952146749597,-1.0680549076608068,,2038.79,2038.79,1984.0001,1984.0001,True,172
CSCO-2026-06-05 16:50:00+00:00,Task53,Z_late,CSCO,-1.0,0.495491967340785,-1.030623292068853,,123.375,123.375,122.99,122.99,True,2
VRTX-2026-06-08 16:37:00+00:00,Task53,Z_late,VRTX,-1.0,0.5272727272725958,-1.3636363636361946,,443.58,443.58,442.54,442.54,True,4
AMAT-2025-10-03 17:56:00+00:00,Task54,W1,AMAT,1.8940451561277216,4.23965074682896,-0.3512136713349809,0.4467455621301754,218.75,218.75,216.92,216.92,True,115
STX-2025-10-06 18:52:00+00:00,Task54,W1,STX,-1.0,0.2888579215370275,-1.0200986046041154,,245.9099,245.9099,245.14,245.14,True,13
LRCX-2025-10-07 15:53:00+00:00,Task54,W1,LRCX,-1.0,0.361963779518723,-1.1464916093354185,,143.3868,143.3868,142.65,142.65,True,3
MU-2025-10-07 15:53:00+00:00,Task54,W1,MU,1.9853267474527871,2.8007288044423184,-0.3072529490105384,0.7088607594936724,186.56,186.56,183.93,183.93,True,238
INTC-2025-10-07 15:55:00+00:00,Task54,W1,INTC,1.0426450990303606,1.6284178116814296,-0.0118560727907741,0.6402810700982036,37.6699,37.6699,36.4801,36.4801,True,236
AMAT-2025-10-07 15:57:00+00:00,Task54,W1,AMAT,-1.0,1.903549385517865,-1.0132612262616163,,217.2499,217.2499,215.35,215.35,True,16
AMAT-2025-10-07 18:07:00+00:00,Task54,W1,AMAT,-1.0,0.5541498725238138,-2.1796561652603668,,215.1,215.1,213.99,213.99,True,20
MU-2025-10-09 17:01:00+00:00,Task54,W1,MU,-1.0,0.724137931034841,-2.172413793104131,,191.52,191.52,191.1,191.1,True,3
