metric,Task53_plus_54,Task56,change
gross_expectancy_R,0.6210448622666375,0.016423523292318064,-0.6046213389743194
win_rate,0.3392857142857143,0.3409090909090909,0.0016233766233765823
mean_winning_R,3.7778164361543,1.507256953462792,-2.2705594826915076
median_winning_R,2.7702697664110465,0.7409200968522905,-2.029349669558756
winner_2R_plus_rate,0.17857142857142858,0.11363636363636363,-0.06493506493506494
winner_4R_plus_rate,0.10714285714285714,0.022727272727272728,-0.08441558441558442
winner_median_MFE_R,4.23965074682896,2.199525168500723,-2.0401255783282366
winner_median_realization_ratio,0.7084130019120479,0.7175843694493725,0.009171367537324615
median_holding_minutes,25.5,64.5,39.0
end_of_session_rate,0.19642857142857142,0.36363636363636365,0.16720779220779222
signal_exit_rate,0.14285714285714285,0.18181818181818182,0.038961038961038974
median_price_vs_sma200_pct,2.1288069421722344,2.565836079162953,0.43702913699071866
median_atr_pct_15m,0.807204324537913,0.655284822225433,-0.15191950231247997
median_atr_pct_60m,1.2230191044282819,1.0801236881414953,-0.1428954162867866
open_entry_share,0.23214285714285715,0.1590909090909091,-0.07305194805194806
median_minutes_to_1600,245.5,172.0,-73.5
top_symbol_trade_share,0.17857142857142858,0.11363636363636363,-0.06493506493506494
median_stop_risk_pct,0.4305968398609795,0.551483244127011,0.12088640426603148
winner_median_stop_risk_pct,0.460749349730073,0.5572632184162185,0.09651386868614553
winner_median_MFE_price_pct,1.6153205661948358,0.9407436344509176,-0.6745769317439182
median_forward_60m_MFE_R,1.5507856665056805,0.7165872275279241,-0.8341984389777564
expectancy_change_frequency_component,,,0.030483468240510066
expectancy_change_winner_size_component,,,-0.7740543690993775
expectancy_change_loser_size_component,,,0.1389495618845481
exit_path_composition_effect,,,0.9899925257512259
within_exit_path_payoff_effect,,,-1.5946138647255452
