ticker,gross_trades,gross_wins,gross_losses,gross_flats,gross_total_R,gross_expectancy_R,gross_profit_factor,gross_max_drawdown_R,net_5bps_trades,net_5bps_wins,net_5bps_losses,net_5bps_flats,net_5bps_total_R,net_5bps_expectancy_R,net_5bps_profit_factor,net_5bps_max_drawdown_R,mean_cost_R_5bps,median_cost_R_5bps,median_holding_minutes
ADBE,1,0,1,0,-0.31759297952361043,-0.31759297952361043,0.0,0.31759297952361043,1,0,1,0,-0.4731759297952378,-0.4731759297952378,0.0,0.4731759297952378,0.15558295027162738,0.15558295027162738,139.0
ADI,2,0,2,0,-1.524757021504557,-0.7623785107522785,0.0,1.524757021504557,2,0,2,0,-1.6308897622874086,-0.8154448811437043,0.0,1.6308897622874086,0.0530663703914259,0.0530663703914259,161.5
AMAT,3,0,3,0,-2.1540171546428,-0.7180057182142666,0.0,2.1540171546428,3,0,3,0,-2.572274665223016,-0.857424888407672,0.0,2.572274665223016,0.1394191701934053,0.15578716566452577,12.0
AMD,2,1,1,0,2.166228070175451,1.0831140350877255,3.625730994152075,0.8249999999999958,2,1,1,0,1.8999510964912427,0.9499755482456214,2.9141717978057873,0.9925708333333269,0.13313848684210405,0.13313848684210405,211.5
AVGO,1,0,1,0,-1.0,-1.0,0.0,1.0,1,0,1,0,-1.080728260869565,-1.080728260869565,0.0,1.080728260869565,0.08072826086956507,0.08072826086956507,13.0
CMCSA,1,0,1,0,-0.3953488372093131,-0.3953488372093131,0.0,0.3953488372093131,1,0,1,0,-0.5588953488372228,-0.5588953488372228,0.0,0.5588953488372228,0.16354651162790979,0.16354651162790979,9.0
COST,1,1,0,0,1.3791666666666629,1.3791666666666629,inf,0.0,1,1,0,0,1.2145670833333295,1.2145670833333295,inf,0.0,0.16459958333333335,0.16459958333333335,344.0
GILD,1,1,0,0,0.2812499999999889,0.2812499999999889,inf,0.0,1,1,0,0,0.14409687499999085,0.14409687499999085,inf,0.0,0.13715312499999804,0.13715312499999804,344.0
GOOGL,1,0,1,0,-1.0,-1.0,0.0,1.0,1,0,1,0,-1.0925798722044746,-1.0925798722044746,0.0,1.0925798722044746,0.09257987220447467,0.09257987220447467,32.0
HON,2,0,2,0,-1.371975076075935,-0.6859875380379675,0.0,1.371975076075935,2,0,2,0,-1.668909046998024,-0.834454523499012,0.0,1.668909046998024,0.14846698546104442,0.14846698546104442,44.0
