family_a,family_b,n_events_a,n_events_b,a_covered_by_b_time_frac,b_covered_by_a_time_frac,a_covered_by_b_day_frac,b_covered_by_a_day_frac
F1 Multi-Hour Trend,F2 Structural Pullback,5544,7481,0.14484126984126985,0.10733859109744687,0.9996392496392497,1.0
F1 Multi-Hour Trend,F3 Range Expansion,5544,76,0.001443001443001443,0.10526315789473684,0.031385281385281384,1.0
F1 Multi-Hour Trend,F4 Relative Strength,5544,2208,0.04238816738816739,0.10643115942028986,0.4935064935064935,1.0
F1 Multi-Hour Trend,F5 Compression->Expansion,5544,5811,0.061507936507936505,0.05868181035966271,1.0,1.0
F1 Multi-Hour Trend,F6 Opening->Later,5544,735,0.007756132756132756,0.058503401360544216,0.3315295815295815,1.0
F2 Structural Pullback,F3 Range Expansion,7481,76,0.0001336719689881032,0.013157894736842105,0.029942521053335117,1.0
F2 Structural Pullback,F4 Relative Strength,7481,2208,0.03395268012297821,0.11503623188405797,0.4941852693490175,1.0
F2 Structural Pullback,F5 Compression->Expansion,7481,5811,0.11362117363988772,0.14627430734813285,1.0,0.9989674754775426
F2 Structural Pullback,F6 Opening->Later,7481,735,0.019516107472263067,0.19863945578231293,0.3693356503141291,1.0
F3 Range Expansion,F4 Relative Strength,76,2208,0.10526315789473684,0.0036231884057971015,0.4342105263157895,0.025815217391304348
F3 Range Expansion,F5 Compression->Expansion,76,5811,0.0,0.0,1.0,0.034761658922732745
F3 Range Expansion,F6 Opening->Later,76,735,0.0,0.0,0.18421052631578946,0.01904761904761905
F4 Relative Strength,F5 Compression->Expansion,2208,5811,0.18206521739130435,0.06917914300464637,1.0,0.48201686456720017
F4 Relative Strength,F6 Opening->Later,2208,735,0.1644021739130435,0.49387755102040815,0.3808876811594203,0.5183673469387755
F5 Compression->Expansion,F6 Opening->Later,5811,735,0.05799346067802444,0.45850340136054424,0.3255893994149028,1.0
