event_id,symbol,timestamp,direction,horizon_label,horizon_minutes,bars_observed,forward_return_pct,forward_return_signed_pct,favorable_excursion_pct,adverse_excursion_pct,bounded_by_session_close,definition
strong_move90_shallow_retrace20_000000,AAPL,2026-05-15 11:55:00+00:00,-1,15m,15,15,-0.027148092846472134,0.027148092846472134,0.04072213926971785,0.0916248133568555,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000000,AAPL,2026-05-15 11:55:00+00:00,-1,30m,30,30,0.006787023211613211,-0.006787023211613211,0.12895344102076675,0.09735984797068102,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000000,AAPL,2026-05-15 11:55:00+00:00,-1,60m,60,60,0.13574046423237995,-0.13574046423237995,0.26618705035971396,0.24433283561828778,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000000,AAPL,2026-05-15 11:55:00+00:00,-1,120m,120,120,1.3031084566309132,-1.3031084566309132,0.26618705035971396,1.36419166553549,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000001,AAPL,2026-05-15 13:47:00+00:00,1,15m,15,15,0.3705075954057135,0.3705075954057135,0.6029169052511101,0.07713294486172825,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000001,AAPL,2026-05-15 13:47:00+00:00,1,30m,30,30,0.8050119572905745,0.8050119572905745,0.8242109872343301,0.07713294486172825,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000001,AAPL,2026-05-15 13:47:00+00:00,1,60m,60,60,1.2092020613695416,1.2092020613695416,1.3776146047357714,0.07713294486172825,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000001,AAPL,2026-05-15 13:47:00+00:00,1,120m,120,120,1.5527636498366444,1.5527636498366444,1.9872680117215245,0.07713294486172825,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000002,AAPL,2026-05-15 15:33:00+00:00,1,15m,15,15,-0.2838088303435358,-0.2838088303435358,0.07943337525650662,0.28794598530482707,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000002,AAPL,2026-05-15 15:33:00+00:00,1,30m,30,30,-0.2316806778314651,-0.2316806778314651,0.07943337525650662,0.49645859535314757,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000002,AAPL,2026-05-15 15:33:00+00:00,1,60m,60,60,-0.03144237770568956,-0.03144237770568956,0.07943337525650662,0.49645859535314757,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000002,AAPL,2026-05-15 15:33:00+00:00,1,120m,120,120,0.2316806778314651,0.2316806778314651,0.35083074071622505,0.49645859535314757,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000003,AAPL,2026-05-15 17:45:00+00:00,1,15m,15,15,-0.09090758830431803,-0.09090758830431803,0.021487248144658015,0.13057635410984342,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000003,AAPL,2026-05-15 17:45:00+00:00,1,30m,30,30,-0.19999669426952224,-0.19999669426952224,0.021487248144658015,0.2198310771722849,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000003,AAPL,2026-05-15 17:45:00+00:00,1,60m,60,60,-0.4148691757161023,-0.4148691757161023,0.021487248144658015,0.6594932315168359,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000003,AAPL,2026-05-15 17:45:00+00:00,1,120m,120,120,-0.8743657129634161,-0.8743657129634161,0.021487248144658015,0.8942000958661788,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000004,AAPL,2026-05-15 18:51:00+00:00,-1,15m,15,15,-0.12463691786633621,0.12463691786633621,0.142878084664231,0.08099078058263547,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000004,AAPL,2026-05-15 18:51:00+00:00,-1,30m,30,30,-0.35016407100391866,0.35016407100391866,0.3927820697953498,0.08099078058263547,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000004,AAPL,2026-05-15 18:51:00+00:00,-1,60m,60,60,-0.5590751794764974,0.5590751794764974,0.5690580725786183,0.08099078058263547,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000004,AAPL,2026-05-15 18:51:00+00:00,-1,120m,120,69,-0.4181538745233309,0.4181538745233309,0.6254398608630186,0.08099078058263547,True,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000005,AAPL,2026-05-18 14:10:00+00:00,-1,15m,15,15,-0.01678359236011257,0.01678359236011257,0.19468967137727533,0.12755530193682502,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000005,AAPL,2026-05-18 14:10:00+00:00,-1,30m,30,30,-0.08056124332852509,0.08056124332852509,0.35916887650634416,0.19468967137725623,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000005,AAPL,2026-05-18 14:10:00+00:00,-1,60m,60,60,-0.3457420026182503,0.3457420026182503,0.44980027525092536,0.2249001376254436,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000005,AAPL,2026-05-18 14:10:00+00:00,-1,120m,120,120,-0.599174247255891,0.599174247255891,0.8861736766137569,0.2249001376254436,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000006,AAPL,2026-05-19 13:55:00+00:00,1,15m,15,15,-0.2474006218448093,-0.2474006218448093,0.15044632409481082,0.35438467453445294,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000006,AAPL,2026-05-19 13:55:00+00:00,1,30m,30,30,-0.5248905085085732,-0.5248905085085732,0.15044632409481082,0.6285313095516684,False,strong_move90_shallow_retrace20
strong_move90_shallow_retrace20_000006,AAPL,2026-05-19 13:55:00+00:00,1,60m,60,60,-0.7672762528835598,-0.7672762528835598,0.15044632409481082,0.8659021764568324,False,strong_move90_shallow_retrace20
