event_id,symbol,timestamp,direction,horizon_label,horizon_minutes,bars_observed,forward_return_pct,forward_return_signed_pct,favorable_excursion_pct,adverse_excursion_pct,bounded_by_session_close,definition
ctrl_000000,AAPL,2026-06-08 19:39:00+00:00,-1,15m,15,15,-0.3469239410559741,0.3469239410559741,0.3502279785898375,0.19312099385448733,False,strong_move90_shallow_retrace20
ctrl_000000,AAPL,2026-06-08 19:39:00+00:00,-1,30m,30,21,-0.35683605365758303,0.35683605365758303,0.49230159254609424,0.19312099385448733,True,strong_move90_shallow_retrace20
ctrl_000000,AAPL,2026-06-08 19:39:00+00:00,-1,60m,60,21,-0.35683605365758303,0.35683605365758303,0.49230159254609424,0.19312099385448733,True,strong_move90_shallow_retrace20
ctrl_000000,AAPL,2026-06-08 19:39:00+00:00,-1,120m,120,21,-0.35683605365758303,0.35683605365758303,0.49230159254609424,0.19312099385448733,True,strong_move90_shallow_retrace20
ctrl_000001,AAPL,2026-05-26 18:40:00+00:00,-1,15m,15,15,-0.08398746648576765,0.08398746648576765,0.11306005103852632,0.04199373324288382,False,strong_move90_shallow_retrace20
ctrl_000001,AAPL,2026-05-26 18:40:00+00:00,-1,30m,30,30,-0.20027780469683903,0.20027780469683903,0.2939561327001868,0.04199373324288382,False,strong_move90_shallow_retrace20
ctrl_000001,AAPL,2026-05-26 18:40:00+00:00,-1,60m,60,60,-0.2648835481474281,0.2648835481474281,0.481312788706919,0.04199373324288382,False,strong_move90_shallow_retrace20
ctrl_000001,AAPL,2026-05-26 18:40:00+00:00,-1,120m,120,80,-0.3844041735310262,0.3844041735310262,0.6137545627806239,0.04199373324288382,True,strong_move90_shallow_retrace20
ctrl_000002,AAPL,2026-06-01 19:16:00+00:00,1,15m,15,15,-0.02925687536572129,-0.02925687536572129,0.11377673753332773,0.08777062609712691,False,strong_move90_shallow_retrace20
ctrl_000002,AAPL,2026-06-01 19:16:00+00:00,1,30m,30,30,-0.001202782653917404,-0.001202782653917404,0.13653208503998956,0.08777062609712691,False,strong_move90_shallow_retrace20
ctrl_000002,AAPL,2026-06-01 19:16:00+00:00,1,60m,60,44,-0.42585007476757114,-0.42585007476757114,0.13653208503998956,0.5656329237370811,True,strong_move90_shallow_retrace20
ctrl_000002,AAPL,2026-06-01 19:16:00+00:00,1,120m,120,44,-0.42585007476757114,-0.42585007476757114,0.13653208503998956,0.5656329237370811,True,strong_move90_shallow_retrace20
ctrl_000003,AAPL,2026-07-06 19:31:00+00:00,-1,15m,15,15,0.031924743079171015,-0.031924743079171015,0.06375380760764296,0.06062830828522972,False,strong_move90_shallow_retrace20
ctrl_000003,AAPL,2026-07-06 19:31:00+00:00,-1,30m,30,29,-0.23597519884394078,0.23597519884394078,0.5262001359273284,0.06062830828522972,True,strong_move90_shallow_retrace20
ctrl_000003,AAPL,2026-07-06 19:31:00+00:00,-1,60m,60,29,-0.23597519884394078,0.23597519884394078,0.5262001359273284,0.06062830828522972,True,strong_move90_shallow_retrace20
ctrl_000003,AAPL,2026-07-06 19:31:00+00:00,-1,120m,120,29,-0.23597519884394078,0.23597519884394078,0.5262001359273284,0.06062830828522972,True,strong_move90_shallow_retrace20
ctrl_000004,AAPL,2026-06-11 19:37:00+00:00,-1,15m,15,15,-0.40361394916828275,0.40361394916828275,0.43401165245291506,0.03546398716542032,False,strong_move90_shallow_retrace20
ctrl_000004,AAPL,2026-06-11 19:37:00+00:00,-1,30m,30,23,-0.2482479101579038,0.2482479101579038,0.47454192349910423,0.03546398716542032,True,strong_move90_shallow_retrace20
ctrl_000004,AAPL,2026-06-11 19:37:00+00:00,-1,60m,60,23,-0.2482479101579038,0.2482479101579038,0.47454192349910423,0.03546398716542032,True,strong_move90_shallow_retrace20
ctrl_000004,AAPL,2026-06-11 19:37:00+00:00,-1,120m,120,23,-0.2482479101579038,0.2482479101579038,0.47454192349910423,0.03546398716542032,True,strong_move90_shallow_retrace20
ctrl_000005,AAPL,2026-08-04 18:35:00+00:00,-1,15m,15,15,-0.042048064171813386,0.042048064171813386,0.17142672316202398,0.006468932949504094,False,strong_move90_shallow_retrace20
ctrl_000005,AAPL,2026-08-04 18:35:00+00:00,-1,30m,30,30,-0.16819225668727192,0.16819225668727192,0.22641265323284557,0.03832842772584118,False,strong_move90_shallow_retrace20
ctrl_000005,AAPL,2026-08-04 18:35:00+00:00,-1,60m,60,60,0.29110198272794163,-0.29110198272794163,0.29757091567746413,0.29757091567744576,False,strong_move90_shallow_retrace20
ctrl_000005,AAPL,2026-08-04 18:35:00+00:00,-1,120m,120,85,0.06792379596984814,-0.06792379596984814,0.29757091567746413,0.4043083093443737,True,strong_move90_shallow_retrace20
ctrl_000006,AAPL,2026-05-18 18:03:00+00:00,-1,15m,15,15,-0.09285521339817467,0.09285521339817467,0.1401269584008713,0.17726904376012198,False,strong_move90_shallow_retrace20
ctrl_000006,AAPL,2026-05-18 18:03:00+00:00,-1,30m,30,30,0.0067531064289511784,-0.0067531064289511784,0.21609940572664882,0.17726904376012198,False,strong_move90_shallow_retrace20
ctrl_000006,AAPL,2026-05-18 18:03:00+00:00,-1,60m,60,60,0.41531604538086214,-0.41531604538086214,0.23973527822799715,0.5301188546731472,False,strong_move90_shallow_retrace20
ctrl_000006,AAPL,2026-05-18 18:03:00+00:00,-1,120m,120,117,0.5638843868179224,-0.5638843868179224,0.23973527822799715,0.5942733657482411,True,strong_move90_shallow_retrace20
ctrl_000007,AAPL,2026-07-17 19:35:00+00:00,1,15m,15,15,0.43461914429656157,0.43461914429656157,0.512820512820508,0.04658996917061367,False,strong_move90_shallow_retrace20
ctrl_000007,AAPL,2026-07-17 19:35:00+00:00,1,30m,30,25,0.38047973531844087,0.38047973531844087,0.5729754116850808,0.04658996917061367,True,strong_move90_shallow_retrace20
ctrl_000007,AAPL,2026-07-17 19:35:00+00:00,1,60m,60,25,0.38047973531844087,0.38047973531844087,0.5729754116850808,0.04658996917061367,True,strong_move90_shallow_retrace20
ctrl_000007,AAPL,2026-07-17 19:35:00+00:00,1,120m,120,25,0.38047973531844087,0.38047973531844087,0.5729754116850808,0.04658996917061367,True,strong_move90_shallow_retrace20
ctrl_000008,AAPL,2026-06-09 18:13:00+00:00,1,15m,15,15,0.25354444789403346,0.25354444789403346,0.31046258925800624,0.1517817103039076,False,strong_move90_shallow_retrace20
ctrl_000008,AAPL,2026-06-09 18:13:00+00:00,1,30m,30,30,0.3794542757597788,0.3794542757597788,0.6588706060919746,0.1517817103039076,False,strong_move90_shallow_retrace20
ctrl_000008,AAPL,2026-06-09 18:13:00+00:00,1,60m,60,60,0.3967021973852269,0.3967021973852269,0.7071647866432135,0.1517817103039076,False,strong_move90_shallow_retrace20
ctrl_000008,AAPL,2026-06-09 18:13:00+00:00,1,120m,120,107,0.1621304632791843,0.1621304632791843,0.7071647866432135,0.3760046914346735,True,strong_move90_shallow_retrace20
ctrl_000009,AAPL,2026-07-31 18:30:00+00:00,1,15m,15,15,0.1299307786572972,0.1299307786572972,0.13910509058391546,0.061272480376246906,False,strong_move90_shallow_retrace20
ctrl_000009,AAPL,2026-07-31 18:30:00+00:00,1,30m,30,30,0.2980823369655143,0.2980823369655143,0.35438677839234034,0.061272480376246906,False,strong_move90_shallow_retrace20
ctrl_000009,AAPL,2026-07-31 18:30:00+00:00,1,60m,60,60,1.2320736594574804,1.2320736594574804,1.2519458152551826,0.061272480376246906,False,strong_move90_shallow_retrace20
ctrl_000009,AAPL,2026-07-31 18:30:00+00:00,1,120m,120,90,2.351538436061327,2.351538436061327,2.9013347464644093,0.061272480376246906,True,strong_move90_shallow_retrace20
ctrl_000010,AAPL,2026-06-23 18:26:00+00:00,-1,15m,15,15,-0.2093136187812924,0.2093136187812924,0.2913645573435605,0.01339607160199053,False,strong_move90_shallow_retrace20
ctrl_000010,AAPL,2026-06-23 18:26:00+00:00,-1,30m,30,30,-0.34997237060232617,0.34997237060232617,0.3834625496073406,0.01339607160199053,False,strong_move90_shallow_retrace20
ctrl_000010,AAPL,2026-06-23 18:26:00+00:00,-1,60m,60,60,-0.7853446976674181,0.7853446976674181,1.1035013982149786,0.09129422796763322,False,strong_move90_shallow_retrace20
ctrl_000010,AAPL,2026-06-23 18:26:00+00:00,-1,120m,120,94,-1.4417522061655441,1.4417522061655441,1.478591403071056,0.09129422796763322,True,strong_move90_shallow_retrace20
ctrl_000011,AAPL,2026-07-20 18:28:00+00:00,1,15m,15,15,-0.16094667300233825,-0.16094667300233825,0.2191940403746323,0.19007035668848526,False,strong_move90_shallow_retrace20
ctrl_000011,AAPL,2026-07-20 18:28:00+00:00,1,30m,30,30,0.26364597863241734,0.26364597863241734,0.3602139824338238,0.2713101059182363,False,strong_move90_shallow_retrace20
ctrl_000011,AAPL,2026-07-20 18:28:00+00:00,1,60m,60,60,0.7342540504912747,0.7342540504912747,0.7771425067827603,0.2713101059182363,False,strong_move90_shallow_retrace20
ctrl_000011,AAPL,2026-07-20 18:28:00+00:00,1,120m,120,92,0.15481537117368305,0.15481537117368305,1.0929045509587816,0.2713101059182363,True,strong_move90_shallow_retrace20
ctrl_000012,AAPL,2026-07-16 18:08:00+00:00,1,15m,15,15,-0.10717790021888994,-0.10717790021888994,0.18265529473921394,0.5690995546833867,False,strong_move90_shallow_retrace20
ctrl_000012,AAPL,2026-07-16 18:08:00+00:00,1,30m,30,30,0.17359800739678122,0.17359800739678122,0.2339799230130507,0.5690995546833867,False,strong_move90_shallow_retrace20
ctrl_000012,AAPL,2026-07-16 18:08:00+00:00,1,60m,60,60,0.9313910483810037,0.9313910483810037,1.0430975922711099,0.5690995546833867,False,strong_move90_shallow_retrace20
