symbol,timestamp,entry_price,trailing_vol_60m,time_of_day_bucket,vol_bucket,trading_day,direction,_cluster_id,_cluster_rank,_cluster_representative,_cluster_size,event_id,risk_per_unit,definition
AAPL,2026-05-18 19:06:00+00:00,296.95,0.24323934426229057,LATE_SESSION,MID,2026-05-18 00:00:00+00:00,1,0,0,True,9,compression60_expansion15_2x_000000,0.24323934426229057,compression60_expansion15_2x
AAPL,2026-05-21 17:24:00+00:00,304.445,0.18703442622950578,MIDDAY,LOW,2026-05-21 00:00:00+00:00,1,1,0,True,2,compression60_expansion15_2x_000001,0.18703442622950578,compression60_expansion15_2x
AAPL,2026-06-17 18:10:00+00:00,295.78,0.2268049180327759,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,-1,2,0,True,6,compression60_expansion15_2x_000002,0.2268049180327759,compression60_expansion15_2x
AAPL,2026-06-22 19:34:00+00:00,297.69,0.1654360655737812,LATE_SESSION,LOW,2026-06-22 00:00:00+00:00,-1,3,0,True,12,compression60_expansion15_2x_000003,0.1654360655737812,compression60_expansion15_2x
AAPL,2026-08-11 18:32:00+00:00,303.51,0.18732459016395236,LATE_SESSION,LOW,2026-08-11 00:00:00+00:00,-1,4,0,True,4,compression60_expansion15_2x_000004,0.18732459016395236,compression60_expansion15_2x
ADBE,2026-08-13 18:34:00+00:00,260.45,0.2150934426230617,LATE_SESSION,MID,2026-08-13 00:00:00+00:00,1,0,0,True,14,compression60_expansion15_2x_000005,0.2150934426230617,compression60_expansion15_2x
ADI,2026-06-17 18:02:00+00:00,420.0,0.3356409836065931,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,-1,0,0,True,13,compression60_expansion15_2x_000006,0.3356409836065931,compression60_expansion15_2x
ADI,2026-08-10 19:38:00+00:00,386.68,0.2636196721311729,LATE_SESSION,LOW,2026-08-10 00:00:00+00:00,-1,1,0,True,1,compression60_expansion15_2x_000007,0.2636196721311729,compression60_expansion15_2x
AMZN,2026-05-18 19:03:00+00:00,264.45,0.2262819672131167,LATE_SESSION,MID,2026-05-18 00:00:00+00:00,1,0,0,True,10,compression60_expansion15_2x_000008,0.2262819672131167,compression60_expansion15_2x
AMZN,2026-05-22 17:30:00+00:00,269.315,0.1564950819671982,MIDDAY,LOW,2026-05-22 00:00:00+00:00,1,1,0,True,9,compression60_expansion15_2x_000009,0.1564950819671982,compression60_expansion15_2x
AMZN,2026-06-17 18:06:00+00:00,238.89,0.19705901639343987,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,-1,2,0,True,9,compression60_expansion15_2x_000010,0.19705901639343987,compression60_expansion15_2x
AMZN,2026-07-22 19:07:00+00:00,244.64,0.12727377049179536,LATE_SESSION,LOW,2026-07-22 00:00:00+00:00,1,3,0,True,12,compression60_expansion15_2x_000011,0.12727377049179536,compression60_expansion15_2x
BKNG,2026-05-21 17:18:00+00:00,156.17,0.13508032786885302,MIDDAY,MID,2026-05-21 00:00:00+00:00,1,0,0,True,7,compression60_expansion15_2x_000012,0.13508032786885302,compression60_expansion15_2x
BKNG,2026-06-17 18:04:00+00:00,172.86,0.1462475409835995,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,-1,1,0,True,11,compression60_expansion15_2x_000013,0.1462475409835995,compression60_expansion15_2x
BKNG,2026-08-14 18:18:00+00:00,213.37,0.13484098360655838,LATE_SESSION,LOW,2026-08-14 00:00:00+00:00,-1,2,0,True,14,compression60_expansion15_2x_000014,0.13484098360655838,compression60_expansion15_2x
CMCSA,2026-05-21 17:26:00+00:00,25.085,0.019557377049181226,MIDDAY,MID,2026-05-21 00:00:00+00:00,1,0,0,True,7,compression60_expansion15_2x_000015,0.019557377049181226,compression60_expansion15_2x
CMCSA,2026-06-01 17:14:00+00:00,24.802,0.015252459016393539,MIDDAY,LOW,2026-06-01 00:00:00+00:00,1,1,0,True,19,compression60_expansion15_2x_000016,0.015252459016393539,compression60_expansion15_2x
CMCSA,2026-06-11 17:29:00+00:00,24.045,0.02088688524590124,MIDDAY,MID,2026-06-11 00:00:00+00:00,1,2,0,True,3,compression60_expansion15_2x_000017,0.02088688524590124,compression60_expansion15_2x
CMCSA,2026-06-12 19:17:00+00:00,24.47,0.020454098360654486,LATE_SESSION,MID,2026-06-12 00:00:00+00:00,1,3,0,True,9,compression60_expansion15_2x_000018,0.020454098360654486,compression60_expansion15_2x
CMCSA,2026-08-07 19:07:00+00:00,25.47,0.020631147540970993,LATE_SESSION,MID,2026-08-07 00:00:00+00:00,1,4,0,True,10,compression60_expansion15_2x_000019,0.020631147540970993,compression60_expansion15_2x
COST,2026-05-28 17:09:00+00:00,996.655,0.525855737704906,MIDDAY,LOW,2026-05-28 00:00:00+00:00,-1,0,0,True,10,compression60_expansion15_2x_000020,0.525855737704906,compression60_expansion15_2x
COST,2026-05-28 19:09:00+00:00,996.735,0.4458032786885165,LATE_SESSION,LOW,2026-05-28 00:00:00+00:00,-1,1,0,True,7,compression60_expansion15_2x_000021,0.4458032786885165,compression60_expansion15_2x
COST,2026-06-11 17:31:00+00:00,983.55,0.48178688524588875,MIDDAY,LOW,2026-06-11 00:00:00+00:00,1,2,0,True,17,compression60_expansion15_2x_000022,0.48178688524588875,compression60_expansion15_2x
COST,2026-06-17 18:08:00+00:00,963.975,0.499365573770461,LATE_SESSION,LOW,2026-06-17 00:00:00+00:00,-1,3,0,True,9,compression60_expansion15_2x_000023,0.499365573770461,compression60_expansion15_2x
COST,2026-06-26 18:50:00+00:00,953.42,0.44075245901626287,LATE_SESSION,LOW,2026-06-26 00:00:00+00:00,-1,4,0,True,5,compression60_expansion15_2x_000024,0.44075245901626287,compression60_expansion15_2x
COST,2026-07-15 19:33:00+00:00,912.45,0.5036213114753842,LATE_SESSION,LOW,2026-07-15 00:00:00+00:00,-1,5,0,True,6,compression60_expansion15_2x_000025,0.5036213114753842,compression60_expansion15_2x
CSCO,2026-06-01 19:12:00+00:00,121.075,0.08929344262294382,LATE_SESSION,MID,2026-06-01 00:00:00+00:00,1,0,0,True,13,compression60_expansion15_2x_000026,0.08929344262294382,compression60_expansion15_2x
CSCO,2026-06-04 19:35:00+00:00,129.72,0.11205737704917701,LATE_SESSION,MID,2026-06-04 00:00:00+00:00,-1,1,0,True,11,compression60_expansion15_2x_000027,0.11205737704917701,compression60_expansion15_2x
CSCO,2026-06-17 18:04:00+00:00,117.51,0.08961311475408007,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,-1,2,0,True,13,compression60_expansion15_2x_000028,0.08961311475408007,compression60_expansion15_2x
CSCO,2026-08-06 18:16:00+00:00,121.01,0.0961672131147754,LATE_SESSION,MID,2026-08-06 00:00:00+00:00,1,3,0,True,15,compression60_expansion15_2x_000029,0.0961672131147754,compression60_expansion15_2x
GILD,2026-05-21 17:24:00+00:00,130.56,0.06328032786884995,MIDDAY,LOW,2026-05-21 00:00:00+00:00,1,0,0,True,2,compression60_expansion15_2x_000030,0.06328032786884995,compression60_expansion15_2x
GILD,2026-06-11 17:31:00+00:00,126.64,0.10007704918032008,MIDDAY,MID,2026-06-11 00:00:00+00:00,1,1,0,True,13,compression60_expansion15_2x_000031,0.10007704918032008,compression60_expansion15_2x
GILD,2026-06-17 18:07:00+00:00,124.945,0.08287540983605006,LATE_SESSION,LOW,2026-06-17 00:00:00+00:00,-1,2,0,True,10,compression60_expansion15_2x_000032,0.08287540983605006,compression60_expansion15_2x
GILD,2026-06-29 18:50:00+00:00,126.18,0.06749836065572798,LATE_SESSION,LOW,2026-06-29 00:00:00+00:00,-1,3,0,True,13,compression60_expansion15_2x_000033,0.06749836065572798,compression60_expansion15_2x
GILD,2026-07-02 19:34:00+00:00,130.15,0.07805081967211529,LATE_SESSION,LOW,2026-07-02 00:00:00+00:00,-1,4,0,True,9,compression60_expansion15_2x_000034,0.07805081967211529,compression60_expansion15_2x
GILD,2026-07-08 19:03:00+00:00,135.09,0.10862295081965684,LATE_SESSION,MID,2026-07-08 00:00:00+00:00,-1,5,0,True,11,compression60_expansion15_2x_000035,0.10862295081965684,compression60_expansion15_2x
GILD,2026-07-22 19:04:00+00:00,130.84,0.05657377049178873,LATE_SESSION,LOW,2026-07-22 00:00:00+00:00,-1,6,0,True,1,compression60_expansion15_2x_000036,0.05657377049178873,compression60_expansion15_2x
GILD,2026-08-03 19:28:00+00:00,130.47,0.09349344262297608,LATE_SESSION,MID,2026-08-03 00:00:00+00:00,1,7,0,True,14,compression60_expansion15_2x_000037,0.09349344262297608,compression60_expansion15_2x
GILD,2026-08-06 19:22:00+00:00,131.22,0.08850819672132454,LATE_SESSION,LOW,2026-08-06 00:00:00+00:00,1,8,0,True,7,compression60_expansion15_2x_000038,0.08850819672132454,compression60_expansion15_2x
GOOGL,2026-06-17 18:03:00+00:00,365.0351,0.31464098360654924,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,1,0,0,True,11,compression60_expansion15_2x_000039,0.31464098360654924,compression60_expansion15_2x
GOOGL,2026-07-16 18:07:00+00:00,365.22,0.31939836065561633,LATE_SESSION,MID,2026-07-16 00:00:00+00:00,-1,1,0,True,15,compression60_expansion15_2x_000040,0.31939836065561633,compression60_expansion15_2x
GOOGL,2026-08-12 17:43:00+00:00,341.845,0.21331803278670003,MIDDAY,LOW,2026-08-12 00:00:00+00:00,-1,2,0,True,6,compression60_expansion15_2x_000041,0.21331803278670003,compression60_expansion15_2x
HON,2026-05-18 19:08:00+00:00,217.105,0.11954590163934725,LATE_SESSION,LOW,2026-05-18 00:00:00+00:00,-1,0,0,True,3,compression60_expansion15_2x_000042,0.11954590163934725,compression60_expansion15_2x
HON,2026-06-02 19:39:00+00:00,235.81,0.1125475409836088,LATE_SESSION,LOW,2026-06-02 00:00:00+00:00,1,1,0,True,2,compression60_expansion15_2x_000043,0.1125475409836088,compression60_expansion15_2x
HON,2026-06-12 19:20:00+00:00,221.55,0.1903557377049243,LATE_SESSION,MID,2026-06-12 00:00:00+00:00,-1,2,0,True,3,compression60_expansion15_2x_000044,0.1903557377049243,compression60_expansion15_2x
HON,2026-06-17 18:07:00+00:00,231.005,0.18260819672130563,LATE_SESSION,MID,2026-06-17 00:00:00+00:00,-1,3,0,True,10,compression60_expansion15_2x_000045,0.18260819672130563,compression60_expansion15_2x
HON,2026-06-30 18:00:00+00:00,223.08,0.2176049180327519,LATE_SESSION,MID,2026-06-30 00:00:00+00:00,-1,4,0,True,13,compression60_expansion15_2x_000046,0.2176049180327519,compression60_expansion15_2x
HON,2026-07-13 16:59:00+00:00,220.8875,0.14205573770492325,MIDDAY,LOW,2026-07-13 00:00:00+00:00,-1,5,0,True,7,compression60_expansion15_2x_000047,0.14205573770492325,compression60_expansion15_2x
HON,2026-07-29 18:10:00+00:00,243.47,0.1601311475409841,LATE_SESSION,LOW,2026-07-29 00:00:00+00:00,1,6,0,True,6,compression60_expansion15_2x_000048,0.1601311475409841,compression60_expansion15_2x
HON,2026-08-07 19:44:00+00:00,245.73,0.10570327868854143,LATE_SESSION,LOW,2026-08-07 00:00:00+00:00,-1,7,0,True,1,compression60_expansion15_2x_000049,0.10570327868854143,compression60_expansion15_2x
HON,2026-08-14 19:40:00+00:00,233.735,0.09079999999999343,LATE_SESSION,LOW,2026-08-14 00:00:00+00:00,-1,8,0,True,3,compression60_expansion15_2x_000050,0.09079999999999343,compression60_expansion15_2x
INTU,2026-08-04 19:34:00+00:00,323.72,0.22067377049172107,LATE_SESSION,LOW,2026-08-04 00:00:00+00:00,1,0,0,True,4,compression60_expansion15_2x_000051,0.22067377049172107,compression60_expansion15_2x
INTU,2026-08-13 18:35:00+00:00,343.45,0.2878426229508477,LATE_SESSION,MID,2026-08-13 00:00:00+00:00,1,1,0,True,13,compression60_expansion15_2x_000052,0.2878426229508477,compression60_expansion15_2x
ISRG,2026-06-03 16:38:00+00:00,402.1951,0.2336491803278507,MIDDAY,LOW,2026-06-03 00:00:00+00:00,1,0,0,True,1,compression60_expansion15_2x_000053,0.2336491803278507,compression60_expansion15_2x
ISRG,2026-06-08 19:45:00+00:00,422.17,0.2635934426229156,LATE_SESSION,LOW,2026-06-08 00:00:00+00:00,1,1,0,True,1,compression60_expansion15_2x_000054,0.2635934426229156,compression60_expansion15_2x
ISRG,2026-06-11 17:30:00+00:00,414.36,0.3719245901639386,MIDDAY,MID,2026-06-11 00:00:00+00:00,1,2,0,True,13,compression60_expansion15_2x_000055,0.3719245901639386,compression60_expansion15_2x
