event_id,symbol,timestamp,mfe_price,mae_price,mfe_R,mae_R,bar_count,definition
compression60_expansion15_2x_000000,AAPL,2026-05-18 19:06:00+00:00,297.93,296.49,4.028953469563961,1.8911414244890867,55,compression60_expansion15_2x
compression60_expansion15_2x_000001,AAPL,2026-05-21 17:24:00+00:00,305.25,303.89,4.304020474884176,2.967368153491586,121,compression60_expansion15_2x
compression60_expansion15_2x_000002,AAPL,2026-06-17 18:10:00+00:00,294.36,296.53,6.2608871638081185,3.306806600602975,111,compression60_expansion15_2x
compression60_expansion15_2x_000003,AAPL,2026-06-22 19:34:00+00:00,296.56,297.76,6.830433231598088,0.42312418248833755,27,compression60_expansion15_2x
compression60_expansion15_2x_000004,AAPL,2026-08-11 18:32:00+00:00,303.03,305.3,2.562397171561444,9.555606118947631,89,compression60_expansion15_2x
compression60_expansion15_2x_000005,ADBE,2026-08-13 18:34:00+00:00,271.88,259.16,53.13969529062024,5.997393431749618,87,compression60_expansion15_2x
compression60_expansion15_2x_000006,ADI,2026-06-17 18:02:00+00:00,414.06,427.135,17.697481207963293,21.257833067141075,119,compression60_expansion15_2x
compression60_expansion15_2x_000007,ADI,2026-08-10 19:38:00+00:00,383.83,387.25,10.811029302023822,2.1622058604047214,23,compression60_expansion15_2x
compression60_expansion15_2x_000008,AMZN,2026-05-18 19:03:00+00:00,265.045,263.3001,2.629462733279338,5.081712936130719,58,compression60_expansion15_2x
compression60_expansion15_2x_000009,AMZN,2026-05-22 17:30:00+00:00,269.6,266.57,1.8211434916514617,17.540487314325727,121,compression60_expansion15_2x
compression60_expansion15_2x_000010,AMZN,2026-06-17 18:06:00+00:00,236.0,240.03,14.66565728832185,5.78506896494367,115,compression60_expansion15_2x
compression60_expansion15_2x_000011,AMZN,2026-07-22 19:07:00+00:00,245.175,244.21,4.2035369733507935,3.37854373559003,54,compression60_expansion15_2x
compression60_expansion15_2x_000012,BKNG,2026-05-21 17:18:00+00:00,160.42,156.1,31.462760470393928,0.5182101724534965,121,compression60_expansion15_2x
compression60_expansion15_2x_000013,BKNG,2026-06-17 18:04:00+00:00,170.7,173.62,14.769479100111857,5.196668572261458,117,compression60_expansion15_2x
compression60_expansion15_2x_000014,BKNG,2026-08-14 18:18:00+00:00,211.71,213.99,12.310797174571023,4.5980085832735575,103,compression60_expansion15_2x
