event_id,symbol,timestamp,direction,horizon_label,horizon_minutes,bars_observed,forward_return_pct,forward_return_signed_pct,favorable_excursion_pct,adverse_excursion_pct,bounded_by_session_close,definition
ctrl_000000,AAPL,2026-05-21 19:15:00+00:00,-1,15m,15,15,0.026218333169463533,-0.026218333169463533,0.03932749975420462,0.06390718710057784,False,persistent_compression_atr30_persist30
ctrl_000000,AAPL,2026-05-21 19:15:00+00:00,-1,30m,30,30,-0.10159604103169215,0.10159604103169215,0.129453020024246,0.13436895749353556,False,persistent_compression_atr30_persist30
ctrl_000000,AAPL,2026-05-21 19:15:00+00:00,-1,60m,60,45,-0.00983187493854184,0.00983187493854184,0.20646937370956492,0.13436895749353556,True,persistent_compression_atr30_persist30
ctrl_000000,AAPL,2026-05-21 19:15:00+00:00,-1,120m,120,45,-0.00983187493854184,0.00983187493854184,0.20646937370956492,0.13436895749353556,True,persistent_compression_atr30_persist30
ctrl_000001,AAPL,2026-07-27 18:39:00+00:00,1,15m,15,15,0.2118805970149173,0.2118805970149173,0.25143283582090237,0.08955223880597354,False,persistent_compression_atr30_persist30
ctrl_000001,AAPL,2026-07-27 18:39:00+00:00,1,30m,30,30,0.17164179104477273,0.17164179104477273,0.370149253731346,0.08955223880597354,False,persistent_compression_atr30_persist30
ctrl_000001,AAPL,2026-07-27 18:39:00+00:00,1,60m,60,60,0.40298507462687244,0.40298507462687244,0.41194029850746133,0.08955223880597354,False,persistent_compression_atr30_persist30
ctrl_000001,AAPL,2026-07-27 18:39:00+00:00,1,120m,120,81,0.5731343283582137,0.5731343283582137,0.6656716417910502,0.08955223880597354,True,persistent_compression_atr30_persist30
ctrl_000002,AAPL,2026-08-04 19:15:00+00:00,1,15m,15,15,0.26557844280346976,0.26557844280346976,0.33683119575075154,0.06153646845446228,False,persistent_compression_atr30_persist30
ctrl_000002,AAPL,2026-08-04 19:15:00+00:00,1,30m,30,30,0.490672366886898,0.490672366886898,0.49553050913331703,0.06153646845446228,False,persistent_compression_atr30_persist30
ctrl_000002,AAPL,2026-08-04 19:15:00+00:00,1,60m,60,45,0.20080321285140712,0.20080321285140712,0.5376344086021586,0.06153646845446228,True,persistent_compression_atr30_persist30
ctrl_000002,AAPL,2026-08-04 19:15:00+00:00,1,120m,120,45,0.20080321285140712,0.20080321285140712,0.5376344086021586,0.06153646845446228,True,persistent_compression_atr30_persist30
ctrl_000003,AAPL,2026-06-02 19:30:00+00:00,-1,15m,15,15,0.03811399259951649,-0.03811399259951649,0.03017357747463904,0.0873445663739228,False,persistent_compression_atr30_persist30
ctrl_000003,AAPL,2026-06-02 19:30:00+00:00,-1,30m,30,30,0.11910622687354094,-0.11910622687354094,0.25885753307184634,0.18898187997267557,False,persistent_compression_atr30_persist30
ctrl_000003,AAPL,2026-06-02 19:30:00+00:00,-1,60m,60,30,0.11910622687354094,-0.11910622687354094,0.25885753307184634,0.18898187997267557,True,persistent_compression_atr30_persist30
ctrl_000003,AAPL,2026-06-02 19:30:00+00:00,-1,120m,120,30,0.11910622687354094,-0.11910622687354094,0.25885753307184634,0.18898187997267557,True,persistent_compression_atr30_persist30
ctrl_000004,AAPL,2026-07-21 19:35:00+00:00,-1,15m,15,15,-0.018301610541728366,0.018301610541728366,0.13268667642752632,0.032027818448028975,False,persistent_compression_atr30_persist30
ctrl_000004,AAPL,2026-07-21 19:35:00+00:00,-1,30m,30,25,-0.07625671059053196,0.07625671059053196,0.4300878477305906,0.07930697901416782,True,persistent_compression_atr30_persist30
ctrl_000004,AAPL,2026-07-21 19:35:00+00:00,-1,60m,60,25,-0.07625671059053196,0.07625671059053196,0.4300878477305906,0.07930697901416782,True,persistent_compression_atr30_persist30
ctrl_000004,AAPL,2026-07-21 19:35:00+00:00,-1,120m,120,25,-0.07625671059053196,0.07625671059053196,0.4300878477305906,0.07930697901416782,True,persistent_compression_atr30_persist30
ctrl_000005,AAPL,2026-08-11 18:27:00+00:00,-1,15m,15,15,0.18811881188118584,-0.18811881188118584,0.06930693069306255,0.25742574257424844,False,persistent_compression_atr30_persist30
ctrl_000005,AAPL,2026-08-11 18:27:00+00:00,-1,30m,30,30,0.504950495049496,-0.504950495049496,0.06930693069306255,0.5247524752475164,False,persistent_compression_atr30_persist30
ctrl_000005,AAPL,2026-08-11 18:27:00+00:00,-1,60m,60,60,0.6435643564356398,-0.6435643564356398,0.06930693069306255,0.669966996699661,False,persistent_compression_atr30_persist30
ctrl_000005,AAPL,2026-08-11 18:27:00+00:00,-1,120m,120,93,0.6270627062706196,-0.6270627062706196,0.06930693069306255,0.7590759075907628,True,persistent_compression_atr30_persist30
ctrl_000006,AAPL,2026-07-23 19:42:00+00:00,-1,15m,15,15,0.18534382057473012,-0.18534382057473012,0.1791137761856518,0.20091893154739934,False,persistent_compression_atr30_persist30
ctrl_000006,AAPL,2026-07-23 19:42:00+00:00,-1,30m,30,18,0.17132622069932604,-0.17132622069932604,0.1791137761856518,0.29748461957792727,True,persistent_compression_atr30_persist30
ctrl_000006,AAPL,2026-07-23 19:42:00+00:00,-1,60m,60,18,0.17132622069932604,-0.17132622069932604,0.1791137761856518,0.29748461957792727,True,persistent_compression_atr30_persist30
ctrl_000006,AAPL,2026-07-23 19:42:00+00:00,-1,120m,120,18,0.17132622069932604,-0.17132622069932604,0.1791137761856518,0.29748461957792727,True,persistent_compression_atr30_persist30
ctrl_000007,AAPL,2026-06-11 19:37:00+00:00,1,15m,15,15,-0.40361394916828275,-0.40361394916828275,0.03546398716542032,0.43401165245291506,False,persistent_compression_atr30_persist30
ctrl_000007,AAPL,2026-06-11 19:37:00+00:00,1,30m,30,23,-0.2482479101579038,-0.2482479101579038,0.03546398716542032,0.47454192349910423,True,persistent_compression_atr30_persist30
ctrl_000007,AAPL,2026-06-11 19:37:00+00:00,1,60m,60,23,-0.2482479101579038,-0.2482479101579038,0.03546398716542032,0.47454192349910423,True,persistent_compression_atr30_persist30
ctrl_000007,AAPL,2026-06-11 19:37:00+00:00,1,120m,120,23,-0.2482479101579038,-0.2482479101579038,0.03546398716542032,0.47454192349910423,True,persistent_compression_atr30_persist30
ctrl_000008,AAPL,2026-07-14 19:33:00+00:00,1,15m,15,15,-0.00792744799595196,-0.00792744799595196,0.0745180111618511,0.06659056316591716,False,persistent_compression_atr30_persist30
ctrl_000008,AAPL,2026-07-14 19:33:00+00:00,1,30m,30,27,-0.13952308472856345,-0.13952308472856345,0.10781329274479165,0.24416539827499958,True,persistent_compression_atr30_persist30
ctrl_000008,AAPL,2026-07-14 19:33:00+00:00,1,60m,60,27,-0.13952308472856345,-0.13952308472856345,0.10781329274479165,0.24416539827499958,True,persistent_compression_atr30_persist30
ctrl_000008,AAPL,2026-07-14 19:33:00+00:00,1,120m,120,27,-0.13952308472856345,-0.13952308472856345,0.10781329274479165,0.24416539827499958,True,persistent_compression_atr30_persist30
ctrl_000009,AAPL,2026-07-09 18:32:00+00:00,1,15m,15,15,0.044515811062174705,0.044515811062174705,0.09380117330959663,0.03656655908679283,False,persistent_compression_atr30_persist30
ctrl_000009,AAPL,2026-07-09 18:32:00+00:00,1,30m,30,30,0.042925960667098334,0.042925960667098334,0.09380117330959663,0.07790266935881478,False,persistent_compression_atr30_persist30
ctrl_000009,AAPL,2026-07-09 18:32:00+00:00,1,60m,60,60,0.3815640948186739,0.3815640948186739,0.3926930475842267,0.07790266935881478,False,persistent_compression_atr30_persist30
ctrl_000009,AAPL,2026-07-09 18:32:00+00:00,1,120m,120,88,0.5325998823510744,0.5325998823510744,0.6470691107966638,0.07790266935881478,True,persistent_compression_atr30_persist30
