symbol,status,provider,feed,requested_start,requested_end,bar_count,pages_fetched,retries,duplicate_bars_dropped,future_bars_dropped,invalid_rows_dropped,reason
AAPL,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
MSFT,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
NVDA,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
AMZN,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
META,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
AMD,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
TSLA,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
GOOGL,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
PYPL,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
STX,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
ADBE,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
ADI,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
AMAT,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
AVGO,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
BKNG,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
CMCSA,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
COST,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
CSCO,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
GILD,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
HON,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
INTC,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
INTU,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
ISRG,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
KLAC,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
LRCX,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
MDLZ,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
MU,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
NFLX,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
PANW,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
PEP,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
QCOM,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
REGN,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,726,1,0,0,0,0,726/120_bars
SBUX,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
TXN,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
VRTX,READY,ALPACA_HISTORICAL,iex,2026-08-16T08:19:00Z,2026-08-26T08:19:00Z,1000,1,0,0,0,0,1000/120_bars
