symbol,before_provider,before_bar_count_1m,before_required_1m,before_ready,before_reason,after_provider,after_bar_count_1m,after_status,after_pages_fetched,after_retries,improved
AAPL,YFINANCE,18,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
MSFT,YFINANCE,18,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
NVDA,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
AMZN,YFINANCE,18,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
META,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
AMD,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
TSLA,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
GOOGL,YFINANCE,18,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
PYPL,YFINANCE,6,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
STX,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
ADBE,YFINANCE,11,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
ADI,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
AMAT,YFINANCE,11,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
AVGO,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
BKNG,YFINANCE,4,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
CMCSA,YFINANCE,2,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
COST,YFINANCE,5,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
CSCO,YFINANCE,5,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
GILD,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
HON,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
INTC,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
INTU,YFINANCE,19,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
ISRG,YFINANCE,5,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
KLAC,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
LRCX,YFINANCE,7,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
MDLZ,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
MU,YFINANCE,20,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
NFLX,YFINANCE,15,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
PANW,YFINANCE,6,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
PEP,YFINANCE,6,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
QCOM,YFINANCE,5,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
REGN,YFINANCE,2,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,726,READY,1,0,True
SBUX,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
TXN,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
VRTX,YFINANCE,3,120,False,INSUFFICIENT_1M_HISTORY,ALPACA_HISTORICAL,1000,READY,1,0,True
