extension_side,bet,direction,threshold_band,horizon_label,family,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
ABOVE,CONTINUATION,LONG,1.0,120m,FAMILY_A_AVWAP,2332,35,148,0.017146710848434218,-0.0828532891515658,0.7727375905900352,0.17146710848434216,by_day,0.06193344768195997,0.16961580750574537,0.02980297560718088,-0.018831042697804157,0.05758256774502218,-0.06582903521100537,0.0987838682114907
ABOVE,CONTINUATION,LONG,1.0,30m,FAMILY_A_AVWAP,2332,35,148,0.0015042533818515223,-0.09849574661814847,0.5822927573531974,0.015042533818515223,by_day,0.06389776088037882,0.15444922643472186,0.02607774704901027,-0.015104569647624973,0.019607788840504434,-0.03988861264801813,0.04136708171433071
ABOVE,CONTINUATION,LONG,1.0,60m,FAMILY_A_AVWAP,2332,35,148,0.018514676081758216,-0.08148532391824179,0.7126137199229305,0.18514676081758213,by_day,0.05406616754205517,0.1417798100708777,0.032804541489597376,-0.002909690229090312,0.04126263533047469,-0.042383210744804146,0.0805922981043857
ABOVE,CONTINUATION,LONG,2.0,120m,FAMILY_A_AVWAP,2018,35,148,0.015758411046082745,-0.08424158895391726,0.7714937416010911,0.15758411046082743,by_day,0.05468106710676108,0.15657464208810692,0.03416283085039051,-0.01958636111123627,0.053097257403104385,-0.07123351119278866,0.10133369806963442
ABOVE,CONTINUATION,LONG,2.0,30m,FAMILY_A_AVWAP,2018,35,148,0.0007808189573368699,-0.09921918104266314,0.5798528671362391,0.007808189573368699,by_day,0.051769935175379506,0.14409772216937908,0.028128216091939728,-0.015431765005149962,0.016823148569462605,-0.0427071960601853,0.043329479297313914
ABOVE,CONTINUATION,LONG,2.0,60m,FAMILY_A_AVWAP,2018,35,148,0.011064054586168187,-0.08893594541383183,0.6932997201759883,0.11064054586168187,by_day,0.04487062232822752,0.12749333247693778,0.03809944592562279,-0.010219750638289298,0.03349047237727856,-0.05462518214078911,0.07902869256435853
ABOVE,REVERSION,SHORT,1.0,120m,FAMILY_A_AVWAP,2332,35,148,-0.017146710848434218,-0.11714671084843421,0.6949982697575185,0.17146710848434216,by_day,0.04644364490221429,0.13620629269460185,0.05653914726939754,-0.05758256774502218,0.018831042697804154,-0.09878386821149072,0.06582903521100532
ABOVE,REVERSION,SHORT,1.0,30m,FAMILY_A_AVWAP,2332,35,148,-0.0015042533818515223,-0.10150425338185153,0.5711467131099522,0.015042533818515223,by_day,0.046178523629509444,0.13111215984396601,0.032665122058633735,-0.019607788840504438,0.015104569647624954,-0.041367081714330727,0.03988861264801812
ABOVE,REVERSION,SHORT,1.0,60m,FAMILY_A_AVWAP,2332,35,148,-0.018514676081758216,-0.11851467608175822,0.6104088985104958,0.18514676081758213,by_day,0.04529170858770336,0.13145825106704265,0.048632723166519384,-0.0412626353304747,0.0029096902290903044,-0.08059229810438572,0.042383210744804126
ABOVE,REVERSION,SHORT,2.0,120m,FAMILY_A_AVWAP,2018,35,148,-0.015758411046082745,-0.11575841104608277,0.7007275841140017,0.15758411046082743,by_day,0.05021387046859686,0.1444686602510694,0.062220906268353145,-0.0530972574031044,0.019586361111236246,-0.10133369806963444,0.0712335111927886
ABOVE,REVERSION,SHORT,2.0,30m,FAMILY_A_AVWAP,2018,35,148,-0.0007808189573368699,-0.10078081895733688,0.5731102570505401,0.007808189573368699,by_day,0.049545958816599116,0.13191510019934954,0.03770064738790148,-0.01682314856946261,0.015431765005149959,-0.04332947929731392,0.04270719606018529
ABOVE,REVERSION,SHORT,2.0,60m,FAMILY_A_AVWAP,2018,35,148,-0.011064054586168187,-0.11106405458616819,0.6330417764576084,0.11064054586168187,by_day,0.047562925507707805,0.13355261364768956,0.0527684014843892,-0.03349047237727856,0.01021975063828929,-0.07902869256435853,0.054625182140789104
BELOW,CONTINUATION,SHORT,1.0,120m,FAMILY_A_AVWAP,2230,35,149,0.01697132676432784,-0.08302867323567219,0.7950035333594091,0.16971326764327838,by_day,0.054009439597812466,0.15221956720741064,0.09453672866644033,-0.022040224979087208,0.052500667339395665,-0.09730193662506863,0.15678439927819224
BELOW,CONTINUATION,SHORT,1.0,30m,FAMILY_A_AVWAP,2230,35,149,0.0325467996127474,-0.0674532003872526,0.7210289742530451,0.325467996127474,by_day,0.05358280560311725,0.15560237746335598,0.07118121604589651,0.007442730600202185,0.05764159333940249,-0.028856485897265107,0.09850979897968226
