direction,gap_threshold_band,horizon_label,horizon_family,family,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
LONG,1.0,120m,INTRADAY_SHORT,FAMILY_B_GAP,958,35,132,-0.03093353664081547,-0.13093353664081547,0.8495029122179799,0.3093353664081547,by_day,0.07780915486705005,0.21942405811339796,0.04404217178696326,-0.12449360506460538,0.06482634060251344,-0.3389792705368622,0.25068637868467714
LONG,1.0,180m,INTRADAY_SHORT,FAMILY_B_GAP,958,35,132,-0.0601345968022661,-0.16013459680226613,0.8325704411389747,0.6013459680226609,by_day,0.0805236062253726,0.23296873124030365,0.04699630622539724,-0.15824804602593748,0.0366575694297423,-0.43620056210568686,0.268480983205685
LONG,1.0,3_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,876,35,121,0.1652577582997771,0.06525775829977716,1.0270632341324328,1.652577582997771,by_day,0.10305296327488678,0.2542677235875481,0.05990752648926818,-0.41673832622057183,0.7219702451048157,-0.6534257167664828,0.9768890944586357
LONG,1.0,EOD,INTRADAY_SHORT,FAMILY_B_GAP,958,35,132,-0.047124909757188076,-0.14712490975718803,0.8656502184076771,0.4712490975718807,by_day,0.08426538758835288,0.22991097487553736,0.05813043054192377,-0.15502131036620084,0.06275549677257083,-0.4442549383773509,0.3281952950851905
LONG,1.0,NEXT_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,928,35,129,-0.3261959541450127,-0.4261959541450125,0.7837589307285489,3.2619595414501266,by_day,0.10613281159892743,0.2569097258475869,0.050504110648823076,-0.649779104235107,-0.016046003312408404,-0.87599107511046,0.20731343582898143
LONG,2.0,120m,INTRADAY_SHORT,FAMILY_B_GAP,440,35,101,-0.1059522879193534,-0.20595228791935344,0.8003992374963056,1.059522879193534,by_day,0.1229089600597227,0.33316209169862765,0.06713415614086092,-0.33451035903696086,0.1362871971742072,-0.5710124988116088,0.3099805465561573
LONG,2.0,180m,INTRADAY_SHORT,FAMILY_B_GAP,440,35,101,-0.15066876002332458,-0.2506687600233246,0.7848205183305637,1.5066876002332457,by_day,0.1328071699303706,0.3440781053932082,0.07741775264679114,-0.39914123769514365,0.09516718647183794,-0.6875236822621971,0.3474012318194063
LONG,2.0,3_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,404,35,92,-0.22491769949661558,-0.3249176994966155,0.8939941889622843,2.2491769949661555,by_day,0.13805927144540148,0.33484283372474594,0.1017819475648848,-1.3670552549668578,0.7363253513174075,-1.4973821574172148,1.081570000429581
LONG,2.0,EOD,INTRADAY_SHORT,FAMILY_B_GAP,440,35,101,-0.17798525105271074,-0.27798525105271077,0.7937732945147657,1.7798525105271072,by_day,0.12003546551555246,0.31802962610626456,0.07498672603547178,-0.4282769883213175,0.05671952200880239,-0.7407346040618107,0.3690435323817541
LONG,2.0,NEXT_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,434,35,99,-0.6844640159174771,-0.7844640159174768,0.690219003973008,6.84464015917477,by_day,0.1478349888236732,0.36240451758684405,0.07083281364451122,-1.342062040882644,-0.11203769866273769,-1.5717363917557479,0.15555030424743285
