direction,threshold_band,horizon_label,family,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
LONG,0.75,120m,FAMILY_C_RESIDUAL,217,35,26,0.171943113960083,0.071943113960083,1.2400460251284895,1.71943113960083,by_day,0.10408472561720926,0.26060002731909904,0.1593397013187219,0.05896401355061623,0.281249092204395,-0.09807951725135051,0.41138649723311493
LONG,0.75,180m,FAMILY_C_RESIDUAL,217,35,26,0.23002235985718256,0.13002235985718252,1.3895226056622663,2.3002235985718253,by_day,0.08144772272450157,0.23276644205978683,0.22355058665100075,0.10687423113908501,0.3518718471742862,-0.14181277283119562,0.5515525949175466
LONG,0.75,60m,FAMILY_C_RESIDUAL,217,35,26,0.14338603672103964,0.043386036721039634,1.166102935784649,1.4338603672103962,by_day,0.08201860445464554,0.22093535541564394,0.15597381551170525,0.06335333850183267,0.21714556208774294,-0.08720056853084047,0.3557515744484408
LONG,0.75,EOD,FAMILY_C_RESIDUAL,217,35,26,0.2265497941469937,0.12654979414699366,1.3141003018723132,2.265497941469937,by_day,0.08612347977862034,0.2213416021215626,0.1551910422727104,0.07422290659699382,0.37449847927297375,-0.12001589539930137,0.5285090076467607
LONG,1.5,120m,FAMILY_C_RESIDUAL,93,31,22,0.2387763582482305,0.1387763582482304,1.4223370311803678,2.387763582482305,by_day,0.12434782123160544,0.3210296942849802,0.22221317702442756,0.0567940402029202,0.4085568594034264,-0.16590201091964535,0.6397268514321273
LONG,1.5,180m,FAMILY_C_RESIDUAL,93,31,22,0.2797580989230986,0.1797580989230986,1.4851969022835698,2.797580989230986,by_day,0.13180873850095384,0.31216549345161554,0.31337077396085716,0.0654199981743954,0.48245848625921695,-0.248140171622994,0.8040833361826913
LONG,1.5,60m,FAMILY_C_RESIDUAL,93,31,22,0.13130364631507085,0.0313036463150708,1.1041753409108264,1.3130364631507085,by_day,0.13829122647190642,0.3306504982980832,0.21474944963437934,-0.014211811894319522,0.26180190540363674,-0.21297062086949703,0.43040194231198914
LONG,1.5,EOD,FAMILY_C_RESIDUAL,93,31,22,0.1949774375967402,0.09497743759674014,1.1927468444350326,1.9497743759674018,by_day,0.11324457708152443,0.29102674213705937,0.24003482634369322,-0.06683522056132529,0.4250160571780006,-0.33784064355890914,0.7028254845269184
SHORT,0.75,120m,FAMILY_C_RESIDUAL,211,35,26,-0.10282119038749031,-0.2028211903874904,0.5352818705360408,1.0282119038749031,by_day,0.11343786158655647,0.2930225082651878,0.20666445054513,-0.2290722960512401,0.03161004914668428,-0.29007859213616444,0.10465274560328318
SHORT,0.75,180m,FAMILY_C_RESIDUAL,211,35,26,-0.15206467319782901,-0.25206467319782905,0.5365462843082919,1.5206467319782901,by_day,0.11623586579847976,0.3132017381838583,0.2028522357944931,-0.29699713251078147,-0.010858217077802386,-0.4386554219881809,0.14609193414696947
SHORT,0.75,60m,FAMILY_C_RESIDUAL,211,35,26,-0.06715917915549287,-0.16715917915549286,0.5103815104267952,0.6715917915549287,by_day,0.10830276487354713,0.29407920959236805,0.18605218299530427,-0.14054052134753364,0.006726454580607039,-0.2046080694441625,0.08127968886480921
SHORT,0.75,EOD,FAMILY_C_RESIDUAL,211,35,26,-0.19959973898582806,-0.2995997389858284,0.5427628689344078,1.9959973898582806,by_day,0.10674621837647262,0.29596092060279605,0.22528215923194345,-0.38439424610108686,-0.010750680636662608,-0.5380198296991063,0.1419575356447966
SHORT,1.5,120m,FAMILY_C_RESIDUAL,82,31,24,-0.03469126733958534,-0.13469126733958528,0.6676701668585384,0.34691267339585335,by_day,0.16042330414185452,0.3765772832952432,0.2699050710918805,-0.23140563844350295,0.16971189431475694,-0.34063063512967673,0.24319094905862915
SHORT,1.5,180m,FAMILY_C_RESIDUAL,82,31,24,-0.03301434801380279,-0.13301434801380282,0.7373183056206053,0.3301434801380279,by_day,0.17903948098196998,0.38822384971051754,0.32867443409503766,-0.2500045924076673,0.18767065516454634,-0.4399272879248049,0.37020082070469934
SHORT,1.5,60m,FAMILY_C_RESIDUAL,82,31,24,-0.007069104832067154,-0.10706910483206718,0.6821508943430364,0.07069104832067154,by_day,0.14751772422139622,0.3645354132836189,0.2606363083389566,-0.12344145078429723,0.10302582433789301,-0.2504675386911008,0.2374967795003711
SHORT,1.5,EOD,FAMILY_C_RESIDUAL,82,31,24,-0.07983066282288996,-0.17983066282288995,0.7117044940218903,0.7983066282288995,by_day,0.2026136716408009,0.3852881260999617,0.3058144240353405,-0.3714934498317172,0.20629886300268319,-0.5318223809990421,0.3031956542844774
