side,direction,reclaim_window_band,horizon_label,family,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
HIGH,SHORT,15,120m,FAMILY_D_BREAK,1730,35,145,0.05649145322656418,-0.04350854677343585,0.9113449742910518,0.5649145322656418,by_day,0.05674330975474567,0.15812366897320446,0.045685016727118756,-0.0097212508157204,0.12000692883172276,-0.04028151514795389,0.16493619413123425
HIGH,SHORT,15,30m,FAMILY_D_BREAK,1730,35,145,0.026171865238819987,-0.07382813476118003,0.7938170683639232,0.26171865238819986,by_day,0.06223331651089278,0.16708678809864522,0.036874622102061404,-0.024565917444043864,0.07470493941334834,-0.0342299062351871,0.08501300761970923
HIGH,SHORT,15,60m,FAMILY_D_BREAK,1730,35,145,0.04106607353032456,-0.058933926469675435,0.8641513099004108,0.41066073530324554,by_day,0.06526515129874345,0.16728602994260264,0.0313847669103842,-0.022451408151651597,0.10168206222209242,-0.03210257657625684,0.11978285769590288
HIGH,SHORT,30,120m,FAMILY_D_BREAK,1855,35,145,0.04341370346918218,-0.05658629653081787,0.8859172025791947,0.43413703469182174,by_day,0.05678415443072829,0.16195432692257408,0.04747448670488564,-0.021859549030135185,0.1035587000850546,-0.05112957523165304,0.15151166484418907
HIGH,SHORT,30,30m,FAMILY_D_BREAK,1855,35,145,0.02031601724001961,-0.0796839827599804,0.7786744517566513,0.2031601724001961,by_day,0.06130662228891195,0.16366065192265095,0.039114526251597254,-0.028422793467743984,0.0660258499113134,-0.037785881210667546,0.07749268052374579
HIGH,SHORT,30,60m,FAMILY_D_BREAK,1855,35,145,0.034510192938482114,-0.0654898070615179,0.8488893501190565,0.3451019293848211,by_day,0.06187369633730495,0.16105383659278907,0.030252106701051242,-0.02561189396431519,0.09131381152135291,-0.03668777570562769,0.11181793213842345
LOW,LONG,15,120m,FAMILY_D_BREAK,1604,35,145,-0.08200828620671617,-0.18200828620671616,0.6800451486894143,0.8200828620671616,by_day,0.04633089427643509,0.1303619570651216,0.025746816392338032,-0.14555436956978327,-0.023981373575114002,-0.1945409330288747,0.02805832053878689
LOW,LONG,15,30m,FAMILY_D_BREAK,1604,35,145,-0.04581547153026685,-0.14581547153026686,0.6312477400853581,0.45815471530266844,by_day,0.04784693480264982,0.1362780613892325,0.025617432561939203,-0.10258635551584444,0.005142136554692063,-0.11061887999062427,0.019791229146188898
LOW,LONG,15,60m,FAMILY_D_BREAK,1604,35,145,-0.06860292138598037,-0.16860292138598038,0.6549795744258033,0.6860292138598036,by_day,0.05589528514353515,0.14332680404860035,0.03267025414797534,-0.13549981491245613,-0.007202006497046352,-0.1610491217071935,0.02613660966659025
LOW,LONG,30,120m,FAMILY_D_BREAK,1732,35,145,-0.07004139460711173,-0.17004139460711173,0.6975225043727832,0.7004139460711173,by_day,0.0501934134251467,0.13634703791052544,0.0314436690586255,-0.124640110313668,-0.019202269825912936,-0.1847054889551817,0.040066028667114256
LOW,LONG,30,30m,FAMILY_D_BREAK,1732,35,145,-0.0369954914657258,-0.13699549146572582,0.6466440375852457,0.36995491465725794,by_day,0.049590765735912624,0.1452340531788031,0.029741318964158443,-0.08623876014479169,0.00905621543863709,-0.09919641065671736,0.027123233256126388
LOW,LONG,30,60m,FAMILY_D_BREAK,1732,35,145,-0.06365543756726569,-0.1636554375672657,0.660422737129262,0.6365543756726568,by_day,0.05680837412758768,0.14263310960732478,0.03328105496392603,-0.12087666336868289,-0.00917813913418189,-0.15366700954711185,0.02804517600022123
