family,direction,parameter,value,n_trades,gross_expectancy_pct,net_expectancy_10bps_pct
FAMILY_A_AVWAP,LONG,threshold_band,1.0,13686,-0.004981119401176898,-0.10498111940117691
FAMILY_A_AVWAP,LONG,threshold_band,2.0,11925,-0.005771505492850769,-0.10577150549285079
FAMILY_A_AVWAP,SHORT,threshold_band,1.0,13686,0.004981119401176898,-0.09501888059882312
FAMILY_A_AVWAP,SHORT,threshold_band,2.0,11925,0.005771505492850769,-0.09422849450714924
FAMILY_B_GAP,LONG,gap_threshold_band,1.0,4678,-0.062063485370206346,-0.16206348537020632
FAMILY_B_GAP,LONG,gap_threshold_band,2.0,2158,-0.2683739133747863,-0.36837391337478625
FAMILY_B_GAP,SHORT,gap_threshold_band,1.0,3748,-0.10128992956501981,-0.2012899295650198
FAMILY_B_GAP,SHORT,gap_threshold_band,2.0,1755,-0.2778601892413338,-0.3778601892413338
FAMILY_C_RESIDUAL,LONG,threshold_band,0.75,868,0.19297532617132476,0.09297532617132473
FAMILY_C_RESIDUAL,LONG,threshold_band,1.5,372,0.21120388527078504,0.111203885270785
FAMILY_C_RESIDUAL,SHORT,threshold_band,0.75,844,-0.13041119543166005,-0.23041119543166014
FAMILY_C_RESIDUAL,SHORT,threshold_band,1.5,328,-0.03865134575208627,-0.13865134575208637
FAMILY_D_BREAK,LONG,reclaim_window_band,15.0,4812,-0.06547555970765447,-0.16547555970765448
FAMILY_D_BREAK,LONG,reclaim_window_band,30.0,5196,-0.056897441213367726,-0.15689744121336777
FAMILY_D_BREAK,SHORT,reclaim_window_band,15.0,5190,0.04124313066523624,-0.05875686933476378
FAMILY_D_BREAK,SHORT,reclaim_window_band,30.0,5565,0.0327466378825613,-0.06725336211743872
