family,direction,regime_slice,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share
FAMILY_A_AVWAP,LONG,2025_q1_orpb_era,4992,35,29,-0.0386303247239308,-0.1386303247239308,0.564534377199609,0.386303247239308,by_day,0.06158053710407942,0.17454729595620588,0.08827339567669656
FAMILY_A_AVWAP,LONG,2025_q3_fprc_era,4797,35,28,0.05110400266092658,-0.04889599733907342,0.7651287308555251,0.5110400266092657,by_day,0.049259429087027,0.14202327536184806,0.12205011318355517
FAMILY_A_AVWAP,LONG,2025_q4_task46_56_era,4908,35,29,0.011440007722730449,-0.08855999227726956,0.7206036395049736,0.11440007722730448,by_day,0.05419683962547055,0.1555927566461677,0.15006256026131604
FAMILY_A_AVWAP,LONG,2026_q3_f6_era,10914,35,63,-0.022489250574721995,-0.12248925057472201,0.6712890812684122,0.22489250574721995,by_day,0.05995863004968404,0.16638144523040954,0.03850067569299807
FAMILY_A_AVWAP,SHORT,2025_q1_orpb_era,4992,35,29,0.0386303247239308,-0.061369675276069215,0.7771096282748118,0.386303247239308,by_day,0.07140139568085153,0.16709942888418416,0.10883195309167647
FAMILY_A_AVWAP,SHORT,2025_q3_fprc_era,4797,35,28,-0.05110400266092658,-0.1511040026609266,0.4342585951157507,0.5110400266092657,by_day,0.05078953969993131,0.13938918079129886,0.08458075094438754
FAMILY_A_AVWAP,SHORT,2025_q4_task46_56_era,4908,35,29,-0.011440007722730449,-0.11144000772273045,0.666663578773988,0.11440007722730448,by_day,0.06469410441924242,0.19025354618342302,0.27101824749127995
FAMILY_A_AVWAP,SHORT,2026_q3_f6_era,10914,35,63,0.022489250574721995,-0.07751074942527801,0.7772435409286141,0.22489250574721995,by_day,0.05664407254878075,0.15332568068630992,0.09913677834015003
FAMILY_B_GAP,LONG,2025_q1_orpb_era,837,31,25,-0.4274337397763529,-0.5274337397763528,0.6530505221943859,4.274337397763529,by_day,0.2264913220460963,0.41401026369778043,0.13973723818659348
FAMILY_B_GAP,LONG,2025_q3_fprc_era,601,29,23,0.7073900222915488,0.6073900222915486,2.0301333862322606,7.073900222915488,by_day,0.2531249163854438,0.48721867198313457,0.20174886825478672
FAMILY_B_GAP,LONG,2025_q4_task46_56_era,945,26,23,-0.12954884475956313,-0.22954884475956305,0.8515722492546387,1.2954884475956312,by_day,0.19635408892890693,0.42539006940950963,0.3058135124103179
FAMILY_B_GAP,LONG,2026_q3_f6_era,4453,35,61,-0.18289683236722215,-0.28289683236722213,0.8331226455319666,1.8289683236722214,by_day,0.1046275001483373,0.26235418550854794,0.08049235993382743
FAMILY_B_GAP,SHORT,2025_q1_orpb_era,931,35,23,0.4055935673557262,0.3055935673557263,1.2830200970621948,4.055935673557262,by_day,0.2095695451180884,0.31323969872386676,0.31606747216404174
FAMILY_B_GAP,SHORT,2025_q3_fprc_era,320,23,15,-0.2866905394030153,-0.3866905394030153,0.6831520190887127,2.866905394030153,by_day,0.25304147682249406,0.5390723539119553,0.2796135987487651
FAMILY_B_GAP,SHORT,2025_q4_task46_56_era,900,34,20,-0.42822292968930353,-0.5282229296893034,0.6567464225306109,4.282229296893035,by_day,0.15798677780218515,0.3612938216796177,0.18755209226335726
FAMILY_B_GAP,SHORT,2026_q3_f6_era,3352,35,57,-0.2290409576393431,-0.3290409576393431,0.8052333495488018,2.2904095763934307,by_day,0.0836669547499487,0.2389601686733586,0.12122052504775724
FAMILY_C_RESIDUAL,LONG,2025_q1_orpb_era,528,33,9,0.15889641769266208,0.058896417692662115,1.1181026739263142,1.5889641769266207,by_day,0.14782066563832624,0.3664966597011412,0.35984585423189114
FAMILY_C_RESIDUAL,LONG,2025_q3_fprc_era,344,30,8,0.12652988799979675,0.02652988799979664,1.1103405135810895,1.2652988799979674,by_day,0.119889100235487,0.30213185644199225,0.3826371588920131
FAMILY_C_RESIDUAL,LONG,2025_q4_task46_56_era,368,32,9,0.3224098870211582,0.22240988702115813,2.1008632302267225,3.2240988702115816,by_day,0.12675333676180167,0.2915065173683094,0.19320632653836156
FAMILY_C_RESIDUAL,SHORT,2025_q1_orpb_era,412,32,9,0.09048949889829233,-0.009510501101707826,0.9810834819569123,0.9048949889829233,by_day,0.17885122840773215,0.41393038289297945,0.2916499935759321
FAMILY_C_RESIDUAL,SHORT,2025_q3_fprc_era,356,32,8,-0.039014515416532364,-0.1390145154165326,0.574843152430896,0.39014515416532364,by_day,0.18277227637950313,0.3908827259789678,0.2147641755032875
FAMILY_C_RESIDUAL,SHORT,2025_q4_task46_56_era,404,31,9,-0.36172573368518884,-0.461725733685189,0.24518090135118287,3.617257336851888,by_day,0.18625437005782075,0.3613088593261129,0.28752446416951283
FAMILY_D_BREAK,LONG,2025_q1_orpb_era,2163,35,28,-0.06651100295553643,-0.16651100295553645,0.639198738115187,0.6651100295553642,by_day,0.06825885235594176,0.19146076561148542,0.12851459931561324
FAMILY_D_BREAK,LONG,2025_q3_fprc_era,1671,35,27,0.025122736343124195,-0.07487726365687582,0.7407781333009718,0.2512273634312419,by_day,0.06581573256345075,0.1868948965280899,0.13468325699554126
FAMILY_D_BREAK,LONG,2025_q4_task46_56_era,2007,35,28,-0.07705872600885641,-0.17705872600885642,0.6285279039317302,0.770587260088564,by_day,0.07693843306527927,0.18930025482497403,0.09730071077563257
FAMILY_D_BREAK,LONG,2026_q3_f6_era,4167,35,62,-0.0849933832000606,-0.18499338320006062,0.6751370429530263,0.8499338320006059,by_day,0.06259841153779758,0.16210805795940428,0.0491500108824579
FAMILY_D_BREAK,SHORT,2025_q1_orpb_era,2055,35,28,0.07124475577354983,-0.028755244226450174,0.9242617273223545,0.7124475577354983,by_day,0.08585675917129813,0.2284028248697119,0.1344782814320113
FAMILY_D_BREAK,SHORT,2025_q3_fprc_era,2361,35,27,-0.1306693085118973,-0.23066930851189732,0.4498267383705091,1.3066930851189729,by_day,0.0602286142135191,0.17224542213688884,0.1224658088679528
FAMILY_D_BREAK,SHORT,2025_q4_task46_56_era,2001,35,28,0.08241423677303718,-0.017585763226962828,0.951140122655504,0.8241423677303717,by_day,0.15605746881959295,0.2729470022031375,0.08436710153526146
FAMILY_D_BREAK,SHORT,2026_q3_f6_era,4338,35,62,0.09070499411436765,-0.009295005885632366,0.9809855059448871,0.9070499411436764,by_day,0.06834315036682882,0.17910125904831642,0.058366291624178564
