family,direction,segment,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share
FAMILY_A_AVWAP,LONG,EARLY,8589,35,50,-0.004112743904416982,-0.10411274390441698,0.6255278678762857,0.041127439044169815,by_day,0.05419633455469975,0.14974548794518097,0.06477693108701647
FAMILY_A_AVWAP,LONG,LATE,8418,35,49,-0.0470791218376414,-0.14707912183764144,0.6313952217623462,0.470791218376414,by_day,0.06153697457951381,0.1598514925104382,0.0497068787107829
FAMILY_A_AVWAP,LONG,MIDDLE,8604,35,50,0.034244491154991896,-0.0657555088450081,0.7703522414892953,0.34244491154991896,by_day,0.05952034749538104,0.16591903538251157,0.0880237406057596
FAMILY_A_AVWAP,SHORT,EARLY,8589,35,50,0.004112743904416982,-0.09588725609558302,0.6492814714063597,0.041127439044169815,by_day,0.06656902755275546,0.1531964896221883,0.07422242191092915
FAMILY_A_AVWAP,SHORT,LATE,8418,35,49,0.0470791218376414,-0.05292087816235861,0.8480847125538413,0.470791218376414,by_day,0.06036753147585819,0.16532678061338654,0.11887997484208335
FAMILY_A_AVWAP,SHORT,MIDDLE,8604,35,50,-0.034244491154991896,-0.13424449115499193,0.5894596987652261,0.34244491154991896,by_day,0.05221341204479212,0.15214869185023358,0.17458015348975234
FAMILY_B_GAP,LONG,EARLY,1342,33,43,0.026477939782318823,-0.07352206021768116,0.9374224889882472,0.2647793978231882,by_day,0.13476592988150682,0.364199129189191,0.09851079314345108
FAMILY_B_GAP,LONG,LATE,3698,35,48,-0.2182254859017558,-0.3182254859017558,0.8101409706495623,2.182254859017558,by_day,0.08060295229146477,0.22762784547672066,0.10070924735154635
FAMILY_B_GAP,LONG,MIDDLE,1796,35,41,-0.05457652446981783,-0.15457652446981782,0.9030036126458213,0.5457652446981783,by_day,0.17081228186675512,0.4022829468660186,0.1473017401201337
FAMILY_B_GAP,SHORT,EARLY,1221,35,35,0.2461915619550921,0.14619156195509206,1.1305494609663327,2.4619156195509206,by_day,0.21732151177651354,0.3432261509692544,0.26320422369164254
FAMILY_B_GAP,SHORT,LATE,2597,35,44,-0.3409173837697383,-0.4409173837697382,0.7434446693593969,3.4091738376973826,by_day,0.09246988226706518,0.27432774670268795,0.1663996640585724
FAMILY_B_GAP,SHORT,MIDDLE,1685,35,36,-0.16766572084592998,-0.26766572084592993,0.8274061385250913,1.6766572084592997,by_day,0.11035898132283337,0.29001774077788073,0.18880884435053755
FAMILY_C_RESIDUAL,LONG,EARLY,528,33,9,0.15889641769266208,0.058896417692662115,1.1181026739263142,1.5889641769266207,by_day,0.14782066563832624,0.3664966597011412,0.35984585423189114
FAMILY_C_RESIDUAL,LONG,LATE,296,30,8,0.2978339350091559,0.19783393500915591,1.8599188900584906,2.978339350091559,by_day,0.14805280692174533,0.35226013529557343,0.20079493657039482
FAMILY_C_RESIDUAL,LONG,MIDDLE,416,30,9,0.17791893060818775,0.07791893060818764,1.3643693915992905,1.7791893060818775,by_day,0.10516026184200078,0.26720912023789467,0.29010744671942146
FAMILY_C_RESIDUAL,SHORT,EARLY,412,32,9,0.09048949889829233,-0.009510501101707826,0.9810834819569123,0.9048949889829233,by_day,0.17885122840773215,0.41393038289297945,0.2916499935759321
FAMILY_C_RESIDUAL,SHORT,LATE,336,30,8,-0.4090960069281377,-0.5090960069281376,0.2219009451286262,4.090960069281377,by_day,0.23308406654904767,0.4356305954663648,0.3598163700543571
FAMILY_C_RESIDUAL,SHORT,MIDDLE,424,33,9,-0.05323138105954629,-0.15323138105954648,0.547851058116562,0.5323138105954629,by_symbol,0.16946345569730292,0.375578950147596,0.18223491466422245
FAMILY_D_BREAK,LONG,EARLY,3402,35,49,-0.0329520319772814,-0.1329520319772814,0.669210842658865,0.329520319772814,by_day,0.05561759916967406,0.1595506824136322,0.08782911647509993
FAMILY_D_BREAK,LONG,LATE,3195,35,48,-0.06562751683309859,-0.1656275168330986,0.703079173455035,0.6562751683309859,by_day,0.06058339335284155,0.15571986565106585,0.06280921764039983
FAMILY_D_BREAK,LONG,MIDDLE,3411,35,48,-0.08470383136600139,-0.1847038313660014,0.6206623137289375,0.8470383136600138,by_day,0.06430244361264026,0.1835648409976871,0.06297960071793259
FAMILY_D_BREAK,SHORT,EARLY,3957,35,49,-0.0290316264361565,-0.1290316264361565,0.6770316713557704,0.290316264361565,by_day,0.07128431691838592,0.18898588546409864,0.08843412636873471
FAMILY_D_BREAK,SHORT,LATE,3318,35,48,0.12160234016818543,0.02160234016818543,1.0462169576866542,1.2160234016818543,by_symbol,0.07240048607495199,0.19345588133178593,0.07198925005690465
FAMILY_D_BREAK,SHORT,MIDDLE,3480,35,48,0.030944962384730365,-0.06905503761526965,0.8375309502243323,0.3094496238473036,by_day,0.10502653415423126,0.22991468800771134,0.09531549027774497
