symbol,missing_minute_et,classification
ADI,09:31,CONFIRMED_NO_IEX_TRADE
ADI,09:41,CONFIRMED_NO_IEX_TRADE
ADI,09:42,CONFIRMED_NO_IEX_TRADE
ADI,09:47,CONFIRMED_NO_IEX_TRADE
ADI,09:58,CONFIRMED_NO_IEX_TRADE
ADI,09:59,CONFIRMED_NO_IEX_TRADE
COST,09:33,CONFIRMED_NO_IEX_TRADE
COST,09:35,CONFIRMED_NO_IEX_TRADE
COST,09:38,CONFIRMED_NO_IEX_TRADE
COST,09:44,CONFIRMED_NO_IEX_TRADE
GILD,09:31,CONFIRMED_NO_IEX_TRADE
GILD,09:32,CONFIRMED_NO_IEX_TRADE
GILD,09:33,CONFIRMED_NO_IEX_TRADE
GILD,09:34,CONFIRMED_NO_IEX_TRADE
GILD,09:38,CONFIRMED_NO_IEX_TRADE
GILD,09:39,CONFIRMED_NO_IEX_TRADE
GILD,09:40,CONFIRMED_NO_IEX_TRADE
GILD,09:41,CONFIRMED_NO_IEX_TRADE
GILD,09:42,CONFIRMED_NO_IEX_TRADE
GILD,09:43,CONFIRMED_NO_IEX_TRADE
GILD,09:46,CONFIRMED_NO_IEX_TRADE
GILD,09:47,CONFIRMED_NO_IEX_TRADE
GILD,09:51,CONFIRMED_NO_IEX_TRADE
GILD,09:52,CONFIRMED_NO_IEX_TRADE
GILD,09:53,CONFIRMED_NO_IEX_TRADE
GILD,09:57,CONFIRMED_NO_IEX_TRADE
GILD,09:58,CONFIRMED_NO_IEX_TRADE
GILD,09:59,CONFIRMED_NO_IEX_TRADE
HON,09:37,CONFIRMED_NO_IEX_TRADE
HON,09:38,CONFIRMED_NO_IEX_TRADE
HON,09:39,CONFIRMED_NO_IEX_TRADE
HON,09:40,CONFIRMED_NO_IEX_TRADE
HON,09:43,CONFIRMED_NO_IEX_TRADE
HON,09:44,CONFIRMED_NO_IEX_TRADE
HON,09:55,CONFIRMED_NO_IEX_TRADE
ISRG,09:32,CONFIRMED_NO_IEX_TRADE
ISRG,09:33,CONFIRMED_NO_IEX_TRADE
ISRG,09:36,CONFIRMED_NO_IEX_TRADE
ISRG,09:37,CONFIRMED_NO_IEX_TRADE
ISRG,09:39,CONFIRMED_NO_IEX_TRADE
ISRG,09:46,CONFIRMED_NO_IEX_TRADE
ISRG,09:50,CONFIRMED_NO_IEX_TRADE
ISRG,09:53,CONFIRMED_NO_IEX_TRADE
ISRG,09:55,CONFIRMED_NO_IEX_TRADE
ISRG,09:56,CONFIRMED_NO_IEX_TRADE
ISRG,09:57,CONFIRMED_NO_IEX_TRADE
ISRG,09:58,CONFIRMED_NO_IEX_TRADE
ISRG,09:59,CONFIRMED_NO_IEX_TRADE
LRCX,09:34,CONFIRMED_NO_IEX_TRADE
LRCX,09:46,CONFIRMED_NO_IEX_TRADE
MDLZ,09:53,CONFIRMED_NO_IEX_TRADE
PANW,09:33,CONFIRMED_NO_IEX_TRADE
PANW,09:34,CONFIRMED_NO_IEX_TRADE
PANW,09:49,CONFIRMED_NO_IEX_TRADE
PEP,09:33,CONFIRMED_NO_IEX_TRADE
PEP,09:39,CONFIRMED_NO_IEX_TRADE
PEP,09:44,CONFIRMED_NO_IEX_TRADE
PEP,09:50,CONFIRMED_NO_IEX_TRADE
PEP,09:59,CONFIRMED_NO_IEX_TRADE
QCOM,09:44,CONFIRMED_NO_IEX_TRADE
QCOM,09:48,CONFIRMED_NO_IEX_TRADE
QCOM,09:50,CONFIRMED_NO_IEX_TRADE
QCOM,09:51,CONFIRMED_NO_IEX_TRADE
QCOM,09:57,CONFIRMED_NO_IEX_TRADE
QCOM,09:58,CONFIRMED_NO_IEX_TRADE
QCOM,09:59,CONFIRMED_NO_IEX_TRADE
REGN,09:30,CONFIRMED_NO_IEX_TRADE
REGN,09:31,CONFIRMED_NO_IEX_TRADE
REGN,09:32,CONFIRMED_NO_IEX_TRADE
REGN,09:33,CONFIRMED_NO_IEX_TRADE
REGN,09:34,CONFIRMED_NO_IEX_TRADE
REGN,09:35,CONFIRMED_NO_IEX_TRADE
REGN,09:36,CONFIRMED_NO_IEX_TRADE
REGN,09:39,CONFIRMED_NO_IEX_TRADE
REGN,09:40,CONFIRMED_NO_IEX_TRADE
REGN,09:41,CONFIRMED_NO_IEX_TRADE
REGN,09:42,CONFIRMED_NO_IEX_TRADE
REGN,09:44,CONFIRMED_NO_IEX_TRADE
REGN,09:45,CONFIRMED_NO_IEX_TRADE
REGN,09:46,CONFIRMED_NO_IEX_TRADE
REGN,09:47,CONFIRMED_NO_IEX_TRADE
REGN,09:49,CONFIRMED_NO_IEX_TRADE
REGN,09:50,CONFIRMED_NO_IEX_TRADE
REGN,09:52,CONFIRMED_NO_IEX_TRADE
REGN,09:53,CONFIRMED_NO_IEX_TRADE
REGN,09:55,CONFIRMED_NO_IEX_TRADE
REGN,09:57,CONFIRMED_NO_IEX_TRADE
SBUX,09:42,CONFIRMED_NO_IEX_TRADE
SBUX,09:45,CONFIRMED_NO_IEX_TRADE
SBUX,09:46,CONFIRMED_NO_IEX_TRADE
SBUX,09:51,CONFIRMED_NO_IEX_TRADE
SBUX,09:52,CONFIRMED_NO_IEX_TRADE
STX,09:50,CONFIRMED_NO_IEX_TRADE
STX,09:55,CONFIRMED_NO_IEX_TRADE
STX,09:57,CONFIRMED_NO_IEX_TRADE
TXN,09:33,CONFIRMED_NO_IEX_TRADE
TXN,09:34,CONFIRMED_NO_IEX_TRADE
TXN,09:38,CONFIRMED_NO_IEX_TRADE
TXN,09:39,CONFIRMED_NO_IEX_TRADE
TXN,09:41,CONFIRMED_NO_IEX_TRADE
TXN,09:53,CONFIRMED_NO_IEX_TRADE
TXN,09:56,CONFIRMED_NO_IEX_TRADE
TXN,09:57,CONFIRMED_NO_IEX_TRADE
VRTX,09:31,CONFIRMED_NO_IEX_TRADE
VRTX,09:32,CONFIRMED_NO_IEX_TRADE
VRTX,09:33,CONFIRMED_NO_IEX_TRADE
VRTX,09:34,CONFIRMED_NO_IEX_TRADE
VRTX,09:37,CONFIRMED_NO_IEX_TRADE
VRTX,09:39,CONFIRMED_NO_IEX_TRADE
VRTX,09:40,CONFIRMED_NO_IEX_TRADE
VRTX,09:41,CONFIRMED_NO_IEX_TRADE
VRTX,09:42,CONFIRMED_NO_IEX_TRADE
VRTX,09:43,CONFIRMED_NO_IEX_TRADE
VRTX,09:46,CONFIRMED_NO_IEX_TRADE
VRTX,09:47,CONFIRMED_NO_IEX_TRADE
VRTX,09:52,CONFIRMED_NO_IEX_TRADE
VRTX,09:53,CONFIRMED_NO_IEX_TRADE
VRTX,09:54,CONFIRMED_NO_IEX_TRADE
VRTX,09:55,CONFIRMED_NO_IEX_TRADE
VRTX,09:56,CONFIRMED_NO_IEX_TRADE
VRTX,09:59,CONFIRMED_NO_IEX_TRADE
