symbol,event_timestamp_utc,event_timestamp_et,classification,evidence
ADBE,2026-08-26T16:20:42.636543+00:00,2026-08-26T12:20:42.636543-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:18 nor 12:19 ET has a historical bar
ADBE,2026-08-26T16:30:55.920071+00:00,2026-08-26T12:30:55.920071-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:28 nor 12:29 ET has a historical bar
ADBE,2026-08-26T16:38:05.000021+00:00,2026-08-26T12:38:05.000021-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:36 nor 12:37 ET has a historical bar
ADBE,2026-08-26T17:07:45.244793+00:00,2026-08-26T13:07:45.244793-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:05 nor 13:06 ET has a historical bar
ADBE,2026-08-26T17:30:14.297796+00:00,2026-08-26T13:30:14.297796-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:28 nor 13:29 ET has a historical bar
ADBE,2026-08-26T17:42:30.021249+00:00,2026-08-26T13:42:30.021249-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:40 nor 13:41 ET has a historical bar
ADBE,2026-08-26T17:58:51.375594+00:00,2026-08-26T13:58:51.375594-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:56 nor 13:57 ET has a historical bar
ADBE,2026-08-26T18:19:17.657626+00:00,2026-08-26T14:19:17.657626-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:17 nor 14:18 ET has a historical bar
ADBE,2026-08-26T18:30:32.081485+00:00,2026-08-26T14:30:32.081485-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:28 nor 14:29 ET has a historical bar
ADBE,2026-08-26T18:55:03.789745+00:00,2026-08-26T14:55:03.789745-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:53 nor 14:54 ET has a historical bar
ADBE,2026-08-26T18:58:07.865132+00:00,2026-08-26T14:58:07.865132-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:56 nor 14:57 ET has a historical bar
ADI,2026-08-26T13:43:18.971923+00:00,2026-08-26T09:43:18.971923-04:00,CONFIRMED_NO_IEX_TRADE,neither 09:41 nor 09:42 ET has a historical bar
AMAT,2026-08-26T14:31:20.968941+00:00,2026-08-26T10:31:20.968941-04:00,CONFIRMED_NO_IEX_TRADE,neither 10:29 nor 10:30 ET has a historical bar
AMAT,2026-08-26T14:45:39.548014+00:00,2026-08-26T10:45:39.548014-04:00,CONFIRMED_NO_IEX_TRADE,neither 10:43 nor 10:44 ET has a historical bar
AMAT,2026-08-26T15:16:19.176659+00:00,2026-08-26T11:16:19.176659-04:00,CONFIRMED_NO_IEX_TRADE,neither 11:14 nor 11:15 ET has a historical bar
AMAT,2026-08-26T16:15:36.004233+00:00,2026-08-26T12:15:36.004233-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:13 nor 12:14 ET has a historical bar
AMAT,2026-08-26T17:35:20.679614+00:00,2026-08-26T13:35:20.679614-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:33 nor 13:34 ET has a historical bar
AMD,2026-08-26T14:51:47.446841+00:00,2026-08-26T10:51:47.446841-04:00,CONFIRMED_NO_IEX_TRADE,neither 10:49 nor 10:50 ET has a historical bar
AMD,2026-08-26T14:58:56.807876+00:00,2026-08-26T10:58:56.807876-04:00,CONFIRMED_NO_IEX_TRADE,neither 10:56 nor 10:57 ET has a historical bar
AMD,2026-08-26T15:23:28.322446+00:00,2026-08-26T11:23:28.322446-04:00,CONFIRMED_NO_IEX_TRADE,neither 11:21 nor 11:22 ET has a historical bar
AMD,2026-08-26T15:32:40.291322+00:00,2026-08-26T11:32:40.291322-04:00,CONFIRMED_NO_IEX_TRADE,neither 11:30 nor 11:31 ET has a historical bar
AMD,2026-08-26T15:36:45.462161+00:00,2026-08-26T11:36:45.462161-04:00,CONFIRMED_NO_IEX_TRADE,neither 11:34 nor 11:35 ET has a historical bar
AMD,2026-08-26T15:55:09.654781+00:00,2026-08-26T11:55:09.654781-04:00,CONFIRMED_NO_IEX_TRADE,neither 11:53 nor 11:54 ET has a historical bar
AMD,2026-08-26T16:05:22.716723+00:00,2026-08-26T12:05:22.716723-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:03 nor 12:04 ET has a historical bar
AMD,2026-08-26T16:31:57.139530+00:00,2026-08-26T12:31:57.139530-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:29 nor 12:30 ET has a historical bar
AMD,2026-08-26T16:37:03.658903+00:00,2026-08-26T12:37:03.658903-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:35 nor 12:36 ET has a historical bar
AMD,2026-08-26T16:52:23.960200+00:00,2026-08-26T12:52:23.960200-04:00,CONFIRMED_NO_IEX_TRADE,neither 12:50 nor 12:51 ET has a historical bar
AMD,2026-08-26T17:03:38.936395+00:00,2026-08-26T13:03:38.936395-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:01 nor 13:02 ET has a historical bar
AMD,2026-08-26T17:34:19.389909+00:00,2026-08-26T13:34:19.389909-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:32 nor 13:33 ET has a historical bar
AMD,2026-08-26T17:54:46.133386+00:00,2026-08-26T13:54:46.133386-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:52 nor 13:53 ET has a historical bar
AMD,2026-08-26T18:01:55.218859+00:00,2026-08-26T14:01:55.218859-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:59 nor 14:00 ET has a historical bar
AMD,2026-08-26T18:17:15.069785+00:00,2026-08-26T14:17:15.069785-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:15 nor 14:16 ET has a historical bar
AMD,2026-08-26T18:36:39.876340+00:00,2026-08-26T14:36:39.876340-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:34 nor 14:35 ET has a historical bar
AMD,2026-08-26T18:44:50.065727+00:00,2026-08-26T14:44:50.065727-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:42 nor 14:43 ET has a historical bar
AMD,2026-08-26T19:00:10.647175+00:00,2026-08-26T15:00:10.647175-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:58 nor 14:59 ET has a historical bar
AMD,2026-08-26T19:05:17.104522+00:00,2026-08-26T15:05:17.104522-04:00,CONFIRMED_NO_IEX_TRADE,neither 15:03 nor 15:04 ET has a historical bar
AMZN,2026-08-26T17:59:52.771920+00:00,2026-08-26T13:59:52.771920-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:57 nor 13:58 ET has a historical bar
AMZN,2026-08-26T18:23:22.950343+00:00,2026-08-26T14:23:22.950343-04:00,CONFIRMED_NO_IEX_TRADE,neither 14:21 nor 14:22 ET has a historical bar
CMCSA,2026-08-26T17:15:55.587978+00:00,2026-08-26T13:15:55.587978-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:13 nor 13:14 ET has a historical bar
CMCSA,2026-08-26T17:33:18.162406+00:00,2026-08-26T13:33:18.162406-04:00,CONFIRMED_NO_IEX_TRADE,neither 13:31 nor 13:32 ET has a historical bar
