symbol,stale_event_count,first_stale_et,last_stale_et,all_confirmed_no_iex_trade,classification_breakdown
ADBE,11,2026-08-26T12:20:42.636543-04:00,2026-08-26T14:58:07.865132-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 11}"
ADI,1,2026-08-26T09:43:18.971923-04:00,2026-08-26T09:43:18.971923-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 1}"
AMAT,5,2026-08-26T10:31:20.968941-04:00,2026-08-26T13:35:20.679614-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 5}"
AMD,19,2026-08-26T10:51:47.446841-04:00,2026-08-26T15:05:17.104522-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 19}"
AMZN,2,2026-08-26T13:59:52.771920-04:00,2026-08-26T14:23:22.950343-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 2}"
CMCSA,4,2026-08-26T13:15:55.587978-04:00,2026-08-26T15:28:47.625644-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 4}"
GILD,5,2026-08-26T09:33:12.216375-04:00,2026-08-26T09:59:29.894059-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 5}"
HON,2,2026-08-26T09:39:16.392031-04:00,2026-08-26T09:45:20.299770-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 2}"
ISRG,3,2026-08-26T09:34:12.991551-04:00,2026-08-26T09:57:28.531485-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 3}"
PANW,1,2026-08-26T09:35:13.664188-04:00,2026-08-26T09:35:13.664188-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 1}"
PYPL,3,2026-08-26T12:46:15.955186-04:00,2026-08-26T14:16:13.723433-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 3}"
QCOM,2,2026-08-26T09:52:24.955676-04:00,2026-08-26T09:59:29.894059-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 2}"
REGN,5,2026-08-26T09:32:10.971281-04:00,2026-08-26T09:54:26.361745-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 5}"
SBUX,2,2026-08-26T09:47:21.592783-04:00,2026-08-26T09:53:25.658723-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 2}"
TXN,3,2026-08-26T09:35:13.664188-04:00,2026-08-26T09:58:29.205815-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 3}"
VRTX,4,2026-08-26T09:33:12.216375-04:00,2026-08-26T09:54:26.363662-04:00,True,"{""CONFIRMED_NO_IEX_TRADE"": 4}"
