symbol,premarket_expected,premarket_observed,premarket_coverage_pct,regular_expected,regular_observed,regular_coverage_pct,regular_longest_no_bar_run_minutes,regular_gaps_over_120s_count,stale_recovery_transitions_regular_session,data_available
REGN,330,0,0.0,390,70,17.9,33,40,40,True
COST,330,0,0.0,390,168,43.1,26,43,43,True
VRTX,330,0,0.0,390,173,44.4,10,51,51,True
HON,330,0,0.0,390,204,52.3,11,40,40,True
GILD,330,0,0.0,390,207,53.1,9,42,42,True
ISRG,330,0,0.0,390,240,61.5,9,32,32,True
TXN,330,0,0.0,390,258,66.2,8,31,31,True
PANW,330,0,0.0,390,270,69.2,7,29,29,True
LRCX,330,0,0.0,390,272,69.7,5,23,23,True
STX,330,0,0.0,390,277,71.0,9,29,29,True
ADI,330,0,0.0,390,286,73.3,6,19,19,True
AMD,330,0,0.0,390,287,73.6,6,20,20,True
PEP,330,0,0.0,390,294,75.4,4,13,13,True
QCOM,330,0,0.0,390,315,80.8,5,16,16,True
SBUX,330,0,0.0,390,315,80.8,5,17,17,True
ADBE,330,1,0.3,390,326,83.6,4,12,12,True
AMAT,330,0,0.0,390,343,87.9,2,5,5,True
MDLZ,330,0,0.0,390,356,91.3,3,5,5,True
CMCSA,330,0,0.0,390,358,91.8,2,4,4,True
PYPL,330,0,0.0,390,364,93.3,2,3,3,True
AMZN,330,1,0.3,390,375,96.2,3,2,2,True
AVGO,330,1,0.3,390,381,97.7,1,0,0,True
CSCO,330,0,0.0,390,384,98.5,1,0,0,True
MU,330,1,0.3,390,384,98.5,1,0,0,True
MSFT,330,8,2.4,390,385,98.7,1,0,0,True
INTU,330,4,1.2,390,385,98.7,1,0,0,True
GOOGL,330,6,1.8,390,389,99.7,1,0,0,True
AAPL,330,9,2.7,390,390,100.0,0,0,0,True
NVDA,330,1,0.3,390,390,100.0,0,0,0,True
META,330,2,0.6,390,390,100.0,0,0,0,True
TSLA,330,3,0.9,390,390,100.0,0,0,0,True
BKNG,330,0,0.0,390,390,100.0,0,0,0,True
INTC,330,2,0.6,390,390,100.0,0,0,0,True
KLAC,330,0,0.0,390,390,100.0,0,0,0,True
NFLX,330,2,0.6,390,390,100.0,0,0,0,True
