symbol,session,gap_length_minutes,gap_length_seconds_approx
REGN,REGULAR,33,1980
REGN,REGULAR,28,1680
COST,REGULAR,26,1560
REGN,REGULAR,21,1260
REGN,REGULAR,17,1020
REGN,REGULAR,17,1020
COST,REGULAR,12,720
REGN,REGULAR,12,720
COST,REGULAR,11,660
HON,REGULAR,11,660
HON,REGULAR,11,660
REGN,REGULAR,11,660
REGN,REGULAR,11,660
COST,REGULAR,10,600
REGN,REGULAR,10,600
REGN,REGULAR,10,600
REGN,REGULAR,10,600
VRTX,REGULAR,10,600
COST,REGULAR,9,540
GILD,REGULAR,9,540
ISRG,REGULAR,9,540
REGN,REGULAR,9,540
REGN,REGULAR,9,540
REGN,REGULAR,9,540
STX,REGULAR,9,540
VRTX,REGULAR,9,540
VRTX,REGULAR,9,540
COST,REGULAR,8,480
GILD,REGULAR,8,480
HON,REGULAR,8,480
REGN,REGULAR,8,480
TXN,REGULAR,8,480
COST,REGULAR,7,420
COST,REGULAR,7,420
HON,REGULAR,7,420
HON,REGULAR,7,420
HON,REGULAR,7,420
PANW,REGULAR,7,420
REGN,REGULAR,7,420
REGN,REGULAR,7,420
REGN,REGULAR,7,420
REGN,REGULAR,7,420
TXN,REGULAR,7,420
ADI,REGULAR,6,360
AMD,REGULAR,6,360
COST,REGULAR,6,360
COST,REGULAR,6,360
GILD,REGULAR,6,360
GILD,REGULAR,6,360
GILD,REGULAR,6,360
ISRG,REGULAR,6,360
ISRG,REGULAR,6,360
ISRG,REGULAR,6,360
PANW,REGULAR,6,360
REGN,REGULAR,6,360
REGN,REGULAR,6,360
STX,REGULAR,6,360
VRTX,REGULAR,6,360
VRTX,REGULAR,6,360
VRTX,REGULAR,6,360
ADI,REGULAR,5,300
AMD,REGULAR,5,300
AMD,REGULAR,5,300
AMD,REGULAR,5,300
COST,REGULAR,5,300
COST,REGULAR,5,300
GILD,REGULAR,5,300
GILD,REGULAR,5,300
GILD,REGULAR,5,300
HON,REGULAR,5,300
HON,REGULAR,5,300
HON,REGULAR,5,300
HON,REGULAR,5,300
HON,REGULAR,5,300
HON,REGULAR,5,300
ISRG,REGULAR,5,300
ISRG,REGULAR,5,300
LRCX,REGULAR,5,300
LRCX,REGULAR,5,300
LRCX,REGULAR,5,300
LRCX,REGULAR,5,300
QCOM,REGULAR,5,300
REGN,REGULAR,5,300
SBUX,REGULAR,5,300
TXN,REGULAR,5,300
VRTX,REGULAR,5,300
VRTX,REGULAR,5,300
VRTX,REGULAR,5,300
VRTX,REGULAR,5,300
VRTX,REGULAR,5,300
VRTX,REGULAR,5,300
VRTX,REGULAR,5,300
ADBE,REGULAR,4,240
ADI,REGULAR,4,240
AMD,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
COST,REGULAR,4,240
GILD,REGULAR,4,240
GILD,REGULAR,4,240
GILD,REGULAR,4,240
GILD,REGULAR,4,240
GILD,REGULAR,4,240
GILD,REGULAR,4,240
GILD,REGULAR,4,240
HON,REGULAR,4,240
HON,REGULAR,4,240
HON,REGULAR,4,240
ISRG,REGULAR,4,240
LRCX,REGULAR,4,240
PANW,REGULAR,4,240
PANW,REGULAR,4,240
PANW,REGULAR,4,240
PEP,REGULAR,4,240
REGN,REGULAR,4,240
REGN,REGULAR,4,240
REGN,REGULAR,4,240
REGN,REGULAR,4,240
SBUX,REGULAR,4,240
STX,REGULAR,4,240
STX,REGULAR,4,240
STX,REGULAR,4,240
TXN,REGULAR,4,240
TXN,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
VRTX,REGULAR,4,240
ADBE,REGULAR,3,180
ADBE,REGULAR,3,180
ADBE,REGULAR,3,180
ADI,REGULAR,3,180
ADI,REGULAR,3,180
ADI,REGULAR,3,180
ADI,REGULAR,3,180
ADI,REGULAR,3,180
ADI,REGULAR,3,180
AMD,REGULAR,3,180
AMD,REGULAR,3,180
AMD,REGULAR,3,180
AMD,REGULAR,3,180
AMZN,REGULAR,3,180
COST,REGULAR,3,180
COST,REGULAR,3,180
COST,REGULAR,3,180
