symbol,warmup_status_task70s,warmup_bar_count_1m,warmup_ready,live_regular_session_coverage_pct,live_regular_gaps_over_120s,live_regular_longest_gap_minutes,warmup_ready_but_low_live_coverage
AAPL,READY,1000,True,100.0,0,0,False
ADBE,READY,1000,True,83.6,12,4,True
ADI,READY,1000,True,73.3,19,6,True
AMAT,READY,1000,True,87.9,5,2,True
AMD,READY,1000,True,73.6,20,6,True
AMZN,READY,1000,True,96.2,2,3,False
AVGO,READY,1000,True,97.7,0,1,False
BKNG,READY,1000,True,100.0,0,0,False
CMCSA,READY,1000,True,91.8,4,2,False
COST,READY,1000,True,43.1,43,26,True
CSCO,READY,1000,True,98.5,0,1,False
GILD,READY,1000,True,53.1,42,9,True
GOOGL,READY,1000,True,99.7,0,1,False
HON,READY,1000,True,52.3,40,11,True
INTC,READY,1000,True,100.0,0,0,False
INTU,READY,1000,True,98.7,0,1,False
ISRG,READY,1000,True,61.5,32,9,True
KLAC,READY,1000,True,100.0,0,0,False
LRCX,READY,1000,True,69.7,23,5,True
MDLZ,READY,1000,True,91.3,5,3,False
META,READY,1000,True,100.0,0,0,False
MSFT,READY,1000,True,98.7,0,1,False
MU,READY,1000,True,98.5,0,1,False
NFLX,READY,1000,True,100.0,0,0,False
NVDA,READY,1000,True,100.0,0,0,False
PANW,READY,1000,True,69.2,29,7,True
PEP,READY,1000,True,75.4,13,4,True
PYPL,READY,1000,True,93.3,3,2,False
QCOM,READY,1000,True,80.8,16,5,True
REGN,READY,726,True,17.9,40,33,True
SBUX,READY,1000,True,80.8,17,5,True
STX,READY,1000,True,71.0,29,9,True
TSLA,READY,1000,True,100.0,0,0,False
TXN,READY,1000,True,66.2,31,8,True
VRTX,READY,1000,True,44.4,51,10,True
