family,hypothesis,direction,threshold_band,horizon_label,n_trades,top1_day_share
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,63,0.21439341018710661
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,63,0.171485220829245
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,25,0.2796231632758816
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,25,0.3229934032604642
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,48,0.15711810829182532
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,48,0.15180928845884448
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,25,0.2142757208112595
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,25,0.24797490629796934
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,48,0.24340868311132624
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,48,0.17885568213813083
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,25,0.27635032516487573
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,25,0.19766269685598692
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,63,0.19543253574637232
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,63,0.22380909524907078
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,25,0.24259053107229064
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,25,0.25553157897240014
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,1032,0.04514876642931913
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,1000,0.0397723034534325
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,936,0.034939741678995474
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,516,0.04111423033225408
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,500,0.04848394889091923
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,468,0.041631581374469685
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,903,0.04136290055279449
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,875,0.029412299343321242
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,819,0.03177463906975734
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,387,0.06513387719554038
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,375,0.0488851885356855
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,351,0.06469807153280654
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,903,0.03649171906846567
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,875,0.0508081331160181
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,819,0.04635778742167231
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,387,0.03529130070085652
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,375,0.05547912431993744
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,351,0.05162682998002162
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,1032,0.062159299778886935
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,1000,0.049399215077029
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,936,0.043390282722727005
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,516,0.10084240145724303
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,500,0.08450370661542278
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,468,0.07306853798623757
