family,hypothesis,direction,threshold_band,horizon_label,assumed_round_trip_bps,gross_expectancy_pct,friction_absorption_ratio
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,10,0.0754215480771193,0.7542154807711929
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,15,0.0754215480771193,0.5028103205141287
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,20,0.0754215480771193,0.37710774038559647
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,10,0.04794432847764495,0.4794432847764495
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,15,0.04794432847764495,0.319628856517633
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,20,0.04794432847764495,0.23972164238822474
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,10,0.27033488207203893,2.703348820720389
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,15,0.27033488207203893,1.8022325471469263
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,20,0.27033488207203893,1.3516744103601945
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,10,0.1172271313455753,1.172271313455753
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,15,0.1172271313455753,0.7815142089705021
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,20,0.1172271313455753,0.5861356567278765
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,10,-0.4491585831338829,4.491585831338829
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,15,-0.4491585831338829,2.994390554225886
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,20,-0.4491585831338829,2.2457929156694143
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,10,-0.3600760304803259,3.600760304803259
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,15,-0.3600760304803259,2.400506869868839
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,20,-0.3600760304803259,1.8003801524016294
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,10,-0.24789852537409035,2.478985253740903
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,15,-0.24789852537409035,1.652656835827269
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,20,-0.24789852537409035,1.2394926268704516
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,10,-0.6515255191938202,6.515255191938201
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,15,-0.6515255191938202,4.343503461292134
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,20,-0.6515255191938202,3.2576275959691006
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,10,0.4491585831338829,4.491585831338829
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,15,0.4491585831338829,2.994390554225886
