family,hypothesis,direction,threshold_band,horizon_label,n_trades,remove_best1_net10bps_pct,remove_worst1_net10bps_pct,remove_best3_net10bps_pct,remove_worst3_net10bps_pct,remove_best5_net10bps_pct,remove_worst5_net10bps_pct,remove_best_day_net10bps_pct,remove_best3_days_net10bps_pct
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,63,-0.09457736072716531,0.04603651883893141,-0.21205470913609972,0.14930818058332046,-0.30230961206312906,0.22536549737859246,-0.15651594660148438,-0.322585640090354
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,63,-0.17030068009611693,0.07570349121073966,-0.38928913558012374,0.2397071385817941,-0.5397051936406833,0.39924762160128857,-0.2143994615427096,-0.47568617624836623
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,25,-0.002374243422574529,0.27289374271634204,-0.21740448509461796,0.4738694638224606,-0.3873617950693204,0.5990559278011074,-0.002374243422574557,-0.217404485094618
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,25,-0.27927143864763443,0.2293430728552306,-0.6658212556316105,0.635786512413511,-0.8429132907154825,0.8692464087174823,-0.27927143864763443,-0.6815022329585361
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,48,-0.6429893908584313,-0.41358727276727736,-0.8020019053010558,-0.19505883294285814,-0.9274975702139929,-0.08190420591751088,-0.6429893908584313,-0.8020019053010555
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,48,-0.5994340906304407,-0.2942594218419377,-0.7951986316617251,-0.0236122970258986,-0.9714866423432318,0.1861181537917296,-0.5994340906304407,-0.7837784908615067
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,25,-0.5232646880946733,-0.07401887349949691,-0.8099430503337909,0.1581506210903511,-1.0402440301851024,0.3754054867640835,-0.5232646880946732,-0.8099430503337913
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,25,-1.0365787823508572,-0.43894505597337236,-1.4767466791621586,-0.0667748801886875,-1.8887906131334202,0.29799544996134103,-1.0365787823508572,-1.573271238439613
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,48,0.2135872727672775,0.4429893908584313,-0.004941167057141903,0.6020019053010557,-0.1180957940824892,0.7274975702139929,0.195164952895811,-0.1857348762398063
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,48,0.0942594218419377,0.39943409063044055,-0.1763877029741014,0.595198631661725,-0.3861181537917296,0.7714866423432317,0.09425942184193761,-0.19958798351003598
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,25,-0.1259811265005032,0.32326468809467307,-0.3581506210903513,0.6099430503337913,-0.5754054867640837,0.8402440301851029,-0.1259811265005032,-0.34596854402611865
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,25,0.23894505597337226,0.8365787823508571,-0.13322511981131266,1.2767466791621587,-0.49799544996134115,1.6887906131334205,0.2389450559733722,-0.14773756365264448
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,63,-0.2460365188389314,-0.1054226392728347,-0.34930818058332047,0.012054709136099673,-0.4253654973785924,0.10230961206312901,-0.28434986789188493,-0.41040014816248005
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,63,-0.2757034912107396,-0.029699319903883074,-0.43970713858179417,0.18928913558012372,-0.5992476216012886,0.33970519364068325,-0.3523640760368498,-0.5424489030040683
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,25,-0.47289374271634205,-0.19762575657742545,-0.6738694638224606,0.017404485094618005,-0.7990559278011073,0.18736179506932044,-0.47289374271634205,-0.7106352841535406
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,25,-0.4293430728552307,0.07927143864763446,-0.835786512413511,0.46582125563161064,-1.0692464087174822,0.6429132907154825,-0.4293430728552305,-0.8357865124135112
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,1032,-0.3004505104043483,-0.1945017100612462,-0.33429147328677244,-0.09169414401029524,-0.36251673306763493,-0.0625747763951635,-0.34791521986319396,-0.4432318846321104
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,1000,-0.7303542152411855,-0.6170901288242745,-0.7735474737451709,-0.43917041952728325,-0.8108897202233216,-0.32904587105017596,-0.7699155243767019,-0.8720867608196265
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,936,-0.9372417910347058,-0.8098244044036016,-0.993255901373159,-0.6177510406556742,-1.039587490776776,-0.4264207067819974,-0.9879085373489604,-1.143673300902839
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,516,-0.3933527429145628,-0.18488470435124604,-0.45720252166643593,-0.12125377241659674,-0.5060996589866665,-0.06500012312772517,-0.41802150339015764,-0.5123556467258613
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,500,-0.8261226209831685,-0.5993674660122384,-0.9127803877760602,-0.3791786417334828,-0.9783444651647704,-0.30321295533031556,-0.8561885060772645,-1.006086566498049
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,468,-0.9074979118103489,-0.6529428792839043,-1.010327836935046,-0.27002211119973996,-1.0954897955185727,-0.16917838744725694,-0.9471437448860082,-1.1277849355115692
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,903,-0.020639102012469136,0.016456342334377927,-0.0517513184216053,0.04280095300730131,-0.07919644587548166,0.0683074435386944,-0.06261515229185607,-0.17488451744922529
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,875,-0.25272708694788465,-0.2045939964561889,-0.28634343977974525,-0.16605880504116174,-0.31892212282364907,-0.13097027279874504,-0.28285176294865616,-0.3789227716990856
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,819,-0.47684116696422124,-0.42255838445016003,-0.5201202114945799,-0.36664281452358055,-0.561719336132014,-0.3184034255872661,-0.5243087256103669,-0.6557888075033754
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,387,-0.12506487731479718,-0.0383807042555849,-0.1934069970338094,0.020844465490940028,-0.2561239296965665,0.07750029472821986,-0.18467202899157034,-0.3370151513060106
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,375,-0.4090037742395538,-0.3055464617478114,-0.4853359377986879,-0.2163925412851148,-0.5573947623987662,-0.13736859016858863,-0.46194380395556817,-0.6015165653190302
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,351,-0.6910228697510872,-0.5641562523325112,-0.7903162947424787,-0.43385766232008477,-0.8807519736872517,-0.32330105408698895,-0.7903162947424798,-0.9647626765856042
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,903,-0.21645634233437777,-0.17936089798753072,-0.24280095300730106,-0.14824868157839496,-0.26830744353869457,-0.12080355412451799,-0.25447837127886824,-0.35082958360749766
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,875,0.004593996456188939,0.05272708694788469,-0.03394119495883862,0.08634343977974512,-0.06902972720125469,0.11892212282364957,-0.0629051141875486,-0.16786520039444727
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,819,0.22255838445016096,0.2768411669642219,0.16664281452358076,0.3201202114945796,0.11840342558726612,0.36171933613201457,0.1416635309589792,-0.026942298545254113
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,387,-0.16161929574441522,-0.07493512268520265,-0.22084446549093992,-0.006593002966190771,-0.2775002947282198,0.056123929696566835,-0.18410045133299766,-0.29478945265912054
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,375,0.10554646174781121,0.20900377423955455,0.016392541285114554,0.28533593779868854,-0.06263140983141198,0.35739476239876644,0.05135348081321051,-0.11093023828530417
