family,hypothesis,direction,threshold_band,horizon_label,regime_slice,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day,insufficient_n_for_bootstrap
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,2025_q1_orpb_era,17,13,14,0.40778031475986,0.30778031475985995,2.009004947242297,4.077803147598599,by_day,0.38444201436596676,0.85857805687071,0.38444201436596676,-0.1718518479327619,1.1011532631540693,-0.29180292783385087,1.0955766248152174,
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,2025_q3_fprc_era,2,2,2,-1.0304549305937942,-1.1304549305937943,0.0,10.304549305937941,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,2025_q4_task46_56_era,8,7,8,0.5910699311194945,0.49106993111949443,2.279823483507299,5.910699311194945,by_symbol,0.35089867753117976,0.8839529868526531,0.35089867753117976,-0.4781953029625887,1.8428620977670038,-0.4231254794041801,1.5786673935718267,
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,2026_q3_f6_era,36,24,20,-0.1346765947174298,-0.2346765947174298,0.671539150512428,1.3467659471742979,by_day,0.22901668481440432,0.4975397803252718,0.43053205714007925,-0.6204213195194179,0.4784856383283443,-0.8461824578223139,0.6139990338685589,
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,2025_q1_orpb_era,17,13,14,0.6850724628855581,0.585072462885558,1.6031059173718185,6.8507246288555805,by_day,0.4205863349684694,0.8294318468683138,0.36441762197294486,-0.9895351152801886,2.272578449813863,-0.9929011470827249,2.397125588512596,
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,2025_q3_fprc_era,2,2,2,-0.21710652415761444,-0.3171065241576145,0.48927491286182256,2.1710652415761444,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,2025_q4_task46_56_era,8,7,8,0.25224336980990975,0.1522433698099096,1.2249133322641417,2.522433698099097,by_day,,,,-0.9330659787704596,1.8226604269573565,-0.9568867572324159,1.4859003387682599,
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,2026_q3_f6_era,36,24,20,-0.28359647458685844,-0.3835964745868585,0.6103231087927506,2.8359647458685844,by_day,0.24927860836117888,0.48604882451679476,0.31141064295045334,-0.9431473833707329,0.5130701625415995,-1.3959422470477518,0.670920533588412,
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,2025_q1_orpb_era,8,7,7,0.7022397626012369,0.602239762601237,4.917820197307232,7.022397626012369,by_day,0.677729052298984,0.9737700832051948,0.677729052298984,-0.05823843750534951,1.89745059161052,-0.09621113537309889,1.873197283607432,
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,2025_q4_task46_56_era,4,4,4,0.7693910668654889,0.6693910668654889,161.98029980823995,7.693910668654889,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,2026_q3_f6_era,13,10,12,-0.1490084858823751,-0.249008485882375,0.6377042368574928,1.490084858823751,by_symbol,0.4401772616899386,0.8695225798104912,0.4401772616899386,-0.8308722605459395,0.5940785112603665,-0.8123980774628264,0.6279142021239311,
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,2025_q1_orpb_era,8,7,7,1.2798116872253158,1.1798116872253157,2.4920620084402745,12.798116872253157,by_day,0.4447282344926834,0.945552357680248,0.4447282344926834,-1.0819657284677402,3.5695451424206213,-1.236625404742986,3.5623984488396463,
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,2025_q4_task46_56_era,4,4,4,-0.1146978569334357,-0.2146978569334357,0.5441234264590109,1.146978569334357,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,2026_q3_f6_era,13,10,12,-0.5268479835714923,-0.6268479835714923,0.3456667648933421,5.268479835714923,by_day,0.29428658451618467,0.6448568333470412,0.29428658451618467,-1.4324673567033814,0.27501578646477703,-1.4918314873215568,0.35568278471913006,
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,2025_q1_orpb_era,7,7,6,0.6482133313155248,0.5482133313155249,2.684063844152948,6.482133313155248,by_symbol,,,,-0.29869075504000725,1.670562168492915,-0.13771953778493545,1.678696399703605,
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,2025_q3_fprc_era,3,3,2,-1.6365697100161778,-1.7365697100161779,0.0,16.36569710016178,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,2025_q4_task46_56_era,8,6,6,-1.0643724679720712,-1.164372467972071,0.20837270305730546,10.64372467972071,by_symbol,,,,-3.7256111941657166,0.1234867164308092,-3.3514717149443425,0.6609046523630138,
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,2026_q3_f6_era,30,23,16,-0.4224138811936649,-0.5224138811936649,0.4880628677609191,4.2241388119366485,by_symbol,0.2868491522130266,0.6317189566600793,0.24691467354623703,-1.348229276761668,0.311881808767506,-1.064637928730033,0.6005359176090594,
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,2025_q1_orpb_era,7,7,6,0.7458864560007344,0.6458864560007346,1.7285004504741184,7.458864560007344,by_symbol,0.3646465985585184,0.8093493992589595,0.3646465985585184,-1.4869230056435483,2.60763915164684,-0.5100029025739898,2.389915445259245,
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,2025_q3_fprc_era,3,3,2,-1.3873470232322542,-1.4873470232322543,0.15124012089145156,13.873470232322541,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,2025_q4_task46_56_era,8,6,6,-0.7107937683726484,-0.8107937683726483,0.5069119440028403,7.107937683726484,by_symbol,,,,-4.0093889767430815,1.225316172907054,-3.8498432550182904,0.987212116640016,
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,2026_q3_f6_era,30,23,16,-0.4218821146127611,-0.5218821146127612,0.5646339397307119,4.218821146127611,by_symbol,0.3205882596706773,0.7132182847063727,0.2867944074089243,-1.5917328819325267,0.4829576294031165,-1.2285982903220043,0.6946143076244751,
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,2025_q1_orpb_era,4,4,3,1.189208116974119,1.089208116974119,4.9288480787097955,11.892081169741191,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,2025_q3_fprc_era,2,2,2,-2.2609248549552685,-2.360924854955268,0.0,22.609248549552685,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,2025_q4_task46_56_era,4,3,4,-1.80519638570665,-1.9051963857066503,0.22882697052557577,18.0519638570665,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,2026_q3_f6_era,15,14,10,0.05255597669922673,-0.047444023300773346,0.9313706601127067,0.5255597669922673,by_symbol,0.3824004479536917,0.6900027966646898,0.3824004479536917,-0.7246844232515549,0.7411635652606338,-0.6620276300462764,0.965531080697163,
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,2025_q1_orpb_era,4,4,3,0.6444944148298637,0.5444944148298638,1.4230700698114682,6.444944148298637,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,2025_q3_fprc_era,2,2,2,-2.528565027356877,-2.628565027356877,0.0,25.28565027356877,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,2025_q4_task46_56_era,4,3,4,-2.3379962926394775,-2.4379962926394776,0.1974985951937109,23.379962926394775,,,,,,,,,True
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,2026_q3_f6_era,15,14,10,-0.2971333609262199,-0.39713336092622,0.7049850505760201,2.971333609262199,by_day,0.41723425384717705,0.8217256541774003,0.41723425384717705,-1.432041604115573,0.7579290571531926,-1.7339493322272888,1.139391194947151,
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,2025_q1_orpb_era,7,7,6,-0.6482133313155248,-0.7482133313155249,0.2427213329425758,6.482133313155248,by_day,,,,-1.6705621684929153,0.29869075504000675,-1.678696399703605,0.13771953778493545,
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,2025_q3_fprc_era,3,3,2,1.6365697100161778,1.5365697100161781,inf,16.36569710016178,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,2025_q4_task46_56_era,8,6,6,1.0643724679720712,0.9643724679720711,3.7052111125197276,10.64372467972071,by_day,0.6108253153601556,0.8880631947795424,0.6108253153601556,-0.12348671643081026,3.7256111941657166,-0.6609046523630138,3.3514717149443425,
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,2026_q3_f6_era,30,23,16,0.4224138811936649,0.32241388119366493,1.5620276409647877,4.2241388119366485,by_day,0.36431613507550425,0.5359759207247131,0.3964637620886188,-0.3118818087675065,1.348229276761668,-0.6005359176090599,1.0646379287300327,
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,2025_q1_orpb_era,7,7,6,-0.7458864560007344,-0.8458864560007343,0.4950958879146314,7.458864560007344,by_symbol,,,,-2.60763915164684,1.486923005643548,-2.389915445259245,0.5100029025739898,
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,2025_q3_fprc_era,3,3,2,1.3873470232322542,1.2873470232322541,4.8811012159187115,13.873470232322541,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,2025_q4_task46_56_era,8,6,6,0.7107937683726484,0.6107937683726482,1.6542877830358578,7.107937683726484,by_symbol,,,,-1.225316172907054,4.009388976743077,-0.9872121166400192,3.8498432550182904,
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,2026_q3_f6_era,30,23,16,0.4218821146127611,0.3218821146127612,1.421879319796875,4.218821146127611,by_day,0.3670561898433086,0.5948521119615956,0.3032739862117447,-0.4829576294031167,1.5917328819325263,-0.6946143076244755,1.2285982903220043,
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,2025_q1_orpb_era,4,4,3,-1.189208116974119,-1.2892081169741192,0.14984649393912303,11.892081169741191,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,2025_q3_fprc_era,2,2,2,2.2609248549552685,2.160924854955268,inf,22.609248549552685,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,2025_q4_task46_56_era,4,3,4,1.80519638570665,1.70519638570665,3.7712305501643226,18.0519638570665,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,2026_q3_f6_era,15,14,10,-0.05255597669922673,-0.1525559766992268,0.79305955184689,0.5255597669922673,by_day,0.2722359709689649,0.605279085761745,0.2722359709689649,-0.741163565260634,0.7246844232515547,-0.965531080697163,0.6620276300462762,
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,2025_q1_orpb_era,4,4,3,-0.6444944148298637,-0.7444944148298636,0.6242777489969206,6.444944148298637,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,2025_q3_fprc_era,2,2,2,2.528565027356877,2.4285650273568766,inf,25.28565027356877,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,2025_q4_task46_56_era,4,3,4,2.3379962926394775,2.237996292639477,4.4430712194453585,23.379962926394775,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,2026_q3_f6_era,15,14,10,0.2971333609262199,0.1971333609262199,1.19157515186181,2.971333609262199,by_day,0.19788327374970732,0.5308562211325835,0.2783827279689763,-0.7579290571531926,1.4320416041155715,-1.139391194947151,1.7339493322272885,
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,2025_q1_orpb_era,17,13,14,-0.40778031475986,-0.5077803147598601,0.31408830385166814,4.077803147598599,by_symbol,0.37286392924985856,0.802978265712905,0.37286392924985856,-1.1011532631540697,0.1718518479327619,-1.095576624815218,0.29180292783385076,
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,2025_q3_fprc_era,2,2,2,1.0304549305937942,0.9304549305937942,inf,10.304549305937941,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,2025_q4_task46_56_era,8,7,8,-0.5910699311194945,-0.6910699311194946,0.3242639523054275,5.910699311194945,by_symbol,,,,-1.8428620977670038,0.4781953029625883,-1.5786673935718267,0.42312547940417944,
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,2026_q3_f6_era,36,24,20,0.1346765947174298,0.03467659471742978,1.0605626007149354,1.3467659471742979,by_day,0.21542285709651154,0.5250160991341328,0.27329551087499376,-0.47848563832834445,0.6204213195194177,-0.6139990338685589,0.8461824578223135,
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,2025_q1_orpb_era,17,13,14,-0.6850724628855581,-0.7850724628855579,0.5306888101741958,6.8507246288555805,by_day,0.31494776882541486,0.767453710110202,0.3352569909212817,-2.2725784498138633,0.9895351152801873,-2.3971255885125964,0.9929011470827243,
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,2025_q3_fprc_era,2,2,2,0.21710652415761444,0.11710652415761441,1.2900196620655189,2.1710652415761444,,,,,,,,,True
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,2025_q4_task46_56_era,8,7,8,-0.25224336980990975,-0.35224336980990967,0.6208936481646502,2.522433698099097,by_symbol,,,,-1.8226604269573574,0.9330659787704596,-1.485900338768261,0.9568867572324152,
