family,hypothesis,direction,threshold_band,horizon_label,n_trades,top1_symbol_share,top3_symbol_share
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,63,0.155325868784852,0.4318718574981957
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,63,0.24752466192491585,0.523097876917798
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,25,0.2796231632758816,0.5915801386638043
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,25,0.3229934032604642,0.6867276468661527
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,48,0.18252943623613757,0.4625811434572281
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,48,0.20883864231282656,0.5117823148487575
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,25,0.2142757208112595,0.5267691293923571
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,25,0.24797490629796934,0.5684561011720594
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,48,0.22367166726101698,0.47246125125992994
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,48,0.2164712049242878,0.4512000240029313
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,25,0.27635032516487573,0.5549742788839808
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,25,0.19766269685598692,0.41259057343622585
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,63,0.1540480305926306,0.38948453673878003
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,63,0.17404501318166019,0.38143335762304026
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,25,0.2840835224305217,0.7458732556507759
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,25,0.25553157897240014,0.693398828885661
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,1032,0.11543002855031297,0.25216602389774245
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,1000,0.1170995210083417,0.25541848676409484
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,936,0.12372716029670301,0.2683793493292536
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,516,0.15273072710161922,0.34904071627818956
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,500,0.16414082408428793,0.36527261137100064
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,468,0.1457554644589793,0.33030648612343894
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,903,0.09002920972618747,0.21019075145610466
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,875,0.1073118667294172,0.23625538711007626
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,819,0.10230056718847112,0.23867973568877085
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,387,0.08722785207754868,0.24854492390926522
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,375,0.1072859057977885,0.26236235869552976
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,351,0.10552566882761263,0.26507499336674695
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,903,0.09574279994236619,0.23663065494274746
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,875,0.11109222655959908,0.25138847409667797
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,819,0.10662469704279359,0.2481380658929633
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,387,0.1329491772301831,0.3396907720184722
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,375,0.14113466839328348,0.3186527027537133
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,351,0.14985633086919858,0.36074878129734095
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,1032,0.10092295388477014,0.24277311392763984
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,1000,0.12333234586390986,0.2833260863664728
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,936,0.1365097971820098,0.2977727664192665
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,516,0.1457071986544123,0.31083293940837925
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,500,0.1091483777690496,0.2946705761466345
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,468,0.12570336604662216,0.32335588512157626
