family,hypothesis,direction,threshold_band,horizon_label,segment,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,EARLY,20,15,17,0.3765853391204068,0.27658533912040684,1.7428620240134312,3.765853391204068,by_day,0.3121395481652411,0.7477425986237709,0.3121395481652411,-0.1543813645029603,0.9734758544143748,-0.24770023328830656,1.086255858649621
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,LATE,25,19,14,-0.253350929049686,-0.35335092904968596,0.5385149457046873,2.5335092904968595,by_day,0.38851933490742424,0.7785695439799889,0.7303835903132769,-0.8788638046210062,0.4062205853368829,-1.1099259912073136,0.7213341251956739
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,MIDDLE,18,13,13,0.19742355403847373,0.09742355403847368,1.1817490260378012,1.9742355403847371,by_day,0.1918952811413373,0.5504179970799576,0.3496801105243823,-0.4533896687414755,0.9947634050295062,-0.7430528547881343,0.8621393699266011
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,EARLY,20,15,17,0.6699358532137932,0.5699358532137931,1.6427797367617643,6.699358532137932,by_symbol,0.3804543041242034,0.750288085661162,0.32964516735596666,-0.8450889541403777,1.9701266580746388,-0.7820052266204116,2.1673882929600494
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,LATE,25,19,14,-0.4966366447358455,-0.5966366447358455,0.4304702713287335,4.966366447358455,by_day,0.4735936866494312,0.7231300389350765,0.5916356619060091,-1.4920645827175691,0.4006082214942147,-1.834423834126844,0.5985266993914
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,MIDDLE,18,13,13,0.11320509712288364,0.013205097122883598,1.0162096809654875,1.1320509712288362,by_day,0.22918421622984514,0.5757521147578726,0.42364175045892755,-0.6038634229106314,1.0146914096630832,-1.2256238999518747,1.0535513595492985
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,EARLY,8,7,7,0.7022397626012369,0.602239762601237,4.917820197307232,7.022397626012369,by_day,0.677729052298984,0.9737700832051948,0.677729052298984,-0.05823843750534951,1.89745059161052,-0.09621113537309889,1.873197283607432
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,LATE,10,9,9,-0.041208176847456604,-0.1412081768474566,0.7711059839203459,0.412081768474566,by_symbol,,,,-0.9236589524685205,0.8147517484484638,-0.8364153406989747,0.9324220633799508
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,MIDDLE,7,5,7,0.22179081706652073,0.12179081706652066,1.306394706174188,2.2179081706652073,by_day,0.5336444196270331,0.8932346379873293,0.5336444196270331,-0.35112905683640444,1.4233460709203416,-0.6395815147358366,1.0899867962977936
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,EARLY,8,7,7,1.2798116872253158,1.1798116872253157,2.4920620084402745,12.798116872253157,by_day,0.4447282344926834,0.945552357680248,0.4447282344926834,-1.0819657284677402,3.5695451424206213,-1.236625404742986,3.5623984488396463
